Time(hh:mm:ss),Elapsed Time,Voltage I/O-1(mV),Voltage I/O-2(mV),Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,23:09:50",1,0.013,0.004,,,,
"06-Jun-16,23:09:51",2,0.014,0.001,,,,
"06-Jun-16,23:09:52",3,0.011,0.007,,,,
"06-Jun-16,23:09:53",4,0.014,0.01,,,,
"06-Jun-16,23:09:54",5,0.013,0.011,,,,
"06-Jun-16,23:09:55",6,0.011,0.011,,,,
"06-Jun-16,23:09:56",7,0.011,0.013,,,,
"06-Jun-16,23:09:57",8,0.01,0.013,,,,
"06-Jun-16,23:09:58",9,0.004,0.008,,,,
"06-Jun-16,23:09:59",10,0.01,0.008,,,,
"06-Jun-16,23:10:00",11,0.011,0.013,,,,
"06-Jun-16,23:10:01",12,0.01,0.013,,,,
"06-Jun-16,23:10:02",13,0.01,0.008,,,,
"06-Jun-16,23:10:03",14,0.007,0.01,,,,
"06-Jun-16,23:10:04",15,0.008,0.004,,,,
"06-Jun-16,23:10:05",16,0.006,0.01,,,,
"06-Jun-16,23:10:06",17,0.007,0.007,,,,
"06-Jun-16,23:10:07",18,0.007,0.006,,,,
"06-Jun-16,23:10:08",19,0.006,0.006,,,,
"06-Jun-16,23:10:09",20,0.007,0.007,,,,
"06-Jun-16,23:10:10",21,0.004,0.006,,,,
"06-Jun-16,23:10:11",22,0.007,0.007,,,,
"06-Jun-16,23:10:12",23,0.008,0.004,,,,
"06-Jun-16,23:10:13",24,0.008,0.008,,,,
"06-Jun-16,23:10:14",25,0.006,0.004,,,,
"06-Jun-16,23:10:15",26,0.006,0,,,,
"06-Jun-16,23:10:16",27,0.001,0.004,,,,
"06-Jun-16,23:10:17",28,0.007,0,,,,
"06-Jun-16,23:10:18",29,0.001,-0.001,,,,
"06-Jun-16,23:10:19",30,0.01,0,,,,
"06-Jun-16,23:10:20",31,0.014,0.004,,,,
"06-Jun-16,23:10:21",32,0.011,0.006,,,,
"06-Jun-16,23:10:22",33,0.014,0.011,,,,
"06-Jun-16,23:10:23",34,0.016,0.008,,,,
"06-Jun-16,23:10:24",35,0.014,0.01,,,,
"06-Jun-16,23:10:25",36,0.014,0.155,,,,
"06-Jun-16,23:10:26",37,1.109,0.155,,,,
"06-Jun-16,23:10:27",38,1.109,0.572,,,,
"06-Jun-16,23:10:28",39,0.185,0.2,,,,
"06-Jun-16,23:10:29",40,0.07,0.066,,,,
"06-Jun-16,23:10:30",41,0.039,0.006,,,,
"06-Jun-16,23:10:31",42,0.02,0.001,,,,
"06-Jun-16,23:10:32",43,0.011,0.006,,,,
"06-Jun-16,23:10:33",44,0.004,0.001,,,,
"06-Jun-16,23:10:34",45,0.004,0.292,,,,
"06-Jun-16,23:10:35",46,0.536,0.278,,,,
"06-Jun-16,23:10:36",47,0.192,0.068,,,,
"06-Jun-16,23:10:37",48,0.07,-0.016,,,,
"06-Jun-16,23:10:38",49,0.025,-0.058,,,,
"06-Jun-16,23:10:39",50,0.006,-0.049,,,,
"06-Jun-16,23:10:40",51,0,-0.041,,,,
"06-Jun-16,23:10:41",52,-0.004,-0.028,,,,
"06-Jun-16,23:10:42",53,-0.001,-0.023,,,,
"06-Jun-16,23:10:43",54,-0.004,-0.013,,,,
"06-Jun-16,23:10:44",55,-0.003,-0.016,,,,
"06-Jun-16,23:10:45",56,-0.008,-0.013,,,,
"06-Jun-16,23:10:46",57,-0.008,-0.016,,,,
"06-Jun-16,23:10:47",58,-0.007,-0.013,,,,
"06-Jun-16,23:10:48",59,-0.003,-0.011,,,,
"06-Jun-16,23:10:49",60,-0.003,-0.011,,,,
"06-Jun-16,23:10:50",61,-0.003,-0.01,,,,
"06-Jun-16,23:10:51",62,-0.003,-0.011,,,,
"06-Jun-16,23:10:52",63,-0.003,-0.011,,,,
"06-Jun-16,23:10:53",64,-0.004,-0.016,,,,
"06-Jun-16,23:10:54",65,0,-0.013,,,,
"06-Jun-16,23:10:55",66,-0.004,-0.014,,,,
"06-Jun-16,23:10:56",67,-0.007,-0.01,,,,
"06-Jun-16,23:10:57",68,-0.006,-0.011,,,,
"06-Jun-16,23:10:58",69,-0.004,-0.01,,,,
"06-Jun-16,23:10:59",70,-0.004,-0.01,,,,
"06-Jun-16,23:11:00",71,-0.003,-0.01,,,,
"06-Jun-16,23:11:01",72,0,-0.01,,,,
"06-Jun-16,23:11:02",73,-0.001,-0.011,,,,
"06-Jun-16,23:11:03",74,-0.003,-0.01,,,,
"06-Jun-16,23:11:04",75,-0.003,-0.011,,,,
"06-Jun-16,23:11:05",76,0,-0.006,,,,
"06-Jun-16,23:11:06",77,-0.003,-0.01,,,,
"06-Jun-16,23:11:07",78,-0.001,-0.01,,,,
"06-Jun-16,23:11:08",79,-0.003,-0.01,,,,
"06-Jun-16,23:11:09",80,-0.004,-0.011,,,,
"06-Jun-16,23:11:10",81,-0.001,-0.013,,,,
"06-Jun-16,23:11:11",82,-0.006,-0.011,,,,
"06-Jun-16,23:11:12",83,-0.003,-0.013,,,,
"06-Jun-16,23:11:13",84,-0.001,-0.018,,,,
"06-Jun-16,23:11:14",85,-0.003,-0.016,,,,
"06-Jun-16,23:11:15",86,-0.003,-0.011,,,,
"06-Jun-16,23:11:16",87,-0.006,-0.014,,,,
"06-Jun-16,23:11:17",88,-0.008,-0.014,,,,
"06-Jun-16,23:11:18",89,-0.004,-0.016,,,,
"06-Jun-16,23:11:19",90,-0.01,-0.013,,,,
"06-Jun-16,23:11:20",91,-0.004,-0.01,,,,
"06-Jun-16,23:11:21",92,-0.003,-0.017,,,,
"06-Jun-16,23:11:22",93,-0.004,-0.01,,,,
"06-Jun-16,23:11:23",94,-0.007,-0.011,,,,
"06-Jun-16,23:11:24",95,-0.006,-0.014,,,,
"06-Jun-16,23:11:25",96,0.001,-0.013,,,,
"06-Jun-16,23:11:26",97,-0.006,-0.008,,,,
"06-Jun-16,23:11:27",98,-0.004,-0.013,,,,
"06-Jun-16,23:11:28",99,-0.006,-0.01,,,,
"06-Jun-16,23:11:29",100,0,-0.01,,,,
"06-Jun-16,23:11:30",101,0.006,-0.007,,,,
"06-Jun-16,23:11:31",102,0.003,-0.007,,,,
"06-Jun-16,23:11:32",103,0,-0.006,,,,
"06-Jun-16,23:11:33",104,-0.004,-0.006,,,,
"06-Jun-16,23:11:34",105,-0.003,-0.006,,,,
"06-Jun-16,23:11:35",106,0,-0.007,,,,
"06-Jun-16,23:11:36",107,0.004,-0.008,,,,
"06-Jun-16,23:11:37",108,0,-0.008,,,,
"06-Jun-16,23:11:38",109,0,-0.011,,,,
"06-Jun-16,23:11:39",110,-0.003,-0.008,,,,
"06-Jun-16,23:11:40",111,-0.007,-0.008,,,,
"06-Jun-16,23:11:41",112,-0.004,-0.011,,,,
"06-Jun-16,23:11:42",113,-0.004,-0.014,,,,
