Time(hh:mm:ss),Elapsed Time,Voltage1,Voltage2,Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,18:59:03",1,-0.001,-0.003,,,,
"06-Jun-16,18:59:04",2,0,0.003,,,,
"06-Jun-16,18:59:05",3,0.004,-0.003,,,,
"06-Jun-16,18:59:06",4,0,-0.004,,,,
"06-Jun-16,18:59:07",5,-0.006,0.003,,,,
"06-Jun-16,18:59:08",6,0,-0.001,,,,
"06-Jun-16,18:59:09",7,0,-0.001,,,,
"06-Jun-16,18:59:10",8,0.001,0.003,,,,
"06-Jun-16,18:59:11",9,0,0,,,,
"06-Jun-16,18:59:12",10,0,-0.001,,,,
"06-Jun-16,18:59:13",11,0,-0.006,,,,
"06-Jun-16,18:59:14",12,-0.003,-0.003,,,,
"06-Jun-16,18:59:15",13,0,-0.001,,,,
"06-Jun-16,18:59:16",14,-0.006,-0.003,,,,
"06-Jun-16,18:59:17",15,-0.003,-0.006,,,,
"06-Jun-16,18:59:18",16,0,0.003,,,,
"06-Jun-16,18:59:19",17,-0.006,0.003,,,,
"06-Jun-16,18:59:20",18,-0.003,0.013,,,,
"06-Jun-16,18:59:21",19,-0.003,0.007,,,,
"06-Jun-16,18:59:22",20,2.459,0.003,,,,
"06-Jun-16,18:59:23",21,2.459,0.004,,,,
"06-Jun-16,18:59:24",22,0.347,0.006,,,,
"06-Jun-16,18:59:25",23,0.134,0.004,,,,
"06-Jun-16,18:59:26",24,0.051,0.004,,,,
"06-Jun-16,18:59:27",25,0.014,0.003,,,,
"06-Jun-16,18:59:28",26,0.008,0.003,,,,
"06-Jun-16,18:59:29",27,0.01,2,,,,
"06-Jun-16,18:59:30",28,0.006,1.879,,,,
"06-Jun-16,18:59:31",29,0.003,1.879,,,,
"06-Jun-16,18:59:32",30,0.004,0.289,,,,
"06-Jun-16,18:59:33",31,0.004,0.118,,,,
"06-Jun-16,18:59:34",32,-0.001,0.045,,,,
"06-Jun-16,18:59:35",33,0,0.02,,,,
"06-Jun-16,18:59:36",34,0.001,0.011,,,,
"06-Jun-16,18:59:37",35,0.003,0.006,,,,
"06-Jun-16,18:59:38",36,0.001,0.013,,,,
"06-Jun-16,18:59:39",37,0,0.011,,,,
"06-Jun-16,18:59:40",38,0,0.011,,,,
"06-Jun-16,18:59:41",39,0.001,0.008,,,,
"06-Jun-16,18:59:42",40,0,0.006,,,,
"06-Jun-16,18:59:43",41,-0.006,0.004,,,,
"06-Jun-16,18:59:44",42,-0.003,-0.004,,,,
"06-Jun-16,18:59:45",43,-0.006,0,,,,
"06-Jun-16,18:59:46",44,-0.006,0.001,,,,
"06-Jun-16,18:59:47",45,-0.006,0,,,,
"06-Jun-16,18:59:48",46,-0.001,-0.003,,,,
"06-Jun-16,18:59:49",47,0,0.001,,,,
"06-Jun-16,18:59:50",48,0,0.004,,,,
"06-Jun-16,18:59:51",49,-0.003,0.003,,,,
"06-Jun-16,18:59:52",50,-0.001,0.008,,,,
"06-Jun-16,18:59:53",51,-0.003,0.006,,,,
"06-Jun-16,18:59:54",52,-0.001,-0.001,,,,
"06-Jun-16,18:59:55",53,0.004,-0.007,,,,
"06-Jun-16,18:59:56",54,0,-0.007,,,,
"06-Jun-16,18:59:57",55,0.004,-0.008,,,,
"06-Jun-16,18:59:58",56,0.001,-0.006,,,,
"06-Jun-16,18:59:59",57,0.003,0.001,,,,
"06-Jun-16,19:00:00",58,0.001,0,,,,
"06-Jun-16,19:00:01",59,-0.001,0.003,,,,
"06-Jun-16,19:00:02",60,0.003,-0.001,,,,
"06-Jun-16,19:00:03",61,0.004,0,,,,
"06-Jun-16,19:00:04",62,0,0,,,,
"06-Jun-16,19:00:05",63,0.003,-0.001,,,,
"06-Jun-16,19:00:06",64,0.001,-0.008,,,,
"06-Jun-16,19:00:07",65,0.003,-0.004,,,,
"06-Jun-16,19:00:08",66,0,-0.001,,,,
"06-Jun-16,19:00:09",67,-0.003,-0.007,,,,
"06-Jun-16,19:00:10",68,-0.003,-0.003,,,,
"06-Jun-16,19:00:11",69,-0.003,0,,,,
"06-Jun-16,19:00:12",70,-0.003,-0.006,,,,
"06-Jun-16,19:00:13",71,-0.004,-0.001,,,,
"06-Jun-16,19:00:14",72,-0.004,-0.006,,,,
"06-Jun-16,19:00:15",73,-0.008,-0.01,,,,
"06-Jun-16,19:00:16",74,-0.006,-0.01,,,,
"06-Jun-16,19:00:17",75,-0.006,-0.006,,,,
"06-Jun-16,19:00:18",76,-0.006,-0.011,,,,
"06-Jun-16,19:00:19",77,-0.003,-0.01,,,,
"06-Jun-16,19:00:20",78,-0.007,-0.011,,,,
"06-Jun-16,19:00:21",79,-0.006,-0.008,,,,
"06-Jun-16,19:00:22",80,-0.01,-0.01,,,,
"06-Jun-16,19:00:23",81,-0.006,-0.011,,,,
"06-Jun-16,19:00:24",82,-0.008,-0.008,,,,
"06-Jun-16,19:00:25",83,-0.008,-0.004,,,,
"06-Jun-16,19:00:26",84,-0.008,-0.018,,,,
"06-Jun-16,19:00:27",85,-0.008,-0.016,,,,
"06-Jun-16,19:00:28",86,-0.011,-0.013,,,,
"06-Jun-16,19:00:29",87,-0.008,-0.014,,,,
"06-Jun-16,19:00:30",88,-0.014,-0.014,,,,
"06-Jun-16,19:00:31",89,-0.013,-0.011,,,,
"06-Jun-16,19:00:32",90,-0.008,-0.011,,,,
"06-Jun-16,19:00:33",91,-0.013,-0.013,,,,
"06-Jun-16,19:00:34",92,-0.008,-0.007,,,,
"06-Jun-16,19:00:35",93,-0.003,-0.003,,,,
"06-Jun-16,19:00:36",94,-0.003,-0.006,,,,
"06-Jun-16,19:00:37",95,-0.004,-0.003,,,,
"06-Jun-16,19:00:38",96,-0.006,-0.007,,,,
"06-Jun-16,19:00:39",97,-0.007,-0.013,,,,
"06-Jun-16,19:00:40",98,-0.006,-0.01,,,,
"06-Jun-16,19:00:41",99,-0.003,-0.007,,,,
"06-Jun-16,19:00:42",100,-0.008,-0.01,,,,
"06-Jun-16,19:00:43",101,-0.008,-0.01,,,,
"06-Jun-16,19:00:44",102,-0.007,-0.007,,,,
"06-Jun-16,19:00:45",103,-0.008,-0.006,,,,
"06-Jun-16,19:00:46",104,-0.007,-0.007,,,,
"06-Jun-16,19:00:47",105,-0.006,-0.006,,,,
"06-Jun-16,19:00:48",106,-0.007,-0.011,,,,
"06-Jun-16,19:00:49",107,-0.006,-0.01,,,,
"06-Jun-16,19:00:50",108,-0.007,-0.008,,,,
"06-Jun-16,19:00:51",109,-0.001,-0.008,,,,
"06-Jun-16,19:00:52",110,-0.008,-0.008,,,,
"06-Jun-16,19:00:53",111,-0.006,-0.007,,,,
"06-Jun-16,19:00:54",112,-0.013,-0.01,,,,
"06-Jun-16,19:00:55",113,-0.008,-0.011,,,,
"06-Jun-16,19:00:56",114,-0.003,-0.004,,,,
"06-Jun-16,19:00:57",115,-0.004,-0.007,,,,
"06-Jun-16,19:00:58",116,-0.007,-0.018,,,,
"06-Jun-16,19:00:59",117,-0.003,-0.017,,,,
"06-Jun-16,19:01:00",118,-0.011,-0.008,,,,
"06-Jun-16,19:01:01",119,-0.008,-0.011,,,,
"06-Jun-16,19:01:02",120,-0.01,-0.016,,,,
"06-Jun-16,19:01:03",121,-0.008,-0.013,,,,
"06-Jun-16,19:01:04",122,-0.004,-0.011,,,,
"06-Jun-16,19:01:05",123,-0.007,-0.006,,,,
"06-Jun-16,19:01:06",124,-0.007,-0.014,,,,
"06-Jun-16,19:01:07",125,-0.006,-0.011,,,,
"06-Jun-16,19:01:08",126,-0.004,-0.014,,,,
"06-Jun-16,19:01:09",127,-0.008,-0.011,,,,
"06-Jun-16,19:01:10",128,-0.004,-0.013,,,,
"06-Jun-16,19:01:11",129,-0.013,-0.011,,,,
"06-Jun-16,19:01:12",130,-0.013,-0.014,,,,
"06-Jun-16,19:01:13",131,-0.013,-0.016,,,,
"06-Jun-16,19:01:14",132,-0.007,-0.011,,,,
"06-Jun-16,19:01:15",133,-0.01,-0.011,,,,
"06-Jun-16,19:01:16",134,-0.008,-0.008,,,,
"06-Jun-16,19:01:17",135,-0.007,-0.013,,,,
"06-Jun-16,19:01:18",136,-0.01,0,,,,
"06-Jun-16,19:01:19",137,-0.01,-0.004,,,,
"06-Jun-16,19:01:20",138,-0.006,-0.008,,,,
"06-Jun-16,19:01:21",139,-0.003,-0.007,,,,
"06-Jun-16,19:01:22",140,-0.004,0,,,,
"06-Jun-16,19:01:23",141,-0.01,0.003,,,,
"06-Jun-16,19:01:24",142,-0.01,-0.004,,,,
"06-Jun-16,19:01:25",143,-0.011,-0.011,,,,
"06-Jun-16,19:01:26",144,-0.006,-0.013,,,,
"06-Jun-16,19:01:27",145,-0.008,-0.014,,,,
"06-Jun-16,19:01:28",146,-0.007,-0.016,,,,
"06-Jun-16,19:01:29",147,-0.006,-0.018,,,,
"06-Jun-16,19:01:30",148,-0.007,-0.018,,,,
"06-Jun-16,19:01:31",149,-0.006,-0.016,,,,
"06-Jun-16,19:01:32",150,-0.007,-0.017,,,,
"06-Jun-16,19:01:33",151,-0.006,-0.014,,,,
"06-Jun-16,19:01:34",152,-0.01,-0.016,,,,
"06-Jun-16,19:01:35",153,-0.01,-0.017,,,,
"06-Jun-16,19:01:36",154,-0.008,-0.016,,,,
"06-Jun-16,19:01:37",155,-0.014,-0.014,,,,
"06-Jun-16,19:01:38",156,-0.007,-0.017,,,,
"06-Jun-16,19:01:39",157,-0.007,-0.008,,,,
"06-Jun-16,19:01:40",158,-0.007,-0.014,,,,
"06-Jun-16,19:01:41",159,-0.008,-0.02,,,,
"06-Jun-16,19:01:42",160,-0.007,-0.017,,,,
"06-Jun-16,19:01:43",161,-0.01,-0.016,,,,
"06-Jun-16,19:01:44",162,-0.013,-0.018,,,,
"06-Jun-16,19:01:45",163,-0.007,-0.017,,,,
