,Test Name,Theoretical Water,Experimental Water,Percent Difference
0,15-04-13_103117_Datafile,514.583333333,393.253579884,23.58
1,15-12-07_111118_Datafile,144.0,128.177157722,10.99
2,15-12-07_121014_Datafile,156.0,139.148798565,10.8
3,15-12-07_122135_Datafile,159.0,157.117947279,1.18
4,15-12-07_140034_Datafile,177.0,176.341688172,0.37
5,15-12-07_141333_Datafile,159.0,159.229950922,0.14
6,15-12-07_143141_Datafile,130.0,129.994909928,0.0
7,15-12-07_143828_Datafile,196.0,168.034912773,14.27
8,15-12-07_145156_Datafile,130.0,116.4024274,10.46
9,15-12-07_145842_Datafile,130.0,117.995175376,9.23
10,15-12-07_150349_Datafile,132.5,116.285793878,12.24
11,15-12-07_151001_Datafile,125.0,96.385775178,22.89
12,15-12-07_151630_Datafile,132.5,126.030847058,4.88
13,15-12-07_152028_Datafile,132.5,116.156923528,12.33
14,15-12-07_155226_Datafile,130.0,127.284446809,2.09
15,15-12-07_155751_Datafile,102.5,94.103274661,8.19
16,15-12-07_160438_Datafile,120.0,91.696099968,23.59
17,15-12-08_101028_Datafile,168.0,156.955076223,6.57
18,15-12-08_101825_Datafile,159.0,143.026952903,10.05
19,15-12-08_102802_Datafile,168.0,173.093002541,3.03
20,15-12-08_103414_Datafile,159.0,164.71476121,3.59
21,15-12-08_104150_Datafile,177.0,169.949814236,3.98
22,15-12-08_104620_Datafile,213.0,178.049426655,16.41
23,15-12-08_105851_Datafile,132.5,135.332981003,2.14
24,15-12-08_110730_Datafile,213.5,181.280988658,15.09
25,15-12-08_113237_Datafile,132.5,116.121592803,12.36
26,15-12-08_113716_Datafile,132.5,120.496205787,9.06
27,15-12-08_114309_Datafile,130.0,118.788875384,8.62
28,15-12-08_114905_Datafile,132.5,133.266220119,0.58
29,15-12-08_120311_Datafile,137.5,140.037383433,1.85
30,15-12-08_121011_Datafile,132.5,127.624248091,3.68
31,15-12-08_121425_Datafile,137.5,135.360220869,1.56
32,15-12-08_121806_Datafile,135.0,131.647205257,2.48
33,15-12-08_122239_Datafile,122.5,124.66583188,1.77
34,15-12-08_140501_Datafile,237.5,208.957988019,12.02
35,15-12-08_142655_Datafile,220.833333333,209.25391386,5.24
36,15-12-08_144238_Datafile,251.333333333,233.188487763,7.22
37,15-12-08_151308_Datafile,17.5,15.186005931,13.22
38,15-12-08_151603_Datafile,52.5,47.161222122,10.17
39,15-12-08_151902_Datafile,75.0,67.555489088,9.93
40,15-12-08_152446_Datafile,127.5,114.441900914,10.24
41,15-12-08_152906_Datafile,51.865,44.989748973,13.26
42,15-12-08_153737_Datafile,76.032,71.424985857,6.06
43,15-12-08_154306_Datafile,130.0,121.610150735,6.45
44,15-12-08_154812_Datafile,140.833333333,126.51567987,10.17
45,15-12-08_160630_Datafile,132.5,136.771891068,3.22
46,15-12-08_161540_Datafile,38.0,37.134699616,2.28
47,15-12-08_162126_Datafile,89.4166666667,85.809971792,4.03
48,15-12-08_162547_Datafile,73.6666666667,67.696772838,8.1
49,15-12-09_101601_Datafile,108.333333333,106.181328273,1.99
50,15-12-09_102308_Datafile,104.166666667,99.787335796,4.2
51,15-12-09_102830_Datafile,106.25,102.781306775,3.26
52,15-12-09_103306_Datafile,106.25,99.818413532,6.05
53,15-12-09_103649_Datafile,110.416666667,100.595955568,8.89
54,15-12-09_104315_Datafile,95.8333333333,93.261391676,2.68
55,15-12-09_112850_Datafile,122.5,124.136258335,1.34
56,15-12-09_113335_Datafile,120.0,124.018388804,3.35
57,15-12-09_113802_Datafile,127.5,129.638392914,1.68
58,15-12-09_114240_Datafile,132.5,132.659310504,0.12
59,15-12-09_115707_Datafile,120.0,121.274750506,1.06
60,15-12-09_120229_Datafile,115.0,117.149613321,1.87
61,15-12-09_120821_Datafile,122.5,122.517147718,0.01
62,15-12-09_121309_Datafile,130.0,129.822163084,0.14
63,15-12-09_121955_Datafile,125.0,136.340945977,9.07
64,15-12-09_122551_Datafile,110.0,129.000009803,17.27
65,15-12-09_123142_Datafile,95.0,111.580624593,17.45
66,15-12-09_123636_Datafile,117.5,130.490967245,11.06
67,15-12-09_142948_Datafile,153.0,156.198349679,2.09
68,15-12-09_144524_Datafile,120.0,126.460889127,5.38
69,15-12-09_144839_Datafile,144.0,144.736117485,0.51
70,15-12-09_145534_Datafile,165.0,155.289357324,5.89
71,15-12-09_145932_Datafile,159.0,153.246727036,3.62
72,15-12-09_150300_Datafile,156.0,149.037073732,4.46
73,15-12-09_151401_Datafile,122.5,125.273657635,2.26
74,15-12-09_151823_Datafile,110.0,118.440117299,7.67
75,15-12-09_152435_Datafile,130.0,125.738181685,3.28
76,15-12-09_153038_Datafile,127.5,122.08058458,4.25
77,15-12-10_082039_Datafile,130.0,121.053031446,6.88
78,15-12-10_082423_Datafile,135.0,127.472308634,5.58
79,15-12-10_083305_Datafile,132.5,122.421111602,7.61
80,15-12-10_083751_Datafile,137.5,129.065426072,6.13
81,15-12-10_084506_Datafile,125.0,100.297778004,19.76
82,15-12-10_084944_Datafile,115.0,73.691402252,35.92
83,15-12-10_085408_Datafile,100.0,43.595494953,56.4
