Original_Test_Name,Test_Number,Test_Config,Location,Vent_Configuration,Nozzle_Position,Nozzle_Pattern,Nozzle_Direction,Hose_Line_Size,Nozzle_Type,Tip_Size_(in),Nozzle_Pressure_(psi),Flow_Rate_(gpm),Notes,Actual_Flow,Flow_Correction,Pump_Setting
15-04-13_103117_Datafile,0,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,1 3/4,Fog,,100,125,,135 (~6 leak),1,67.6
15-12-07_111118_Datafile,1,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle Ceiling,1 3/4,Smooth Bore,15/16,50,180,,183,1,
15-12-07_111820_Datafile,,ignore,,,,,,,,,,,,,,
15-12-07_121014_Datafile,2,,Exterior,"Open Door, Open Window",Second Floor,Sweeping,Max Angle Ceiling,1 3/4,Smooth Bore,15/16,50,180,,183,1,
15-12-07_122135_Datafile,3,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Mid Ceiling,1 3/4,Smooth Bore,15/16,50,180,,183,1,
15-12-07_131316_Datafile,,ignore,,,,,,,,,,,,,,
15-12-07_140034_Datafile,4,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Min Angle Ceiling,1 3/4,Smooth Bore,15/16,50,180,,183,1,
15-12-07_141333_Datafile,5,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle Wall,1 3/4,Smooth Bore,15/16,50,180,,183,1,
15-12-07_143141_Datafile,6,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle Ceiling,1 3/4,Smooth Bore, 7/8,50,150,,171,1,
15-12-07_143828_Datafile,7,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle Ceiling,1 3/4,Smooth Bore,1,50,210,,220,1,
15-12-07_145156_Datafile,8,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,148,1,
15-12-07_145842_Datafile,9,,Exterior,"Open Door, Open Window",Second Floor,Sweeping,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,148,1,
15-12-07_150349_Datafile,10,,Exterior,"Open Door, Open Window",Second Floor,Wide Sweep,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,148,1,
15-12-07_151001_Datafile,11,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Soffit,1 3/4,Straight Stream,,100,150,,148,1,
15-12-07_151630_Datafile,12,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Mid Ceiling,1 3/4,Straight Stream,,100,150,,148,1,
15-12-07_152028_Datafile,13,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Min Angle Ceiling,1 3/4,Straight Stream,,100,150,,148,1,
15-12-07_155226_Datafile,14,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle Wall,1 3/4,Straight Stream,,100,150,,148,1,
15-12-07_155751_Datafile,15,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle Ceiling,1 3/4,Fog,,100,150,Approx. 45 seconds,145,1,
15-12-07_160438_Datafile,16,,Exterior,"Open Door, Open Window",Second Floor,Comb (Fixed then O),Max Angle Ceiling,1 3/4,Fog,,100,150,,145,1,
15-12-08_101028_Datafile,17,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle Ceiling,1 3/4,Smooth Bore,15/16,50,180,,188,1,
15-12-08_101825_Datafile,18,,Exterior,"Open Door, Open Window",First Floor,Sweeping,Max Angle Ceiling,1 3/4,Smooth Bore,15/16,50,180,,188,1,
15-12-08_102402_Datafile,,ignore,,,,,,,,,,,,,,
15-12-08_102802_Datafile,19,,Exterior,"Open Door, Open Window",First Floor,Fixed,Mid Ceiling,1 3/4,Smooth Bore,15/16,50,180,,188,1,
15-12-08_103414_Datafile,20,,Exterior,"Open Door, Open Window",First Floor,Fixed,Min Angle Ceiling,1 3/4,Smooth Bore,15/16,50,180,,188,1,
15-12-08_104150_Datafile,21,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle Wall,1 3/4,Smooth Bore,15/16,50,180,,188,1,
15-12-08_104620_Datafile,22,,Exterior,"Open Door, Open Window",First Floor,Fixed,At Wall ,1 3/4,Smooth Bore,15/16,50,180,Disregard data beyond 1:30,188,1,
15-12-08_105851_Datafile,23,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle Ceiling,1 3/4,Smooth Bore, 7/8,50,150,,168,1,
