Time,Elapsed Time,PressureV,BDP1VLR,BDP2VLR,BDP3VLR,BDP4VLR,BDP5VLR,BDP1VHR,BDP2VHR,BDP3VHR,BDP4VHR,BDP5VHR,Pressure,BDP1VelLR,BDP2VelLR,BDP3VelLR,BDP4VelLR,BDP5VelLR,BDP1FlowLR,BDP2FlowLR,BDP3FlowLR,BDP4FlowLR,BDP5FlowLR,BDPFlowLR,BDP1VelHR,BDP2VelHR,BDP3VelHR,BDP4VelHR,BDP5VelHR,BDP1FlowHR,BDP2FlowHR,BDP3FlowHR,BDP4FlowHR,BDP5FlowHR,BDPFlowHR
2015-10-28 18:47:54,00:00:01,4.032563327,2.509601879,2.540613451,2.484702828,2.494187847,2.503275426,2.498930169,2.499881572,2.497769305,2.499929193,2.499365803,15.26433074,-36.56674314,-54.76488302,-38.73835616,-48.20490587,-49.63464049,-104.5808854,-156.6275654,-110.7916986,-137.8660308,-151.8819999,-661.7481801,25.06658137,-59.99287444,-55.5577036,-58.89947088,-55.64366323,71.6904227,-171.5796209,-158.8950323,-168.4524867,-170.2696095,-597.5063267
2015-10-28 18:47:55,00:00:02,3.513478084,2.51189118,2.539240064,2.480582086,2.495256212,2.504801662,2.498167051,2.50079725,2.497769305,2.500081795,2.500434194,10.09424172,-26.68661965,-58.08709236,-51.24033667,-45.07840166,-45.24327293,-76.32373219,-166.1290842,-146.5473629,-128.9242287,-138.4444152,-656.3688231,-38.14296072,-33.15807654,-55.5577036,-55.24999977,-13.40307235,-109.0888677,-94.83209889,-158.8950323,-158.0149993,-41.01340138,-561.8443996
2015-10-28 18:47:56,00:00:03,3.215854967,2.51082284,2.543665424,2.479208505,2.49434047,2.504191168,2.498472298,2.499576347,2.498074545,2.499929193,2.499671058,7.129915466,-31.6831104,-46.54075151,-54.77720989,-47.77079203,-47.0490304,-90.61369575,-133.1065493,-156.6628203,-136.6244652,-143.970033,-660.9775636,-24.93186457,-66.57607653,-47.46988921,-58.89947088,-47.57005508,-71.30513268,-190.4075789,-135.7638831,-168.4524867,-145.5643686,-711.49345
2015-10-28 18:47:57,00:00:04,3.848647503,2.508991399,2.542139438,2.482718767,2.494950965,2.502512308,2.498167051,2.501102476,2.497769305,2.500081795,2.499518431,13.43252913,-38.77860639,-50.81945475,-45.19164158,-45.99338055,-51.69061261,-110.9068143,-145.3436406,-129.2480949,-131.5410684,-158.1732746,-675.2128927,-38.14296072,-16.31652714,-55.5577036,-55.24999977,-51.76450231,-109.0888677,-46.66526763,-158.8950323,-158.0149993,-158.3993771,-631.063544
2015-10-28 18:47:58,00:00:05,4.199995409,2.509296639,2.54076605,2.481345186,2.49266161,2.501901813,2.498777546,2.499728959,2.498379785,2.500386999,2.499671058,16.93195427,-37.68890431,-54.38322231,-49.16558847,-52.34841679,-53.27829716,-107.7902663,-155.5360158,-140.613583,-149.716472,-163.0315893,-716.6879265,14.54956049,-63.37002032,-37.68451054,-47.11042438,-47.57005508,41.61174301,-181.2382581,-107.7777001,-134.7358137,-145.5643686,-527.7043975
2015-10-28 18:47:59,00:00:06,4.02798451,2.508686158,2.539545261,2.478140164,2.492356363,2.500680824,2.498472298,2.499423734,2.497769305,2.500081795,2.499823685,15.21872572,-39.838513,-57.36545313,-57.37757872,-53.13836184,-56.31955238,-113.9381472,-164.065196,-164.0998751,-151.9757149,-172.3378303,-766.4167634,-24.93186457,-69.63467855,-55.5577036,-55.24999977,-42.96808795,-71.30513268,-199.1551806,-158.8950323,-158.0149993,-131.4823491,-718.8526941
2015-10-28 18:48:00,00:00:07,3.986927782,2.506549477,2.540308254,2.475698243,2.490067008,2.495644243,2.497556556,2.499576347,2.497769305,2.500234397,2.498755294,14.80980071,-46.58749565,-55.52033409,-62.91900331,-58.72521762,-67.43008594,-133.2402376,-158.7881555,-179.9483495,-167.9541224,-206.336063,-846.2669279,-55.87003326,-66.57607653,-55.5577036,-51.34176935,-69.0132704,-159.7882951,-190.4075789,-158.8950323,-146.8374603,-211.1806074,-867.108974
2015-10-28 18:48:01,00:00:08,3.441438027,2.505938997,2.541986839,2.475087763,2.489151266,2.49594949,2.49770918,2.499881572,2.497464065,2.500386999,2.499060549,9.376722749,-48.34302805,-51.22767343,-64.22970175,-60.81642426,-66.80933866,-138.2610602,-146.511146,-183.696947,-173.9349734,-204.4365763,-846.8407029,-52.0078535,-59.99287444,-62.60931621,-47.11042438,-62.68591847,-148.742461,-171.5796209,-179.0626444,-134.7358137,-191.8189105,-825.9394505
2015-10-28 18:48:02,00:00:09,3.267595601,2.508075678,2.540155655,2.478445404,2.487930277,2.498086221,2.498319675,2.50079725,2.498074545,2.499166182,2.498755294,7.645252184,-41.87792649,-55.89423084,-56.6467981,-63.49765738,-62.29114243,-119.7708698,-159.8575002,-162.0098426,-181.6033001,-190.6108958,-813.8524085,-32.22175759,-33.15807654,-47.46988921,-74.51223821,-69.0132704,-92.1542267,-94.83209889,-135.7638831,-213.1050013,-211.1806074,-747.0358175
2015-10-28 18:48:03,00:00:10,3.294152741,2.505481137,2.543970621,2.476461343,2.489609137,2.497780974,2.497251309,2.500644637,2.497769305,2.499318784,2.499365803,7.909761296,-49.61893356,-45.63689807,-61.241195,-59.77996589,-62.95645466,-141.91015,-130.5215285,-175.1498177,-170.9707025,-192.6467513,-811.1989499,-62.88678874,-38.93677606,-55.5577036,-71.66232238,-55.64366323,-179.8562158,-111.3591795,-158.8950323,-204.954242,-170.2696095,-825.3342791
