Time,Elapsed Time,BDP1V,BDP2V,BDP3V,BDP4V,BDP5V,PressureV,Matrix1VLR,Matrix2VLR,Matrix3VLR,Matrix4VLR,Matrix5VLR,Matrix1VHR,Matrix2VHR,Matrix3VHR,Matrix4VHR,Matrix5VHR,Matrix5PressLR,Matrix4PressLR,Matrix3PressLR,Matrix2PressLR,Matrix1PressLR,Matrix5VelLR,Matrix4VelLR,Matrix3VelLR,Matrix2VelLR,Matrix1VelLR,Matrix5FlowLR,Matrix4FlowLR,Matrix3FlowLR,Matrix2FlowLR,Matrix1FlowLR,TotalFlowLR,Matrix5PressHR,Matrix4PressHR,Matrix3PressHR,Matrix2PressHR,Matrix1PressHR,Matrix5VelHR,Matrix4VelHR,Matrix3VelHR,Matrix2VelHR,Matrix1VelHR,Matrix5FlowHR,Matrix4FlowHR,Matrix3FlowHR,Matrix2FlowHR,Matrix1FlowHR,TotalFlowHR,Pressure,BDP1Vel,BDP2Vel,BDP3Vel,BDP4Vel,BDP5Vel,BDP1Flow,BDP2Flow,BDP3Flow,BDP4Flow,BDP5Flow,TotalBDPFlow
2015-10-27 12:04:23,00:00:00,2.498133395,2.509098172,2.504214268,2.506550091,2.48856531,2.482328452,2.522269346,2.519402243,2.511716583,2.494950965,2.508006759,2.485957158,2.495913636,2.48891734,2.49626674,2.497229022,0.000160135,-0.000100981,0.000234332,0.000388045,0.000445387,40.54486832,-32.1967246,49.04649627,63.11512932,67.61783098,107.8493497,-85.64328745,130.4636801,167.886244,179.8634304,500.4194168,-0.000554196,-0.000746652,-0.002216532,-0.000817273,-0.002808568,-75.42651623,-87.54908923,-150.8445106,-91.59589662,-169.7989542,-230.8051397,-250.3903952,-431.4153005,-261.9642643,-485.6250091,-1660.200109,0.176008619,-31.44570056,69.42440718,47.24938583,58.90589803,-77.83004656,-89.9347036,198.5538045,135.1332435,168.4708684,-238.1599425,180.1944053
2015-10-27 12:04:24,00:00:01,2.497522915,2.502077978,2.501924967,2.503344769,2.499095109,2.500338466,2.518301224,2.516197672,2.509274661,2.494798341,2.50678577,2.48519404,2.494692733,2.48968044,2.49626674,2.497381649,0.000135715,-0.000104033,0.000185493,0.000323953,0.000366024,37.32562394,-32.67972756,43.63716604,57.66785619,61.29817857,99.28615969,-86.92807531,116.0748617,153.3964975,163.053155,444.8825985,-0.00052367,-0.000746652,-0.002063912,-0.001061453,-0.002961192,-73.31982559,-87.54908923,-145.5586728,-104.3861745,-174.3515436,-224.3586663,-250.3903952,-416.2978041,-298.5444592,-498.6454147,-1688.236739,0.003371123,-36.22476324,33.17840733,31.93351306,42.09380374,-21.89441179,-103.6028229,94.89024498,91.32984735,120.3882787,-66.99690007,139.0280182
2015-10-27 12:04:25,00:00:02,2.490349771,2.505893301,2.498109464,2.498002565,2.505657157,2.513464409,2.513722621,2.510551523,2.50698536,2.494798341,2.50342805,2.485499287,2.495303185,2.48845948,2.495808933,2.496618513,6.8561E-05,-0.000104033,0.000139707,0.00021103,0.000274452,26.52962127,-32.67972756,37.87057575,46.54414784,53.07940458,70.56879258,-86.92807531,100.7357315,123.8074333,141.1912162,349.3750982,-0.000676297,-0.000838213,-0.002308104,-0.000939363,-0.002900143,-83.3223227,-92.76193378,-153.9289118,-98.19949519,-172.5449228,-254.9663074,-265.2991306,-440.2366878,-280.8505562,-493.4784793,-1734.831161,0.134105512,-71.49964881,55.87459732,-31.6466336,-32.52905166,54.7437091,-204.4889956,159.8013483,-90.50937209,-93.03308776,167.5157499,-64.1089007
2015-10-27 12:04:26,00:00:03,2.48821309,2.51001385,2.500093526,2.507465898,2.481087627,2.464013183,2.51158594,2.506583959,2.510343002,2.493577352,2.50220706,2.484583545,2.494997959,2.4886121,2.495656331,2.497229022,4.41412E-05,-0.000128453,0.00020686,0.000131679,0.000231719,21.28700684,-36.31320336,46.08194597,36.76639638,48.77228948,56.62343818,-96.59312093,122.5779763,97.79861438,129.73429,310.1411979,-0.000554196,-0.000868734,-0.00227758,-0.001000408,-0.003083291,-75.42651623,-94.43562606,-152.9076913,-101.340057,-177.9097566,-230.8051397,-270.0858905,-437.3159972,-289.8325629,-508.8219038,-1736.861494,0.358428696,-79.01964716,72.83424779,7.038827504,62.88920731,-100.0940143,-225.9961909,208.3059487,20.13104666,179.8631329,-306.2876838,-121.2722784
2015-10-27 12:04:27,00:00:04,2.486686889,2.506808978,2.497498984,2.507007995,2.48459756,2.459586993,2.508075678,2.502158599,2.503169858,2.491287997,2.499612458,2.482141566,2.490724797,2.48815424,2.494588116,2.496313258,-7.75084E-06,-0.00017424,6.33972E-05,4.3172E-05,0.000161514,-8.920041902,-42.29280683,25.51099605,21.05200649,40.71899066,-23.72731146,-112.4988662,67.8592495,55.99833727,108.3125152,95.94392431,-0.000737348,-0.001082377,-0.002369152,-0.001855041,-0.003571687,-87.00192247,-105.4099865,-155.9512923,-137.9968666,-191.4825433,-266.2258828,-301.4725613,-446.020696,-394.6710385,-547.6400737,-1956.030252,0.402513548,-83.97980773,60.05872097,-36.39932425,60.9301125,-90.3295526,-240.1822501,171.767942,-104.1020674,174.2601218,-276.408431,-274.6387494
2015-10-27 12:04:28,00:00:05,2.495691474,2.5011623,2.504366888,2.500902619,2.493753907,2.449208341,2.507312578,2.502616395,2.503627718,2.490067008,2.499612458,2.482446814,2.492250926,2.4886121,2.494130309,2.496160631,-7.75084E-06,-0.00019866,7.25544E-05,5.23279E-05,0.000146252,-8.920041902,-45.15933629,27.29130393,23.17710309,38.74741647,-23.72731146,-120.1238345,72.59486845,61.65109421,103.0681278,93.46294448,-0.000767874,-0.001173938,-0.00227758,-0.001549815,-0.003510637,-88.78455407,-109.7779513,-152.9076913,-126.1340705,-189.8390213,-271.6807354,-313.9649406,-437.3159972,-360.7434417,-542.939601,-1926.644716,0.505884925,-47.77486405,24.81385448,48.0973472,21.86690305,-57.52270935,-136.6361112,70.96762382,137.558413,62.53934272,-176.0194906,-39.59081034
2015-10-27 12:04:29,00:00:06,2.487297369,2.501467526,2.499635665,2.494491974,2.499552926,2.458365975,2.506702097,2.500785211,2.502864618,2.491287997,2.499765082,2.482904685,2.489656506,2.487696379,2.495961535,2.496008004,-4.69837E-06,-0.00017424,5.72924E-05,1.57042E-05,0.000134042,-6.944899527,-42.29280683,24.25162577,12.69699124,37.09478601,-18.47343274,-112.4988662,64.50932455,33.7739967,98.67213079,65.98315313,-0.000798399,-0.000807693,-0.002460724,-0.002068699,-0.003419063,-90.53209137,-91.0574832,-158.9366197,-145.7273729,-187.3467066,-277.0281996,-260.424402,-454.5587323,-416.7802864,-535.8115809,-1944.603201,0.414674887,-82.03174214,27.88226116,-13.89265807,-54.01732657,-15.38950839,-234.6107825,79.74326691,-39.73300209,-154.489554,-47.09189566,-401.3741019
2015-10-27 12:04:30,00:00:07,2.48836571,2.504672397,2.502688067,2.495102512,2.492838272,2.44981885,2.506854717,2.498648831,2.503169858,2.491287997,2.498238845,2.481378448,2.487367312,2.488001619,2.495045922,2.496465886,-3.52231E-05,-0.00017424,6.33972E-05,-2.70234E-05,0.000137094,-19.01543611,-42.29280683,25.51099605,-16.65568035,37.51476953,-50.58106005,-112.4988662,67.8592495,-44.30410973,99.78928694,-39.7354995,-0.000706823,-0.000990816,-0.002399676,-0.002526538,-0.00372431,-85.18199332,-100.8530213,-156.9527107,-161.0480188,-195.530919,-260.6568996,-288.439641,-448.8847527,-460.5973339,-559.2184283,-2017.797055,0.499804256,-78.50639649,49.75136354,37.73593766,-50.93564423,-61.59479433,-224.528294,142.2888997,107.9247817,-145.6759425,-188.4800707,-310.2552857
2015-10-27 12:04:31,00:00:08,2.487297369,2.500246622,2.497804224,2.495713049,2.496806022,2.364958104,2.505175896,2.500785211,2.502559378,2.490524879,2.497475727,2.480310082,2.485535957,2.4886121,2.49489332,2.496465886,-5.04855E-05,-0.000189502,5.11876E-05,1.57042E-05,0.000103518,-22.76542116,-44.10622518,22.92317137,12.69699124,32.59870111,-60.5560203,-117.322559,60.97563584,33.7739967,86.71254495,3.583598206,-0.000706823,-0.001021336,-0.00227758,-0.002892809,-0.003937984,-85.18199332,-102.3945459,-152.9076913,-172.3266146,-201.0617481,-260.6568996,-292.8484012,-437.3159972,-492.8541178,-575.0365995,-2058.712015,1.34501728,-82.03174214,11.43013715,-34.10586624,-47.65509561,-41.13400981,-234.6107825,32.69019225,-97.54277745,-136.2935734,-125.87007,-568.1081713
2015-10-27 12:04:32,00:00:09,2.484702828,2.501620139,2.499025185,2.499834178,2.497569051,2.290170757,2.505481137,2.500785211,2.502711998,2.491135374,2.496865232,2.479089093,2.483704602,2.48815424,2.494282911,2.496465886,-6.26954E-05,-0.000177293,5.424E-05,1.57042E-05,0.000109623,-25.36940033,-42.66165758,23.59674912,12.69699124,33.54616045,-67.48260488,-113.4800092,62.76735266,33.7739967,89.2327868,4.811522118,-0.000706823,-0.001143418,-0.002369152,-0.00325908,-0.004182181,-85.18199332,-108.3415316,-155.9512923,-182.9110708,-207.201998,-260.6568996,-309.8567804,-446.020696,-523.1256626,-592.5977144,-2132.257753,2.089899261,-90.02034558,29.29619504,-22.7245976,-9.372515888,-35.8858319,-257.4581884,83.78711781,-64.99234914,-26.80539544,-109.8106456,-379.2278681
