,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-29-13:54:00,Background,0.0,-255.3301223612028
1,2015-10-29-13:56:00,Straight Stream,120.0,226.54576488876464
2,2015-10-29-13:56:25,End Straight Stream Advance,145.0,-717.2405487914814
3,2015-10-29-13:57:25,Straight Stream Advance - 'O' Pattern,205.0,2605.0973726888305
4,2015-10-29-13:57:57,End Straight Stream 'O' Advance,237.0,-1236.4382985586044
5,2015-10-29-13:59:37,Narrow Fog Advance,337.0,420.30158704427043
6,2015-10-29-14:00:08,End Narrow Fog Advance,368.0,2149.3910110248557
7,2015-10-29-14:00:39,Narrow Fog Advance - 'O' Pattern,399.0,2165.8183106014853
8,2015-10-29-14:01:11,End Narrow Fog Advance - 'O' Pattern,431.0,577.4021723452308
9,2015-10-29-14:02:11,End Test,491.0,NaN
