Plot_Name,Chart_Title,Chart_Type,Legend,Experiments_To_Compare,Bars,Anomalies
Setback_Distance_Comparison,Setback Distance Comparison,Preliminary Testing,Pres: 50 psi|Pres: 100 psi,Exp_01_102615|Exp_02_102615,1|3|5|7|9,
Opening_Occlusion,Opening Occlusion,Preliminary Testing,,Exp_03_102615,1|2|3,
Nozzle_Movement_Comparison_1,Nozzle Movement Comparison 1,Preliminary Testing,,Exp_25_102715,1|2|3,
Nozzle_Movement_Comparison_2,Nozzle Movement Comparison 2,Preliminary Testing,,Exp_26_102715,1|2,
Manufacturer_1_5_Combination Nozzle_95gpm_100psi,"1.5"" Combination Nozzle: 95gpm @ 100psi",Manufacturer Comparison,,Exp_07_102615|Exp_12_102615|Exp_19_102715,1|2|3|4,Exp 7: 1|2|5|6
Manufacturer_1_5_Combination_Nozzle_150gpm_50psi,"1.5"" Combination Nozzle: 150gpm @ 50psi",Manufacturer Comparison,,Exp_04_102615|Exp_14_102615|Exp_21_102716,1|2|3|4,Exp 4: 1|2|5|6
Manufacturer_1_5_Combination_Nozzle_150gpm_75psi,"1.5"" Combination Nozzle: 150gpm @ 75psi",Manufacturer Comparison,,Exp_05_102615|Exp_13_102615|Exp_20_102717,1|2|3|4,Exp 5: 1|2|5|6
Manufacturer_1_5_Combination_Nozzle_150gpm_100psi,"1.5"" Combination Nozzle: 150gpm @ 100psi",Manufacturer Comparison,,Exp_06_102615|Exp_11_102615|Exp_18_102718,1|2|3|4,Exp 6: 1|2|5|6
Manufacturer_1_5_Smooth_Bore_Nozzle_7_8_150gpm_50psi,"1.5"" Smooth Bore Nozzle: 7/8"" 150gpm @ 50psi",Manufacturer Comparison,,Exp_08_102615|Exp_15_102615|Exp_22_102719,1|2,
Manufacturer_1_5_Smooth_Bore_Nozzle_15_16_180gpm_50psi,"1.5"" Smooth Bore Nozzle: 15/16"" 180gpm @ 50psi",Manufacturer Comparison,,Exp_09_102615|Exp_16_102615|Exp_23_102720,1|2,
Manufacturer_1_5_Smooth_Bore_Nozzle_1_210gpm_50psi,"1.5"" Smooth Bore Nozzle: 1"" 210gpm @ 50psi",Manufacturer Comparison,,Exp_10_102615|Exp_17_102615|Exp_24_102721,1|2,
Total_Entrainment_1_5_Combination_Nozzle_Interior,"1.5"" Combination Nozzle Interior",Total Air Entrainment,,,,
Total_Entrainment_1_5_Smooth_Bore_Nozzle_Interior,"1.5"" Smooth Bore Nozzle Interior",Total Air Entrainment,,,,
Total_Entrainment_2_5_Combination_Nozzle_Interior,"2.5"" Combination Nozzle Interior",Total Air Entrainment,,,,
Total_Entrainment_2_5_Smooth_Bore_Nozzle_Interior,"2.5"" Smooth Bore Nozzle Interior",Total Air Entrainment,,,,
Total_Entrainment_MS_Combination_Nozzle_Interior,MS Combination Nozzle Interior,Total Air Entrainment,,,,
MS_Smooth_Bore_Nozzle_Interior,MS Smooth Bore Nozzle Interior,Total Air Entrainment,,,,
Total_Entrainment_PM_Combination_Nozzle_Interior,PM Combination Nozzle Interior,Total Air Entrainment,,,,
Total_Entrainment_PM_Smooth_Bore_Nozzle_Interior,PM Smooth Bore Nozzle Interior,Total Air Entrainment,,,,
Total_Entrainment_1_5_Comination_Nozzle_Exterior,"1.5"" Comination Nozzle Exterior",Total Air Entrainment,,,,
Total_Entrainment_1_5_Smooth_Bore_Nozzle_Exterior,"1.5"" Smooth Bore Nozzle Exterior",Total Air Entrainment,,,,
Total_Entrainment_2_5_Combination_Nozzle_Exterior,"2.5"" Combination Nozzle Exterior",Total Air Entrainment,,,,
Total_Entrainment_2_5_Smooth_Bore_Nozzle_Exterior,"2.5"" Smooth Bore Nozzle Exterior",Total Air Entrainment,,,,
Total_Entrainment_PM_Combination_Nozzle_Exterior,PM Combination Nozzle Exterior,Total Air Entrainment,,,,
Total_Entrainment_PM_Smooth_Bore_Nozzle_Exterior,PM Smooth Bore Nozzle Exterior,Total Air Entrainment,,,,
Total_Entrainment_1_5_Combination_Nozzle_Interior,"1.5"" Combination Nozzle Interior",Room Configuration,,,,
Total_Entrainment_1_5_Combination_Nozzle_Interior,"1.5"" Combination Nozzle Interior",Room Configuration,,,,
Total_Entrainment_1_5_Combination_Nozzle_Interior,"1.5"" Combination Nozzle Interior",Room Configuration,,,,
,,Room Configuration,,,,
,,Room Configuration,,,,
,,Room Configuration,,,,
,,Room Configuration,,,,
,,Room Configuration,,,,
