Experiment_Type,Test_Name,Original_Name,Test_Config,Location,Top_Vent,Bottom_Vent,Nozzle_Size,Manufacturer,Generic_Name,Nozze_Type,Tip_Size,Flow_Rate,Pressure,
Manufacturer,Exp_12_102615,1.75 Automatic 95GPM 100PSI_2015-10-26-1706,,Interior,,,1.5,Akron,Man. III,Combination,,95,100,
Manufacturer,Exp_14_102615,1.75 Automatic 150GPM 50PSI_2015-10-26-1723,,Interior,,,1.5,Akron,Man. III,Combination,,150,50,
Manufacturer,Exp_13_102615,1.75 Automatic 150GPM 75PSI_2015-10-26-1714,,Interior,,,1.5,Akron,Man. III,Combination,,150,75,
Manufacturer,Exp_11_102615,1.75 Automatic 150GPM 100PSI_2015-10-26-1656,,Interior,,,1.5,Akron,Man. III,Combination,,150,100,
Manufacturer,Exp_15_102615,1.75 Smooth Bore 7_18in 150GPM 50PSI_2015-10-26-1732,,Interior,,,1.5,Akron,Man. III,Smooth Bore,8-Jul,150,50,
Manufacturer,Exp_16_102615,1.75 Smooth Bore 15_16in 180GPM 50PSI_2015-10-26-1737,,Interior,,,1.5,Akron,Man. III,Smooth Bore,15/16,180,50,
Manufacturer,Exp_17_102615,1.75 Smooth Bore 1in 210GPM 50PSI_2015-10-26-1743,,Interior,,,1.5,Akron,Man. III,Smooth Bore,1,210,50,
Manufacturer,Exp_19_102715,1.75 Automatic Nozzle 95GPM 100PSI_2015-10-27-0752,,Interior,,,1.5,Elkhart,Man. II,Combination,,95,100,
Manufacturer,Exp_21_102715,1.75 Automatic Nozzle 150GPM 50PSI_2015-10-27-0834,,Interior,,,1.5,Elkhart,Man. II,Combination,,150,50,
Manufacturer,Exp_20_102715,1.75 Automatic Nozzle 150GPM 75PSI_2015-10-27-0815,,Interior,,,1.5,Elkhart,Man. II,Combination,,150,75,
Manufacturer,Exp_18_102715,1.75 Automatic Nozzle 150GPM 100PSI_2015-10-27-0725,,Interior,,,1.5,Elkhart,Man. II,Combination,,150,100,
Manufacturer,Exp_22_102715,1.75 Smooth Bore 7_8in 150GPM 50PSI_2015-10-27-0843,,Interior,,,1.5,Elkhart,Man. II,Smooth Bore,8-Jul,150,50,
Manufacturer,Exp_23_102715,1.75 Smooth Bore 15_16in 180GPM 50PSI_2015-10-27-0852,,Interior,,,1.5,Elkhart,Man. II,Smooth Bore,15/16,180,50,
Manufacturer,Exp_24_102715,1.75 Smooth Bore 1in 210GPM 50PSI_2015-10-27-0901,,Interior,,,1.5,Elkhart,Man. II,Smooth Bore,1,210,50,
Manufacturer,Exp_07_102615,1.75 Automatic Nozzle 95GPM 100PSI_2015-10-26-1608,,Interior,,,1.5,TFT,Man. I,Combination,,95,100,
Manufacturer,Exp_04_102615,1.75 Automatic Nozzle 150GPM 50PSI_2015-10-26-1517,,Interior,,,1.5,TFT,Man. I,Combination,,150,50,
Manufacturer,Exp_05_102615,1.75 Automatic Nozzle 150GPM 75PSI_2015-10-26-1530,,Interior,,,1.5,TFT,Man. I,Combination,,150,75,
Manufacturer,Exp_06_102615,1.75 Automatic Nozzle 150GPM 100PSI_2015-10-26-1551,,Interior,,,1.5,TFT,Man. I,Combination,,150,100,
Manufacturer,Exp_08_102615,1.75 Smooth Bore 7_8In 150GPM 50PSI_2015-10-26-1620,,Interior,,,1.5,TFT,Man. I,Smooth Bore,8-Jul,150,50,
Manufacturer,Exp_09_102615,1.75 Smooth Bore 15_16In 180GPM 50PSI_2015-10-26-1630,,Interior,,,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Manufacturer,Exp_10_102615,1.75 Smooth Bore 1In 210GPM 50PSI_2015-10-26-1640,,Interior,,,1.5,TFT,Man. I,Smooth Bore,1,210,50,
Manufacturer,Exp_27_102715,2.5 Automatic Nozzle 1in 250GPM at 50PSI_2015-10-27-1204,,Interior,,,2.5,TFT,Man. I,Combination,,250,50,
Manufacturer,Exp_28_102715,2.5 Automatic Nozzle 1in 250GPM at 75PSI_2015-10-27-1216,,Interior,,,2.5,TFT,Man. I,Combination,,250,75,
Manufacturer,Exp_29_102715,2.5 Automatic Nozzle 1in 250GPM at 100PSI_2015-10-27-1250,,Interior,,,2.5,TFT,Man. I,Combination,,250,100,
Manufacturer,Exp_30_102715,2.5 Smooth Bore 1 1_8in 260GPM at 50PSI_2015-10-27-1307,,Interior,,,2.5,TFT,Man. I,Smooth Bore,1 1/8,260,50,
Manufacturer,Exp_31_102715,2.5 Smooth Bore 1 1_4in 260GPM at 50PSI_2015-10-27-1315,,Interior,,,2.5,TFT,Man. I,Smooth Bore,1 1/4,320,50,
Manufacturer,Exp_36_102715,Master Stream Fog Tip 600GPM at 80PSI_2015-10-27-1639,,Interior,,,MS,TFT,Man. I,Combination,,500,100,
Manufacturer,Exp_37_102715,Master Stream Fog Tip 750PM_2015-10-27-1646,,Interior,,,MS,TFT,Man. I,Combination,,750,100,
Manufacturer,Exp_34_102715,Master Stream 1 1_2in Tip 600GPM at 80PSI_2015-10-27-1624,,Interior,,,MS,TFT,Man. I,Smooth Bore,1 1/2,600,80,
Manufacturer,Exp_35_102715,Master Stream 1 3_4in Tip 600GPM at 80PSI_2015-10-27-1629,,Interior,,,MS,TFT,Man. I,Smooth Bore,1 3/4,800,80,
Manufacturer,Exp_33_102715,Portable Monitor Fog Tip 500GPM at 80PSI_2015-10-27-1354,,Interior,,,PM,TFT,Man. I,Combination,,500,80,
Manufacturer,Exp_32_102715,Portable Monitor Smooth Bore 1 3_8in 480GPM at 80PSI_2015-10-27-1344,,Interior,,,PM,TFT,Man. I,Smooth Bore,1 3/8,480,80,
Manufacturer,,1_5_TFTComb_150GPM_75PSI,ignore,Exterior,,,1.5,TFT,Man. I,Combination,,150,75,
Manufacturer,Exp_38_102715,1.5 Smooth Bore 15_16in 180GPM 50PSI _2015-10-27-1923,,Exterior,,,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Manufacturer,Exp_39_102715,2.5 Automatic Nozzle 250GPM 75PSI_2015-10-27-1950,,Exterior,,,2.5,TFT,Man. I,Combination,,250,75,
Manufacturer,Exp_40_102715,2.5 Smooth Bore 1 1_4 320GPM 50PSI_2015-10-27-2003,,Exterior,,,2.5,TFT,Man. I,Smooth Bore,1 1/4,320,50,
Manufacturer,Exp_41_102715,Portable Monitor Automatic Nozzle 500GPM 75PSI_2015-10-27-2017,,Exterior,,,PM,TFT,Man. I,Combination,,500,75,
Manufacturer,Exp_42_102715,Portable Monitor Smooth Bore 500GPM 75PSI_2015-10-27-2026,,Exterior,,,PM,TFT,Man. I,Smooth Bore,,500,80,
Bedroom_Setup,Exp_86_102915,1_5 Smooth Bore 180GPM 50PSI_2015-10-29-1131,,Interior,,,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Bedroom_Setup,Exp_87_102915,1_5 Smooth Bore 180GPM 50PSI_2015-10-29-1141,,Interior,,,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
