Time,GPM,Total Gallons
21:43.0,0.14888884,0.046073508
21:43.0,0.19112894,0.046101846
21:43.0,0.22920452,0.046136871
21:43.0,0.21373633,0.046173785
21:43.0,0.17268609,0.046205986
21:43.1,0.084041372,0.046227381
21:43.1,0.10069944,0.046242777
21:43.1,0.14710405,0.046263427
21:43.1,0.12152202,0.046285816
21:43.1,0.19469853,0.046312168
21:43.1,0.20481236,0.046345461
21:43.1,0.21671097,0.046380587
21:43.1,0.19826812,0.046415169
21:43.1,0.12449668,0.046442065
21:43.2,0.10783862,0.046461429
21:43.2,0.13699023,0.046481833
21:43.2,0.19112894,0.046509176
21:43.2,0.21671097,0.046543162
21:43.2,0.20302756,0.046578143
21:43.2,0.20481236,0.046612129
21:43.2,0.16078746,0.046642598
21:43.2,0.13342065,0.046667114
21:43.2,0.10605382,0.04668707
21:43.2,0.16554691,0.046709705
21:43.2,0.11795244,0.046733331
21:43.3,0.12330682,0.046753436
21:43.3,0.13163584,0.046774682
21:43.3,0.1536483,0.046798456
21:43.3,0.17268609,0.046825651
21:43.3,0.1691165,0.046854135
21:43.3,0.19112894,0.046884157
21:43.3,0.25478655,0.046921317
21:43.3,0.1881543,0.046958227
21:43.3,0.25597641,0.046995241
21:43.3,0.17744553,0.047031358
21:43.4,0.18993908,0.047061976
21:43.4,0.15543309,0.047090758
21:43.4,0.17447087,0.04711825
21:43.4,0.19469853,0.047149014
21:43.4,0.12985106,0.047176059
21:43.4,0.1536483,0.047199685
21:43.4,0.18279991,0.047227725
21:43.4,0.17447087,0.047257498
21:43.4,0.13996488,0.047283702
21:43.4,0.057864413,0.047300186
21:43.5,0.11795244,0.047314838
21:43.5,0.13996488,0.047336332
21:43.5,0.084041372,0.047355
21:43.5,0.11081327,0.047371238
21:43.5,0.098914646,0.047388714
21:43.5,0.10426903,0.047405649
21:43.5,0.13520543,0.047425605
21:43.5,0.14174968,0.047448684
21:43.5,0.071547821,0.047466461
21:43.5,0.11973723,0.047482401
21:43.6,0.092370406,0.047500078
21:43.6,0.073332615,0.047513884
21:43.6,0.10426903,0.047528684
21:43.6,0.029307727,0.047539815
21:43.6,0.073332615,0.047548369
21:43.6,-0.027210714,0.047552213
21:43.6,0.013839521,0.047551099
21:43.6,0.098914646,0.047560494
21:43.6,0.12985106,0.04757956
21:43.7,0.1691165,0.047604475
21:43.7,0.11616764,0.04762825
21:43.7,0.065003581,0.047643345
21:43.7,0.17744553,0.047663551
21:43.7,0.15067364,0.047690894
21:43.7,0.0941552,0.047711298
21:43.7,0.092370406,0.047726844
21:43.7,0.15721788,0.047747642
21:43.7,0.15721788,0.047773845
21:43.7,0.16733171,0.047800891
21:43.8,0.16376212,0.047828484
21:43.8,0.15721788,0.047855232
21:43.8,0.2018377,0.047885153
21:43.8,0.11259806,0.047911357
21:43.8,0.1709013,0.047934983
21:43.8,0.13996488,0.047960889
21:43.8,0.095939994,0.047980547
21:43.8,0.13699023,0.047999959
21:43.8,0.097724788,0.048019517
21:43.8,0.095939994,0.048035659
21:43.9,0.0941552,0.048051499
21:43.9,0.10605382,0.048068184
21:43.9,0.063218787,0.048082292
21:43.9,0.082256578,0.048094414
21:43.9,0.10069944,0.048109662
21:43.9,0.12152202,0.04812818
21:43.9,0.084041372,0.048145309
21:43.9,0.078686997,0.048158869
21:43.9,0.098914646,0.04817367
21:43.9,0.073332615,0.048188027
21:43.9,0.10069944,0.04820253
21:44.0,0.12985106,0.048221741
21:44.0,0.12449668,0.048242938
21:44.0,0.070357963,0.048259176
21:44.0,0.085231237,0.04827214
21:44.0,0.18101512,0.048294328
21:44.0,0.16257226,0.048322961
21:44.0,0.11438286,0.048346043
21:44.0,0.15543309,0.048368528
21:44.0,0.1096234,0.048390616
21:44.0,0.19826812,0.048416272
21:44.1,0.095939994,0.048440792
21:44.1,0.10248423,0.048457328
21:44.1,0.12628147,0.048476391
21:44.1,0.11438286,0.048496448
21:44.1,0.13818009,0.048517495
21:44.1,0.084041372,0.048536014
21:44.1,0.090585612,0.048550565
21:44.1,0.16078746,0.048571516
21:44.1,0.14531927,0.048597023
21:44.1,0.17625567,0.048623823
21:44.2,0.1536483,0.048651315
21:44.2,0.12449668,0.048674494
21:44.2,0.13342065,0.048695989
21:44.2,0.1709013,0.048721347
21:44.2,0.16376212,0.048749238
21:44.2,0.12330682,0.048773158
21:44.2,0.092370406,0.048791133
21:44.2,0.16554691,0.048812628
21:44.2,0.18993908,0.048842251
21:44.3,0.14353447,0.048870042
21:44.3,0.18279991,0.048897237
21:44.3,0.1709013,0.048926711
21:44.3,0.15067364,0.048953511
21:44.3,0.2440778,0.048986409
21:44.3,0.23217918,0.049026094
21:44.3,0.22385015,0.0490641
21:44.3,0.1518635,0.049095411
21:44.3,0.14174968,0.049119879
21:44.3,0.15067364,0.049144246
21:44.4,0.17744553,0.049171589
21:44.4,0.23217918,0.049205728
21:44.4,0.1518635,0.049237732
21:44.4,0.10248423,0.049258925
21:44.4,0.095939994,0.049275462
21:44.4,0.13699023,0.049294874
21:44.4,0.11973723,0.049316268
21:44.4,0.17625567,0.049340934
21:44.4,0.16733171,0.049369566
21:44.4,0.13818009,0.049395029
21:44.4,0.16257226,0.049420092
21:44.5,0.1536483,0.049446441
21:44.5,0.0941552,0.049467094
21:44.5,0.16078746,0.04948834
21:44.5,0.12628147,0.049512263
21:44.5,0.034067173,0.049525626
21:44.5,0.11259806,0.049537849
21:44.5,0.12330682,0.049557507
21:44.5,0.16554691,0.049581576
21:44.5,0.18101512,0.049610458
21:44.5,0.10783862,0.049634531
21:44.6,0.20005292,0.049660187
21:44.6,0.049535379,0.049680989
21:44.6,0.13342065,0.049696233
21:44.6,0.17268609,0.049721744
21:44.6,0.12806627,0.049746808
21:44.6,0.23039439,0.049776681
21:44.6,0.22920452,0.04981498
21:44.6,0.21195152,0.049851745
21:44.6,0.2440778,0.049889747
21:44.6,0.1536483,0.049922891
21:44.7,0.17447087,0.049950235
21:44.7,0.095939994,0.049972769
21:44.7,0.095939994,0.049988762
21:44.7,0.15543309,0.050009709
21:44.7,0.20659715,0.05003988
21:44.7,0.21552111,0.050075054
21:44.7,0.20838194,0.050110381
21:44.7,0.21849577,0.050145954
21:44.7,0.22920452,0.050183263
21:44.7,0.18636949,0.050217897
21:44.8,0.16554691,0.050247222
21:44.8,0.1691165,0.050275113
21:44.8,0.14710405,0.050301466
21:44.8,0.17923033,0.050328661
21:44.8,0.26311558,0.050365523
21:44.8,0.24586259,0.050407939
21:44.8,0.22028056,0.050446786
21:44.8,0.23039439,0.050484341
21:44.8,0.19112894,0.05051947
21:44.8,0.14531927,0.050547507
21:44.9,0.20005292,0.050576288
21:44.9,0.13520543,0.050604228
21:44.9,0.15900268,0.050628744
21:44.9,0.1691165,0.050656088
21:44.9,0.070357963,0.050676044
21:44.9,0.0941552,0.050689757
21:44.9,0.080471791,0.050704308
21:44.9,0.12152202,0.050721142
21:44.9,0.14174968,0.050743081
21:45.0,0.17923033,0.050769828
21:45.0,0.20005292,0.050801437
21:45.0,0.22028056,0.050836466
21:45.0,0.16376212,0.05086847
21:45.0,0.15721788,0.050895218
21:45.0,0.15067364,0.050920878
21:45.0,0.21552111,0.050951395
21:45.0,0.10605382,0.050978191
21:45.0,0.071547821,0.050992992
21:45.0,0.14174968,0.051010769
21:45.1,0.16376212,0.051036227
21:45.1,0.082256578,0.051056728
21:45.1,0.17268609,0.051077973
21:45.1,0.12152202,0.051102493
21:45.1,0.14174968,0.051124431
21:45.1,0.15900268,0.051149495
21:45.1,0.16257226,0.051176295
21:45.1,0.20005292,0.051206514
21:45.1,0.21373633,0.051240996
21:45.1,0.12628147,0.051269334
21:45.2,0.2018377,0.051296677
21:45.2,0.1536483,0.051326301
21:45.2,0.18279991,0.051354337
21:45.2,0.24764739,0.051390208
21:45.2,0.21849577,0.051429056
21:45.2,0.20838194,0.051464628
21:45.2,0.27501422,0.051504914
21:45.2,0.24110314,0.051547922
21:45.2,0.26133078,0.051589794
21:45.2,0.22206536,0.05163008
21:45.2,0.23753355,0.051668379
21:45.3,0.22206536,0.051706679
21:45.3,0.20659715,0.051742401
21:45.3,0.16733171,0.051773563
21:45.3,0.1709013,0.051801749
21:45.3,0.17923033,0.051830929
21:45.3,0.1518635,0.051858518
21:45.3,0.20838194,0.05188854
21:45.3,0.13520543,0.051917173
21:45.3,0.20838194,0.051945806
21:45.3,0.1536483,0.051975977
21:45.4,0.1691165,0.052002873
21:45.4,0.12330682,0.052027244
21:45.4,0.13342065,0.052048638
21:45.4,0.098914646,0.052067999
21:45.4,0.12985106,0.052087065
21:45.4,0.20838194,0.05211525
21:45.4,0.2440778,0.052152954
21:45.4,0.2904824,0.052197505
21:45.4,0.20838194,0.052239075
21:45.4,0.1881543,0.052272122
21:45.5,0.11973723,0.052297778
21:45.5,0.13520543,0.052319024
21:45.5,0.076902203,0.0523367
21:45.5,0.092370406,0.052350808
21:45.5,0.066788375,0.05236407
21:45.5,0.025738141,0.052371781
21:45.5,0.11259806,0.052383311
21:45.5,0.12449668,0.05240307
21:45.5,0.12628147,0.052423965
21:45.5,0.16733171,0.052448437
21:45.6,0.19648333,0.052478753
21:45.6,0.2018377,0.052511949
21:45.6,0.17744553,0.052543554
21:45.6,0.19112894,0.052574269
21:45.6,0.18458471,0.052605581
21:45.6,0.17625567,0.052635651
21:45.6,0.2018377,0.05266716
21:45.6,0.16376212,0.052697625
21:45.6,0.13818009,0.052722789
21:45.7,0.1691165,0.052748397
21:45.7,0.20005292,0.052779164
21:45.7,0.1518635,0.05280849
21:45.7,0.22563495,0.05283995
21:45.7,0.21849577,0.05287696
21:45.7,0.17268609,0.052909561
21:45.7,0.20659715,0.052941166
21:45.7,0.14710405,0.052970644
21:45.7,0.10426903,0.052991591
21:45.7,0.1709013,0.053014521
21:45.8,0.13996488,0.053040426
21:45.8,0.16257226,0.053065639
21:45.8,0.17268609,0.053093579
21:45.8,0.21373633,0.05312578
21:45.8,0.17625567,0.05315828
21:45.8,0.16554691,0.053186767
21:45.8,0.15067364,0.053213116
21:45.8,0.15721788,0.053238776
21:45.8,0.098914646,0.053260121
21:45.8,0.0941552,0.053276211
21:45.8,0.12985106,0.053294878
21:45.9,0.11973723,0.053315677
21:45.9,0.12449668,0.053336032
21:45.9,0.10069944,0.053354796
21:45.9,0.068573169,0.053368904
21:45.9,0.14353447,0.05338658
21:45.9,0.032282382,0.053401232
21:45.9,0.059649207,0.053408891
21:45.9,0.034067173,0.053416703
21:45.9,0.008485143,0.053420249
21:45.9,0.073332615,0.053427067
21:46.0,0.056674551,0.0534379
21:46.0,0.1096234,0.053451758
21:46.0,0.16078746,0.053474292
21:46.0,0.1096234,0.053496826
21:46.0,0.17625567,0.053520653
21:46.0,0.078686997,0.053541899
21:46.0,0.10248423,0.053556994
21:46.0,0.035851967,0.053568523
21:46.0,0.087016031,0.053578764
21:46.0,0.031092519,0.053588606
21:46.1,0.00015611,0.05359121
21:46.1,0.022168554,0.053593069
21:46.1,0.042991139,0.053598501
21:46.1,0.084041372,0.053609088
21:46.1,0.12152202,0.053626217
21:46.1,0.037636761,0.053639479
21:46.1,0.12152202,0.053652745
21:46.1,0.066788375,0.053668436
21:46.1,0.15067364,0.053686559
21:46.1,0.037636761,0.05370225
21:46.2,0.14888884,0.053717796
21:46.2,0.11438286,0.053739734
21:46.2,0.080471791,0.053755973
21:46.2,0.11081327,0.053771913
21:46.2,0.14353447,0.05379311
21:46.2,0.1536483,0.053817876
21:46.2,0.11616764,0.053840362
21:46.2,0.057864413,0.053854864
21:46.2,0.1096234,0.053868823
21:46.2,0.071547821,0.053883921
