ULVersion=1,Company=UL,Project=12345,File=12345,Engineer=39605,Reviewer=39605,Technician=20137,Technician2=34344,TestLocation=Bld11-Calorimeter,TestType=Heat Release Check,TestNumber=1,Sample=Chair,CommodityDesC=Chair,GenProjectDesc=UL2901 research,SpkActivationTempDegF=165,SpkRTI=275,NumberOfTiers=2,SpkRadial DistanceFeet=7.1,SpkRDD=0.11,SpkDistanceBelowCeililngInch=3,CeilingToCommodityFeet=18,StorageType=,PalletType=,IgniterType=Burner - Heptane,IgniterNumber=0,Client Witnessed=No,HRRflag=True,RDDflag=False,IRIflag=False,ULtest=Yes,CCN=NA,TestFacilityLocation=NBK,TESTDATE=11/11/16,TestCode=11111605.DAT,DuctDiameter= 60 ,HRRA= 1.105 ,HRRB= 1.5 ,HRRE= 13100 ,HRRCFACTOR= 1 ,HRRO2DELAY= 15 ,HRRDUCTAREA= 1.824145 ,HRRC0C02DELAY= 30 ,HRRCOCO2Units=%,TestStartTime=11/11/2016 15:35:43,UserName=20137,ComputerName=NBKMJ00KM1J,EdgeSetupFile=Cal.SET,EdgeVersion=3.063c (NetDaq /MegaDaq)-Win7~Date:2013-06-13,RunTimeInitialO2=0.2096784,RunTimeO2CorrectionFactor=0.9991493,RunTimeMaxHRRvel=16.50,RunTimeMaxHRRtemp=321,RunTimeHRRMax=1976.4,RunTimeMaxHRRTestTime=712.997,PostTestInitialAverageO2=20.96784,PreTestO2AvgStandardDeviation=N/A,HrrPeak=1945,HrrTotal=997,HRRavgOneMinute=1663,HRRavgFiveMinute=1605,HRRavgTenMinute=1334,ConvHrrPeak=1282,ConvHrrTotal=673,ConvHRRavgOneMinute=1095,ConvHRRavgFiveMinute=1031,ConvHRRavgTenMinute=871,ConvectiveEnergy=522
Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0,#0.0
-00:00:30,-30, 1.819604E-05 , 1.983287E-02 ,-2.529333E-02 , 20.96607 , 6.001109 , 4.424179E-03 , 14.15145 , 0.5137554 , 40.4282 , 14.2398 , 14.31243 , 12.90575 , 12.98737 , 14.93796 , 13.32561 , 13.18037 , 13.59345 , 13.86565 ,-30 , 287.3015 , 13.81459 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:29,-29.001,-1.420621E-05 , 1.973816E-02 ,-0.0468705 , 20.96569 , 5.988708 , 3.350079E-03 , 14.21846 , 0.5056428 , 40.51377 , 14.08242 , 14.26836 , 13.0069 , 13.03632 , 14.93917 , 13.32904 , 13.1838 , 13.57431 , 13.87148 ,-29.001 , 287.3685 , 13.70669 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:28,-28.003,-9.128246E-06 , 2.002229E-02 ,-0.121237 , 20.96686 , 6.01145 , 6.661268E-03 , 14.12307 , 0.5704363 , 40.49586 , 13.93488 , 14.11179 , 12.95228 , 13.04981 , 14.98901 , 13.26316 , 13.17009 , 13.57633 , 13.89624 ,-28.003 , 287.2731 , 14.556 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:27,-27.004, 2.158135E-05 , 1.983445E-02 ,-3.529673E-02 , 20.96701 , 6.0248 , 6.446448E-03 , 14.19747 , 0.4639757 , 40.50211 , 13.81185 , 14.04554 , 12.99033 , 13.0018 , 14.97028 , 13.21738 , 13.24014 , 13.63044 , 13.85733 ,-27.004 , 287.3475 , 13.12932 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:26,-26.006, 5.736891E-05 , 1.997336E-02 ,-6.801492E-02 , 20.96763 , 6.025568 , 5.172343E-03 , 14.12338 , 0.4789032 , 40.49617 , 13.67891 , 13.91023 , 13.02514 , 13.00478 , 14.97787 , 13.18188 , 13.15449 , 13.64489 , 13.88749 ,-26.006 , 287.2734 , 13.33714 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:25,-25.008, 1.38435E-05 , 1.978552E-02 ,-0.0742554 , 20.96771 , 6.038909 , 4.290842E-03 , 14.19334 , 0.501501 , 40.50475 , 13.69676 , 13.89406 , 12.99988 , 12.96583 , 14.96855 , 13.09297 , 13.18604 , 13.63999 , 13.86448 ,-25.008 , 287.3434 , 13.64984 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:24,-24.009, 1.994915E-06 , 2.005702E-02 ,-1.089933E-02 , 20.96643 , 5.996454 , 4.350102E-03 , 14.10118 , 0.490044 , 40.48115 , 13.73604 , 13.89487 , 13.01884 , 12.90539 , 14.98986 , 13.18908 , 13.14152 , 13.60215 , 13.83367 ,-24.009 , 287.2512 , 13.49086 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:23,-23.011, 4.697118E-05 , 2.009806E-02 ,-0.1133235 , 20.96719 , 5.998256 , 5.387164E-03 , 14.06692 , 0.484268 , 40.48742 , 13.76538 , 13.89906 , 13.01859 , 12.90292 , 14.93052 , 13.24341 , 13.14794 , 13.60875 , 13.83786 ,-23.011 , 287.2169 , 13.41031 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:22,-22.012, 2.424124E-05 , 2.002703E-02 ,-6.400774E-02 , 20.96675 , 5.987417 , 4.713074E-03 , 14.02661 , 0.4692647 , 40.43896 , 13.836 , 13.95174 , 12.94417 , 12.83071 , 14.92644 , 13.33682 , 13.09167 , 13.60244 , 13.84506 ,-22.012 , 287.1766 , 13.20002 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:21,-21.014,-4.322315E-05 , 1.939247E-02 ,-9.046043E-02 , 20.96646 , 5.989861 , 4.17232E-03 , 14.04049 , 0.4688326 , 40.53675 , 13.868 , 13.97006 , 12.95585 , 12.76724 , 14.91316 , 13.36662 , 13.07836 , 13.58452 , 13.868 ,-21.014 , 287.1905 , 13.19426 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:20,-20,-3.621073E-05 , 0.019574 ,-0.1004896 , 20.96648 , 6.033896 , 7.535362E-03 , 14.07932 , 0.473539 , 40.51707 , 13.95694 , 14.00907 , 12.98343 , 12.77225 , 14.97467 , 13.46912 , 13.06745 , 13.56677 , 13.85026 ,-20 , 287.2293 , 13.26121 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:19,-19.002,-2.436214E-05 , 1.959451E-02 ,-3.311394E-02 , 20.96636 , 6.042873 , 5.083453E-03 , 14.02481 , 0.5165977 , 40.57455 , 13.94772 , 14.01797 , 12.99456 , 12.75617 , 14.96324 , 13.48486 , 13.04916 , 13.57346 , 13.82514 ,-19.002 , 287.1748 , 13.8497 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:18,-18.003, 8.541862E-05 , 2.036799E-02 ,-0.1051177 , 20.96786 , 6.068561 , 7.11313E-03 , 14.08447 , 0.4643489 , 40.5624 , 13.94841 , 14.12753 , 13.03393 , 12.77721 , 14.94805 , 13.60799 , 13.05873 , 13.62611 , 13.85079 ,-18.003 , 287.2345 , 13.13202 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
