ULVersion=1,Company=UL,Project=12345,File=12345,Engineer=39605,Reviewer=39605,Technician=20137,Technician2=34344,TestLocation=Bld11-Calorimeter,TestType=Heat Release Check,TestNumber=1,Sample=Antifreeze Formula 21,CommodityDesC=Antifreeze Formula 21,GenProjectDesc=UL2901 research,SpkActivationTempDegF=165,SpkRTI=275,NumberOfTiers=2,SpkRadial DistanceFeet=7.1,SpkRDD=0.11,SpkDistanceBelowCeililngInch=3,CeilingToCommodityFeet=18,StorageType=,PalletType=,IgniterType=Burner - Heptane,IgniterNumber=0,Client Witnessed=No,HRRflag=True,RDDflag=False,IRIflag=False,ULtest=Yes,CCN=NA,TestFacilityLocation=NBK,TESTDATE=11/10/16,TestCode=11101602.DAT,DuctDiameter= 60 ,HRRA= 1.105 ,HRRB= 1.5 ,HRRE= 13100 ,HRRCFACTOR= 1 ,HRRO2DELAY= 15 ,HRRDUCTAREA= 1.824145 ,HRRC0C02DELAY= 30 ,HRRCOCO2Units=%,TestStartTime=11/10/2016 10:45:12,UserName=20137,ComputerName=NBKMJ00KM1J,EdgeSetupFile=Cal.SET,EdgeVersion=3.063c (NetDaq /MegaDaq)-Win7~Date:2013-06-13,RunTimeInitialO2=0.2095442,RunTimeO2CorrectionFactor=0.9997889,RunTimeMaxHRRvel=15.51,RunTimeMaxHRRtemp=324,RunTimeHRRMax=4608.8,RunTimeMaxHRRTestTime=290.988,PostTestInitialAverageO2=20.95442,PreTestO2AvgStandardDeviation=N/A,HrrPeak=4597,HrrTotal=674,HRRavgOneMinute=2876,HRRavgFiveMinute=1436,HRRavgTenMinute=960,ConvHrrPeak=2090,ConvHrrTotal=470,ConvHRRavgOneMinute=1639,ConvHRRavgFiveMinute=938,ConvHRRavgTenMinute=644,ConvectiveEnergy=387
Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0,#0.0
-00:00:30,-30, 5.301637E-05 , 1.994495E-02 ,-5.925208E-02 , 20.95461 , 6.068123 , 2.587099E-03 , 17.4568 , 0.4207701 , 47.71556 , 17.08393 , 16.86243 , 16.68603 , 16.5345 , 17.07933 , 17.12908 , 16.78096 , 16.74926 , 16.44175 ,-30 , 290.6068 , 12.57379 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:29,-28.999, 5.422541E-05 , 2.031905E-02 ,-2.268804E-02 , 20.95479 , 6.099929 , 3.342671E-03 , 17.39777 , 0.4684178 , 47.69102 , 17.08808 , 16.84612 , 16.64944 , 16.55893 , 17.04515 , 17.17855 , 16.83709 , 16.70604 , 16.46619 ,-28.999 , 290.5478 , 13.26528 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:28,-28.001, 5.108191E-05 , 1.983445E-02 ,-7.637599E-02 , 20.95459 , 6.182281 , 4.076022E-03 , 17.46565 , 0.4480911 , 47.78152 , 17.12448 , 16.82373 , 16.65636 , 16.60438 , 17.03843 , 17.19228 , 16.89377 , 16.83055 , 16.52289 ,-28.001 , 290.6157 , 12.97579 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:27,-27.002, 6.045184E-08 , 1.992758E-02 ,-5.335237E-02 , 20.95498 , 6.150615 , 5.498277E-03 , 17.46146 , 0.43285 , 47.79702 , 17.08398 , 16.75152 , 16.7176 , 16.58653 , 17.03202 , 17.17666 , 16.90302 , 16.85105 , 16.55021 ,-27.002 , 290.6115 , 12.75311 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:26,-26.004,-4.080507E-05 , 1.942877E-02 ,-2.404132E-02 , 20.95397 , 6.179408 , 4.898264E-03 , 17.50554 , 0.4534338 , 47.84023 , 16.99929 , 16.79361 , 16.66919 , 16.6126 , 17.10321 , 17.23218 , 16.91341 , 16.90659 , 16.59232 ,-26.004 , 290.6555 , 13.05381 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:25,-24.99,-1.952598E-05 , 1.987549E-02 ,-7.197586E-02 , 20.95437 , 6.181973 , 5.076046E-03 , 17.47198 , 0.455235 , 47.85151 , 16.94764 , 16.79836 , 16.66491 , 16.60389 , 17.0923 , 17.22348 , 16.90471 , 16.91373 , 16.62435 ,-24.99 , 290.622 , 13.07896 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:24,-24.007, 6.510677E-05 , 2.006176E-02 ,-3.033661E-02 , 20.95462 , 6.144068 , 1.898194E-03 , 17.44376 , 0.4291686 , 47.78011 , 16.81749 , 16.64108 , 16.57785 , 16.51904 , 17.06167 , 17.18825 , 16.87407 , 16.8877 , 16.65472 ,-24.007 , 290.5938 , 12.69837 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:23,-23.009, 1.481073E-05 , 2.015962E-02 ,-0.0983025 , 20.95464 , 6.114566 , 2.624136E-03 , 17.45993 , 0.4194452 , 47.74953 , 16.82685 , 16.637 , 16.58261 , 16.55551 , 17.10273 , 17.16832 , 16.92177 , 16.90611 , 16.66188 ,-23.009 , 290.6099 , 12.55405 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:22,-22.01,-7.224009E-05 , 1.924251E-02 ,-0.051497 , 20.95365 , 6.085075 , 6.463124E-04 , 17.42823 , 0.3853139 , 47.73171 , 16.73652 , 16.56913 , 16.60988 , 16.52175 , 17.09147 , 17.15927 , 16.88581 , 16.92414 , 16.66647 ,-22.01 , 290.5782 , 12.03178 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:21,-21.012,-5.748981E-05 , 1.947455E-02 ,-0.1106986 , 20.95444 , 6.151629 , 3.62416E-03 , 17.46025 , 0.443148 , 47.84652 , 16.76616 , 16.62828 , 16.61925 , 16.60118 , 17.14837 , 17.23422 , 16.92669 , 16.9969 , 16.73003 ,-21.012 , 290.6103 , 12.9039 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:20,-20.014,-6.951974E-06 , 0.0195519 ,-7.551526E-02 , 20.95573 , 6.150651 , 3.098222E-03 , 17.42962 , 0.4241653 , 47.83443 , 16.69496 , 16.58196 , 16.62491 , 16.58196 , 17.13137 , 17.24431 , 16.92333 , 17.00017 , 16.71082 ,-20.014 , 290.5796 , 12.62383 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:19,-19, 6.831072E-06 , 1.944929E-02 ,-7.651325E-02 , 20.95533 , 6.134982 , 2.987108E-03 , 17.45044 , 0.4203955 , 47.82365 , 16.64796 , 16.605 , 16.64335 , 16.62528 , 17.13634 , 17.26291 , 16.89439 , 16.97806 , 16.69994 ,-19 , 290.6004 , 12.56806 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:18,-18.001,-1.952598E-05 , 0.019353 ,-0.1030925 , 20.95595 , 6.1174 , 3.987131E-03 , 17.41723 , 0.3948014 , 47.81336 , 16.62155 , 16.55131 , 16.58523 , 16.61473 , 17.09171 , 17.27263 , 16.88384 , 16.92899 , 16.6374 ,-18.001 , 290.5672 , 12.17878 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
