ULVersion=1,Company=UL,Project=12345,File=12345,Engineer=39605,Reviewer=39605,Technician=20137,Technician2=34344,TestLocation=Bld11-Calorimeter,TestType=Heat Release Check,TestNumber=1,Sample=Chair,CommodityDesC=Chair,GenProjectDesc=UL2901 research,SpkActivationTempDegF=165,SpkRTI=275,NumberOfTiers=2,SpkRadial DistanceFeet=7.1,SpkRDD=0.11,SpkDistanceBelowCeililngInch=3,CeilingToCommodityFeet=18,StorageType=,PalletType=,IgniterType=Burner - Heptane,IgniterNumber=0,Client Witnessed=No,HRRflag=True,RDDflag=False,IRIflag=False,ULtest=Yes,CCN=NA,TestFacilityLocation=NBK,TESTDATE=11/11/16,TestCode=11111602.DAT,DuctDiameter= 60 ,HRRA= 1.105 ,HRRB= 1.5 ,HRRE= 13100 ,HRRCFACTOR= 1 ,HRRO2DELAY= 15 ,HRRDUCTAREA= 1.824145 ,HRRC0C02DELAY= 30 ,HRRCOCO2Units=%,TestStartTime=11/11/2016 11:17:44,UserName=20137,ComputerName=NBKMJ00KM1J,EdgeSetupFile=Cal.SET,EdgeVersion=3.063c (NetDaq /MegaDaq)-Win7~Date:2013-06-13,RunTimeInitialO2=0.2095827,RunTimeO2CorrectionFactor=0.9996054,RunTimeMaxHRRvel=14.93,RunTimeMaxHRRtemp=318,RunTimeHRRMax=1643.0,RunTimeMaxHRRTestTime=398.996,PostTestInitialAverageO2=20.95827,PreTestO2AvgStandardDeviation=N/A,HrrPeak=1643,HrrTotal=215,HRRavgOneMinute=1308,HRRavgFiveMinute=604,HRRavgTenMinute=406,ConvHrrPeak=868,ConvHrrTotal=126,ConvHRRavgOneMinute=707,ConvHRRavgFiveMinute=347,ConvHRRavgTenMinute=248,ConvectiveEnergy=149
Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0,#0.0
-00:00:30,-30, 2.894742E-03 , 1.955505E-02 ,-8.910001E-02 , 20.95916 , 6.1905 , 2.387093E-03 , 18.02727 , 0.2600845 , 57.97342 , 17.67709 , 17.65683 , 17.55057 , 17.49182 , 17.53934 , 17.47837 , 17.57101 , 17.51447 , 17.48279 ,-30 , 291.1773 , 9.895254 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:29,-28.99, 2.886037E-03 , 1.996389E-02 ,-4.512617E-02 , 20.95823 , 6.119831 , 3.801942E-03 , 18.01606 , 0.2650279 , 57.96272 , 17.62978 , 17.64801 , 17.5644 , 17.48981 , 17.53494 , 17.51247 , 17.56661 , 17.50105 , 17.46034 ,-28.99 , 291.166 , 9.988659 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:28,-28.023, 2.899336E-03 , 1.976026E-02 ,-0.1003504 , 20.95911 , 6.144877 , 3.350079E-03 , 18.02274 , 0.2633632 , 57.9472 , 17.62965 , 17.65672 , 17.53701 , 17.458 , 17.52118 , 17.44677 , 17.54383 , 17.50092 , 17.43092 ,-28.023 , 291.1727 , 9.957353 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:27,-26.994, 2.934399E-03 , 1.994968E-02 ,-0.1229611 , 20.95865 , 6.163929 , 2.172274E-03 , 18.01448 , 0.278569 , 57.93526 , 17.66448 , 17.61697 , 17.56725 , 17.45895 , 17.51531 , 17.45895 , 17.5131 , 17.49505 , 17.45895 ,-26.994 , 291.1645 , 10.24063 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:26,-26.011, 2.949149E-03 , 1.981393E-02 ,-2.132904E-02 , 20.95838 , 6.081895 , 3.075998E-03 , 17.9742 , 0.2640335 , 57.88523 , 17.62419 , 17.64904 , 17.52473 , 17.48864 , 17.49306 , 17.38696 , 17.51571 , 17.47501 , 17.41404 ,-26.011 , 291.1242 , 9.969186 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:25,-25.012, 2.834048E-03 , 0.0195077 ,-7.082418E-02 , 20.95772 , 6.101104 , 7.055732E-04 , 17.99758 , 0.2821659 , 57.91151 , 17.56157 , 17.64738 , 17.50742 , 17.45088 , 17.46893 , 17.45088 , 17.4553 , 17.4553 , 17.35362 ,-25.012 , 291.1476 , 10.30623 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:24,-24.014, 2.804548E-03 , 1.937195E-02 ,-7.533774E-02 , 20.95748 , 6.204695 , 4.17232E-03 , 18.06595 , 0.2754595 , 57.94287 , 17.69552 , 17.67748 , 17.59608 , 17.60069 , 17.55777 , 17.49442 , 17.56901 , 17.49442 , 17.46955 ,-24.014 , 291.2159 , 10.18421 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:23,-23, 2.889181E-03 , 1.938299E-02 ,-3.728268E-02 , 20.95926 , 6.196978 , 6.127922E-03 , 18.06072 , 0.3269992 , 57.99947 , 17.6949 , 17.68809 , 17.63837 , 17.55015 , 17.52768 , 17.50503 , 17.56839 , 17.60448 , 17.51406 ,-23 , 291.2107 , 11.09604 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:22,-22.002, 2.928837E-03 , 1.964187E-02 ,-0.1254863 , 20.95881 , 6.172157 , 3.350079E-03 , 18.00456 , 0.359924 , 57.95388 , 17.63633 , 17.6273 , 17.56414 , 17.52804 , 17.48494 , 17.43079 , 17.50078 , 17.50078 , 17.433 ,-22.002 , 291.1546 , 11.64014 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:21,-21.003, 2.90248E-03 , 1.946981E-02 ,-7.007284E-02 , 20.95906 , 6.126389 , 4.898264E-03 , 18.00688 , 0.3613128 , 57.88157 , 17.67253 , 17.61158 , 17.58451 , 17.52797 , 17.45798 , 17.39922 , 17.47824 , 17.47142 , 17.45116 ,-21.003 , 291.1569 , 11.66262 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:20,-20.005, 2.912636E-03 , 1.959451E-02 ,-3.665144E-02 , 20.95889 , 6.14432 , 3.935278E-03 , 18.0244 , 0.3098098 , 57.90966 , 17.65396 , 17.64272 , 17.57054 , 17.52081 , 17.45524 , 17.42356 , 17.4755 , 17.49594 , 17.4009 ,-20.005 , 291.1744 , 10.79979 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:19,-18.991, 2.915538E-03 , 1.970975E-02 ,-0.1118706 , 20.95889 , 6.204009 , 3.446377E-03 , 18.0903 , 0.2826894 , 57.96903 , 17.67017 , 17.67017 , 17.62947 , 17.57533 , 17.48932 , 17.43959 , 17.52321 , 17.57072 , 17.4103 ,-18.991 , 291.2403 , 10.31743 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:18,-18.008, 2.901996E-03 , 1.977762E-02 ,-3.827852E-02 , 20.95934 , 6.208262 , 4.342695E-03 , 18.08751 , 0.2839423 , 57.94253 , 17.68321 , 17.69904 , 17.63128 , 17.55669 , 17.48671 , 17.45282 , 17.51617 , 17.53864 , 17.45282 ,-18.008 , 291.2375 , 10.34022 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
