Seconds,FireAttack_Bed1,FireAttack_Bed2,Couch1_CenterIgnite,Couch3_RightIgnite,Couch2_LeftIgnite,StripedChair_1,StripedChair_2,StripedChair_3,YellowChair_1,YellowChair_2
1.0,229.0,231.2,96.4,99.0,101.0,62.4,61.2,62.4,54.6,57.0
2.0,229.0,231.0,96.2,98.8,101.0,62.4,61.2,62.4,54.6,57.0
3.0,229.0,231.0,96.2,98.8,101.0,62.2,61.2,62.4,54.8,57.0
4.0,229.0,231.0,96.2,98.8,101.0,62.4,61.2,62.4,54.8,57.0
5.0,229.0,231.2,96.4,98.8,101.0,62.4,61.2,62.4,54.6,57.0
6.0,229.0,231.2,96.2,98.8,101.0,62.4,61.2,62.6,54.6,57.0
7.0,229.0,231.2,96.2,98.8,101.0,62.4,61.2,62.2,54.6,57.0
8.0,229.0,231.2,96.2,98.8,101.0,62.4,61.2,62.2,54.6,57.0
9.0,229.0,231.2,96.2,98.8,101.0,62.4,61.2,62.4,54.8,57.0
10.0,229.0,231.0,96.4,98.8,101.0,62.2,61.0,62.4,54.6,57.0
11.0,229.0,231.2,96.4,98.8,101.0,62.2,61.2,62.6,54.6,57.0
12.0,229.0,231.2,96.4,98.8,101.0,62.4,61.2,62.4,54.8,57.0
13.0,229.0,231.2,96.4,98.8,101.0,62.2,61.2,62.4,54.8,57.0
14.0,229.0,231.2,96.4,98.8,101.0,62.2,61.2,62.4,54.6,57.0
15.0,229.0,231.2,96.4,98.8,101.0,62.4,61.2,62.4,54.6,57.0
16.0,229.0,231.0,96.4,99.0,101.0,62.4,61.2,62.6,54.8,57.0
17.0,229.0,231.0,96.4,98.8,101.0,62.4,61.2,62.6,54.4,57.0
18.0,229.0,231.0,96.4,98.8,101.0,62.2,61.2,62.4,54.6,57.0
19.0,229.0,231.0,96.4,99.0,101.0,62.2,61.2,62.2,54.6,57.0
20.0,229.0,231.0,96.4,99.0,100.8,62.2,61.2,62.6,54.6,57.0
21.0,229.0,231.2,96.2,98.8,101.0,62.4,61.2,62.6,54.6,57.0
22.0,229.0,231.2,96.2,98.8,101.0,62.4,61.0,62.4,54.6,57.0
23.0,229.0,231.2,96.2,98.8,101.0,62.4,61.0,62.4,54.6,57.0
24.0,229.0,231.2,96.2,98.8,101.0,62.4,61.0,62.4,54.6,57.0
25.0,229.0,231.0,96.2,98.8,101.0,62.4,61.0,62.4,54.8,57.0
26.0,229.0,231.2,96.4,98.8,101.0,62.4,61.2,62.4,55.0,57.0
27.0,229.0,231.2,96.4,98.8,100.8,62.4,61.2,62.6,54.8,57.0
28.0,229.0,231.2,96.4,98.8,101.0,62.4,61.2,62.6,54.6,57.0
29.0,229.0,231.2,96.4,98.8,101.0,62.4,61.2,62.6,54.8,57.0
30.0,229.0,231.2,96.4,98.8,101.0,62.2,61.0,62.4,55.0,57.0
31.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,54.8,57.0
32.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,54.6,57.0
33.0,229.0,231.2,96.4,99.0,101.0,62.4,61.0,62.6,54.8,57.0
34.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.6,54.6,56.8
35.0,229.0,231.2,96.2,98.8,101.0,62.2,61.0,62.4,54.6,56.8
36.0,229.0,231.2,96.2,98.8,101.0,62.2,61.0,62.4,55.0,56.8
37.0,229.0,231.2,96.2,99.0,101.0,62.4,61.0,62.6,55.2,56.8
38.0,229.0,231.2,96.2,98.8,101.0,62.4,61.0,62.6,54.8,56.8
39.0,229.0,231.2,96.2,98.8,101.0,62.4,61.0,62.6,55.0,57.0
40.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.2,56.8
41.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.6,55.4,56.8
42.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.6,55.0,57.0
43.0,229.0,231.2,96.4,98.8,101.0,62.2,61.0,62.4,55.0,57.0
44.0,229.0,231.2,96.4,98.8,101.0,62.2,61.0,62.6,55.0,57.0
45.0,229.0,231.2,96.4,98.8,101.0,62.2,61.0,62.4,55.0,57.0
46.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,57.0
47.0,229.0,231.2,96.2,98.8,101.0,62.4,61.0,62.4,55.0,57.0
48.0,229.0,231.2,96.2,98.8,101.0,62.2,61.0,62.4,55.0,57.0
49.0,229.0,231.2,96.2,99.0,101.0,62.2,61.0,62.4,55.0,57.0
50.0,229.0,231.2,96.2,99.0,101.0,62.2,61.2,62.4,55.0,57.0
51.0,229.0,231.2,96.2,99.0,101.0,62.2,61.0,62.4,55.0,57.0
52.0,229.0,231.2,96.2,98.8,101.0,62.2,61.0,62.4,55.0,57.0
53.0,229.0,231.2,96.4,98.8,101.0,62.2,61.2,62.4,55.0,57.0
54.0,229.0,231.2,96.4,98.8,101.0,62.2,61.2,62.4,55.0,57.0
55.0,229.0,231.0,96.4,98.8,101.0,62.2,61.2,62.4,55.2,57.0
56.0,229.0,231.0,96.4,98.8,101.0,62.2,61.0,62.4,55.0,57.0
57.0,229.0,231.0,96.4,98.8,101.0,62.2,60.8,62.4,55.0,56.8
