ULVersion=1,Company=UL,Project=12345,File=12345,Engineer=39605,Reviewer=39605,Technician=20137,Technician2=34344,TestLocation=Bld11-Calorimeter,TestType=Heat Release Check,TestNumber=1,Sample=Bed,CommodityDesC=Bed,GenProjectDesc=UL2901 research,SpkActivationTempDegF=165,SpkRTI=275,NumberOfTiers=2,SpkRadial DistanceFeet=7.1,SpkRDD=0.11,SpkDistanceBelowCeililngInch=3,CeilingToCommodityFeet=18,StorageType=,PalletType=,IgniterType=Burner - Heptane,IgniterNumber=0,Client Witnessed=No,HRRflag=True,RDDflag=False,IRIflag=False,ULtest=Yes,CCN=NA,TestFacilityLocation=NBK,TESTDATE=11/10/16,TestCode=11101605.DAT,DuctDiameter= 60 ,HRRA= 1.105 ,HRRB= 1.5 ,HRRE= 13100 ,HRRCFACTOR= 1 ,HRRO2DELAY= 15 ,HRRDUCTAREA= 1.824145 ,HRRC0C02DELAY= 30 ,HRRCOCO2Units=%,TestStartTime=11/10/2016 14:28:42,UserName=20137,ComputerName=NBKMJ00KM1J,EdgeSetupFile=Cal.SET,EdgeVersion=3.063c (NetDaq /MegaDaq)-Win7~Date:2013-06-13,RunTimeInitialO2=0.2096567,RunTimeO2CorrectionFactor=0.9992524,RunTimeMaxHRRvel=15.45,RunTimeMaxHRRtemp=341,RunTimeHRRMax=2274.0,RunTimeMaxHRRTestTime=598.991,PostTestInitialAverageO2=20.96567,PreTestO2AvgStandardDeviation=N/A,HrrPeak=2274,HrrTotal=939,HRRavgOneMinute=2057,HRRavgFiveMinute=1796,HRRavgTenMinute=1324,ConvHrrPeak=1507,ConvHrrTotal=678,ConvHRRavgOneMinute=1338,ConvHRRavgFiveMinute=1192,ConvHRRavgTenMinute=900,ConvectiveEnergy=540
Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0,#0.0
-00:00:30,-30,-7.683445E-05 , 4.070717E-02 ,-1.018778E-02 , 20.96157 , 6.589247 , 5.076046E-03 , 19.85079 , 0.4957934 , 21.19773 , 19.67494 , 19.56228 , 19.22847 , 19.12459 , 19.3862 , 19.32094 , 19.74477 , 19.4066 , 19.19685 ,-30 , 293.0008 , 13.7049 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:29,-29.003, 2.786835E-05 , 4.133226E-02 ,-8.947556E-02 , 20.96407 , 6.536288 , 6.16496E-03 , 19.864 , 0.4280722 , 21.18615 , 19.69936 , 19.51908 , 19.18746 , 19.138 , 19.42203 , 19.29813 , 19.78738 , 19.39721 , 19.25291 ,-29.003 , 293.014 , 12.73485 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:28,-28.004, 5.736891E-05 , 4.146801E-02 ,-4.489121E-02 , 20.96396 , 6.543069 , 3.89824E-03 , 19.81906 , 0.4215851 , 21.15026 , 19.61159 , 19.53036 , 19.1809 , 19.09743 , 19.4153 , 19.30482 , 19.75144 , 19.4221 , 19.24856 ,-28.004 , 292.9691 , 12.63702 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:27,-27.006,-2.557118E-05 , 4.086817E-02 ,-0.0348666 , 20.96411 , 6.591118 , 4.631591E-03 , 19.84822 , 0.3926315 , 21.13003 , 19.62276 , 19.44007 , 19.12441 , 19.14243 , 19.40404 , 19.27554 , 19.75801 , 19.45146 , 19.29135 ,-27.006 , 292.9982 , 12.19596 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:26,-26.007,-5.38627E-05 , 4.047039E-02 ,-7.885641E-02 , 20.9641 , 6.597401 , 2.76488E-03 , 19.8094 , 0.4128573 , 21.17217 , 19.62693 , 19.41262 , 19.15543 , 19.08096 , 19.43964 , 19.26611 , 19.8094 , 19.47346 , 19.33817 ,-26.007 , 292.9594 , 12.50532 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:25,-25.009,-1.831694E-05 , 4.078136E-02 ,-2.796605E-02 , 20.96479 , 6.466077 , 1.535222E-03 , 19.77698 , 0.3931066 , 21.11045 , 19.56951 , 19.38902 , 19.13641 , 19.05974 , 19.43865 , 19.26511 , 19.75897 , 19.43423 , 19.32596 ,-25.009 , 292.927 , 12.20186 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:24,-24.011, 5.035649E-05 , 4.130701E-02 ,-0.0969578 , 20.96638 , 6.472134 , 3.127852E-03 , 19.82576 , 0.406018 , 21.1142 , 19.56207 , 19.39738 , 19.1628 , 19.0613 , 19.4312 , 19.24185 , 19.76715 , 19.50123 , 19.32973 ,-24.011 , 292.9758 , 12.40165 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:23,-23.012, 1.166723E-05 , 4.122808E-02 ,-5.150224E-02 , 20.96692 , 6.524981 , 4.987154E-03 , 19.85525 , 0.4101781 , 21.11447 , 19.56895 , 19.35702 , 19.12022 , 19.10883 , 19.49451 , 19.24874 , 19.81703 , 19.4833 , 19.42228 ,-23.012 , 293.0052 , 12.46565 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:22,-22.014, 3.657344E-05 , 4.127543E-02 ,-7.553409E-02 , 20.96716 , 6.473109 , 4.624183E-03 , 19.83573 , 0.3852219 , 21.16251 , 19.50881 , 19.3283 , 19.12993 , 19.09609 , 19.53583 , 19.29227 , 19.79733 , 19.44558 , 19.44558 ,-22.014 , 292.9857 , 12.08008 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:21,-21,-2.357625E-06 , 4.063298E-02 ,-9.003413E-02 , 20.9665 , 6.662706 , 3.172297E-03 , 19.84657 , 0.4229124 , 21.16655 , 19.48804 , 19.30533 , 19.13857 , 19.12497 , 19.47003 , 19.25128 , 19.81497 , 19.47904 , 19.4136 ,-21 , 292.9966 , 12.65749 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:20,-20.001,-2.31531E-05 , 4.103866E-02 ,-3.208379E-02 , 20.96701 , 6.68114 , 3.71305E-03 , 19.82414 , 0.3923949 , 21.14634 , 19.49722 , 19.3213 , 19.12734 , 19.12734 , 19.49041 , 19.23104 , 19.81275 , 19.52644 , 19.42038 ,-20.001 , 292.9742 , 12.19179 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:19,-19.003, 1.239265E-05 , 4.123281E-02 ,-0.1114423 , 20.96756 , 6.494993 , 3.972316E-03 , 19.8527 , 0.3821324 , 21.17266 , 19.50777 , 19.35649 , 19.21218 , 19.16493 , 19.5302 , 19.26403 , 19.85711 , 19.546 , 19.38591 ,-19.003 , 293.0027 , 12.03189 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:18,-18.005, 6.589264E-06 , 4.092342E-02 ,-3.032994E-02 , 20.96739 , 6.555995 , 2.075975E-03 , 19.76179 , 0.411779 , 21.15839 , 19.49347 , 19.36481 , 19.16865 , 19.18906 , 19.53171 , 19.19567 , 19.83841 , 19.51829 , 19.37161 ,-18.005 , 292.9118 , 12.48796 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
