ULVersion=1,Company=UL,Project=12345,File=12345,Engineer=39605,Reviewer=39605,Technician=20137,Technician2=34344,TestLocation=Bld11-Calorimeter,TestType=Heat Release Check,TestNumber=1,Sample=Couch,CommodityDesC=Couch,GenProjectDesc=UL2901 research,SpkActivationTempDegF=165,SpkRTI=275,NumberOfTiers=2,SpkRadial DistanceFeet=7.1,SpkRDD=0.11,SpkDistanceBelowCeililngInch=3,CeilingToCommodityFeet=18,StorageType=,PalletType=,IgniterType=Electronic Match,IgniterNumber=0,Client Witnessed=No,HRRflag=True,RDDflag=False,IRIflag=False,ULtest=Yes,CCN=NA,TestFacilityLocation=NBK,TESTDATE=11/14/16,TestCode=11141601.DAT,DuctDiameter= 60 ,HRRA= 1.105 ,HRRB= 1.5 ,HRRE= 13100 ,HRRCFACTOR= 1 ,HRRO2DELAY= 15 ,HRRDUCTAREA= 1.824145 ,HRRC0C02DELAY= 30 ,HRRCOCO2Units=%,TestStartTime=11/14/2016 11:13:41,UserName=20137,ComputerName=NBKMJ00KM1J,EdgeSetupFile=Cal.SET,EdgeVersion=3.063c (NetDaq /MegaDaq)-Win7~Date:2013-06-13,RunTimeInitialO2=0.2094488,RunTimeO2CorrectionFactor=1.000244,RunTimeMaxHRRvel=12.95,RunTimeMaxHRRtemp=319,RunTimeHRRMax=1080.1,RunTimeMaxHRRTestTime=1770.987,PostTestInitialAverageO2=20.94488,PreTestO2AvgStandardDeviation=N/A,HrrPeak=1080,HrrTotal=1291,HRRavgOneMinute=930,HRRavgFiveMinute=863,HRRavgTenMinute=762,ConvHrrPeak=788,ConvHrrTotal=913,ConvHRRavgOneMinute=677,ConvHRRavgFiveMinute=643,ConvHRRavgTenMinute=578,ConvectiveEnergy=347
Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0.0000,#0,#0.0
-00:00:30,-30, 4.171186E-06 , 0.0199339 ,-0.1249101 , 20.94524 , 6.004049 , 4.987154E-03 , 17.1428 , 0.1388464 , 41.43493 , 17.1089 , 16.87597 , 16.07743 , 16.16339 , 17.05233 , 16.38745 , 16.55929 , 16.69055 , 16.20654 ,-30 , 290.2928 , 7.218991 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:29,-29.004, 4.189321E-05 , 1.987233E-02 ,-7.308751E-02 , 20.94549 , 6.043266 , 4.720481E-03 , 17.16791 , 0.1363779 , 41.40861 , 17.10692 , 16.85593 , 16.11621 , 16.17726 , 17.08204 , 16.39911 , 16.55067 , 16.70663 , 16.22263 ,-29.004 , 290.3179 , 7.154841 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:28,-28.005,-1.154632E-05 , 2.002703E-02 ,-8.185202E-02 , 20.94584 , 5.984147 , 4.898264E-03 , 17.13439 , 0.1401025 , 41.49313 , 17.08464 , 16.79973 , 16.1415 , 16.15496 , 17.03931 , 16.44006 , 16.57576 , 16.65724 , 16.22744 ,-28.005 , 290.2844 , 7.251465 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:27,-27.007, 4.412993E-06 , 1.984077E-02 ,-0.1022561 , 20.94529 , 6.021469 , 3.816757E-03 , 17.1847 , 0.1379311 , 41.44944 , 17.0559 , 16.76417 , 16.11956 , 16.23262 , 16.9903 , 16.42274 , 16.58776 , 16.6285 , 16.17618 ,-27.007 , 290.3347 , 7.195677 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:26,-26.009,-7.435591E-06 , 1.982024E-02 ,-4.337327E-02 , 20.94553 , 6.017124 , 5.261235E-03 , 17.16456 , 0.1377939 , 41.46275 , 17.03116 , 16.7396 , 16.17632 , 16.22611 , 16.98822 , 16.43873 , 16.56982 , 16.69886 , 16.19882 ,-26.009 , 290.3146 , 7.191846 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:25,-25.01,-1.831694E-05 , 1.967186E-02 ,-9.851339E-02 , 20.94509 , 6.02032 , 4.298249E-03 , 17.14285 , 0.1362776 , 41.53248 , 17.05256 , 16.74276 , 16.12525 , 16.23831 , 16.99378 , 16.45092 , 16.5798 , 16.68856 , 16.21119 ,-25.01 , 290.2928 , 7.1519 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:24,-24.012,-2.363672E-05 , 1.961662E-02 ,-0.0341746 , 20.94536 , 5.999745 , 2.713027E-03 , 17.06596 , 0.1428993 , 41.47699 , 16.9869 , 16.68611 , 16.04588 , 16.19307 , 16.91006 , 16.3513 , 16.47576 , 16.66123 , 16.13644 ,-24.012 , 290.2159 , 7.322625 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
