ULVersion=1,Company=UL,Project=12345,File=12345,Engineer=39605,Reviewer=39605,Technician=20137,Technician2=34344,TestLocation=Bld11-Calorimeter,TestType=Heat Release Check,TestNumber=1,Sample=Antifreeze Formula 21,CommodityDesC=Antifreeze Formula 21,GenProjectDesc=UL2901 research,SpkActivationTempDegF=165,SpkRTI=275,NumberOfTiers=2,SpkRadial DistanceFeet=7.1,SpkRDD=0.11,SpkDistanceBelowCeililngInch=3,CeilingToCommodityFeet=18,StorageType=,PalletType=,IgniterType=Burner - Heptane,IgniterNumber=0,Client Witnessed=No,HRRflag=True,RDDflag=False,IRIflag=False,ULtest=Yes,CCN=NA,TestFacilityLocation=NBK,TESTDATE=11/10/16,TestCode=11101601.DAT,DuctDiameter= 60 ,HRRA= 1.105 ,HRRB= 1.5 ,HRRE= 13100 ,HRRCFACTOR= 1 ,HRRO2DELAY= 15 ,HRRDUCTAREA= 1.824145 ,HRRC0C02DELAY= 30 ,HRRCOCO2Units=%,TestStartTime=11/10/2016 08:49:41,UserName=20137,ComputerName=NBKMJ00KM1J,EdgeSetupFile=Cal.SET,EdgeVersion=3.063c (NetDaq /MegaDaq)-Win7~Date:2013-06-13,RunTimeInitialO2=0.2094775,RunTimeO2CorrectionFactor=1.000107,RunTimeMaxHRRvel=11.95,RunTimeMaxHRRtemp=325,RunTimeHRRMax=3219.6,RunTimeMaxHRRTestTime=344.998,PostTestInitialAverageO2=20.94775,PreTestO2AvgStandardDeviation=N/A,HrrPeak=2737,HrrTotal=693,HRRavgOneMinute=2202,HRRavgFiveMinute=1399,HRRavgTenMinute=973,ConvHrrPeak=1566,ConvHrrTotal=485,ConvHRRavgOneMinute=1365,ConvHRRavgFiveMinute=922,ConvHRRavgTenMinute=667,ConvectiveEnergy=400
Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0,#0.0
-00:00:30,-30,-1.37226E-05 , 3.058414E-02 ,-3.420295E-02 , 20.94893 , 5.875425 , 2.705619E-03 , 17.00637 , 0.1378163 , 238.8846 , 16.75093 , 16.57009 , 16.41392 , 16.29406 , 16.75535 , 16.15611 , 16.28724 , 15.81871 , 15.889 ,-30 , 290.1564 , 7.190471 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:29,-29.012,-2.266948E-05 , 3.017689E-02 ,-3.731914E-02 , 20.94928 , 5.849581 , 3.261188E-03 , 16.97181 , 0.1305194 , 238.8773 , 16.72097 , 16.5604 , 16.38617 , 16.27313 , 16.74346 , 16.19382 , 16.29563 , 15.80902 , 15.87692 ,-29.012 , 290.1218 , 6.997112 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:28,-28.014, 5.380226E-06 , 3.072937E-02 ,-0.1198191 , 20.94945 , 5.847325 , 5.298273E-03 , 17.01049 , 0.1401978 , 238.8787 , 16.7392 , 16.58307 , 16.37048 , 16.30483 , 16.78215 , 16.24157 , 16.31847 , 15.86583 , 15.87265 ,-28.014 , 290.1605 , 7.252383 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:27,-27, 1.118361E-05 , 3.074831E-02 ,-3.737943E-02 , 20.94933 , 5.855749 , 4.987154E-03 , 17.01439 , 0.1174713 , 238.9049 , 16.77683 , 16.63434 , 16.3788 , 16.28383 , 16.87636 , 16.225 , 16.34487 , 15.89003 , 15.91954 ,-27 , 290.1644 , 6.638639 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:26,-26.001, 9.732767E-06 , 3.042945E-02 ,-7.247319E-02 , 20.94828 , 5.89091 , 4.705667E-03 , 17.01964 , 0.1295029 , 238.9462 , 16.75959 , 16.58318 , 16.3977 , 16.28908 , 16.82963 , 16.23025 , 16.38184 , 15.88863 , 15.87498 ,-26.001 , 290.1696 , 6.970384 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:25,-25.003,-4.419038E-05 , 3.019267E-02 ,-5.923397E-02 , 20.94811 , 5.903693 , 2.898217E-03 , 17.03668 , 0.1233772 , 238.8976 , 16.75637 , 16.58216 , 16.36958 , 16.2475 , 16.81959 , 16.21799 , 16.36054 , 15.83559 , 15.8581 ,-25.003 , 290.1867 , 6.803733 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:24,-24.004, 1.311808E-05 , 3.068201E-02 ,-2.184543E-02 , 20.94817 , 5.880692 , 2.261165E-03 , 16.9959 , 0.1282282 , 238.9178 , 16.76074 , 16.55501 , 16.38538 , 16.23158 , 16.81732 , 16.22255 , 16.37414 , 15.85362 , 15.89218 ,-24.004 , 290.1459 , 6.935712 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:23,-23.006,-5.047739E-05 , 3.030633E-02 ,-9.468899E-02 , 20.94805 , 5.871707 , 5.135306E-03 , 17.01191 , 0.1206786 , 238.8102 , 16.76772 , 16.54392 , 16.36286 , 16.25645 , 16.79481 , 16.21588 , 16.39236 , 15.82887 , 15.87869 ,-23.006 , 290.1619 , 6.728624 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:22,-22.008, 5.863841E-06 , 3.032527E-02 ,-5.333187E-02 , 20.94728 , 5.872976 , 3.801942E-03 , 16.99713 , 0.1165682 , 238.809 , 16.76878 , 16.50646 , 16.42515 , 16.22156 , 16.78242 , 16.18984 , 16.35268 , 15.85485 , 15.79156 ,-22.008 , 290.1471 , 6.612873 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:21,-21.009, 1.940508E-05 , 3.051153E-02 ,-0.1179373 , 20.94781 , 5.893743 , 4.001947E-03 , 17.02022 , 0.1296964 , 238.8862 , 16.72626 , 16.51592 , 16.4005 , 16.2467 , 16.80533 , 16.23084 , 16.37339 , 15.9073 , 15.8597 ,-21.009 , 290.1702 , 6.975596 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:20,-20.011,-8.886437E-06 , 3.063623E-02 ,-7.964803E-02 , 20.94788 , 5.840755 , 4.350102E-03 , 17.00622 , 0.1279466 , 238.9194 , 16.68055 , 16.48605 , 16.40234 , 16.18528 , 16.78008 , 16.21682 , 16.37984 , 15.91597 , 15.80952 ,-20.011 , 290.1562 , 6.928214 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:19,-19.012, 3.971694E-05 , 3.041209E-02 ,-0.0548684 , 20.94772 , 5.880373 , 2.898217E-03 , 16.95265 , 0.1254483 , 238.8977 , 16.64743 , 16.45735 , 16.41439 , 16.1883 , 16.80116 , 16.25377 , 16.40314 , 15.94832 , 15.78319 ,-19.012 , 290.1027 , 6.859607 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:18,-18.014, 4.068417E-05 , 3.078461E-02 ,-0.1303849 , 20.94748 , 5.867586 , 3.62416E-03 , 17.01484 , 0.1352458 , 238.9194 , 16.57156 , 16.42683 , 16.43125 , 16.22988 , 16.83608 , 16.29775 , 16.44029 , 16.01057 , 15.78863 ,-18.014 , 290.1649 , 7.123203 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
