ULVersion=1,Company=UL,Project=12345,File=12345,Engineer=39605,Reviewer=39605,Technician=20137,Technician2=34344,TestLocation=Bld11-Calorimeter,TestType=Heat Release Check,TestNumber=1,Sample=Bed,CommodityDesC=Bed,GenProjectDesc=UL2901 research,SpkActivationTempDegF=165,SpkRTI=275,NumberOfTiers=2,SpkRadial DistanceFeet=7.1,SpkRDD=0.11,SpkDistanceBelowCeililngInch=3,CeilingToCommodityFeet=18,StorageType=,PalletType=,IgniterType=Burner - Heptane,IgniterNumber=0,Client Witnessed=No,HRRflag=True,RDDflag=False,IRIflag=False,ULtest=Yes,CCN=NA,TestFacilityLocation=NBK,TESTDATE=11/10/16,TestCode=11101606.DAT,DuctDiameter= 60 ,HRRA= 1.105 ,HRRB= 1.5 ,HRRE= 13100 ,HRRCFACTOR= 1 ,HRRO2DELAY= 15 ,HRRDUCTAREA= 1.824145 ,HRRC0C02DELAY= 30 ,HRRCOCO2Units=%,TestStartTime=11/10/2016 16:45:43,UserName=20137,ComputerName=NBKMJ00KM1J,EdgeSetupFile=Cal.SET,EdgeVersion=3.063c (NetDaq /MegaDaq)-Win7~Date:2013-06-13,RunTimeInitialO2=0.2093997,RunTimeO2CorrectionFactor=1.000479,RunTimeMaxHRRvel=14.32,RunTimeMaxHRRtemp=358,RunTimeHRRMax=4936.8,RunTimeMaxHRRTestTime=347.987,PostTestInitialAverageO2=20.93997,PreTestO2AvgStandardDeviation=N/A,HrrPeak=4946,HrrTotal=640,HRRavgOneMinute=3020,HRRavgFiveMinute=1530,HRRavgTenMinute=977,ConvHrrPeak=2030,ConvHrrTotal=463,ConvHRRavgOneMinute=1805,ConvHRRavgFiveMinute=1034,ConvHRRavgTenMinute=691,ConvectiveEnergy=414
Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0,#0.0
-00:00:30,-30.375, 7.937342E-05 , 0.0414759 ,-0.0500291 , 20.93988 , 6.603982 , 4.350102E-03 , 18.84838 , 0.4107117 , 42.36565 , 18.51432 , 18.88884 , 18.14186 , 18.1056 , 18.56179 , 18.71062 , 18.31339 , 18.28394 , 18.33363 ,-30.375 , 291.9984 , 12.45231 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:29,-29.003,-1.39644E-05 , 4.080977E-02 ,-5.431318E-02 , 20.93926 , 6.549444 , 4.068614E-03 , 18.83522 , 0.4124894 , 42.33704 , 18.44025 , 18.84644 , 18.11286 , 18.06537 , 18.51017 , 18.70205 , 18.30482 , 18.26415 , 18.30243 ,-29.003 , 291.9852 , 12.47894 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:28,-28.004, 9.974575E-06 , 4.110022E-02 ,-8.057094E-02 , 20.94017 , 6.569553 , 5.446424E-03 , 18.85028 , 0.4651579 , 42.3962 , 18.4463 , 18.82784 , 18.15959 , 18.13695 , 18.54124 , 18.76917 , 18.37178 , 18.31989 , 18.36957 ,-28.004 , 292.0003 , 13.25204 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:27,-27.006,-2.91983E-05 , 4.078609E-02 ,-0.1117905 , 20.93912 , 6.554866 , 5.239012E-03 , 18.93069 , 0.5868492 , 42.40851 , 18.37992 , 18.82236 , 18.14288 , 18.11361 , 18.59224 , 18.71182 , 18.37311 , 18.28735 , 18.38452 ,-27.006 , 292.0807 , 14.88695 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:26,-26.007,-5.265366E-05 , 4.074979E-02 ,-6.401508E-03 , 20.93798 , 6.57629 , 5.994585E-03 , 18.88194 , 0.5502391 , 42.43357 , 18.33335 , 18.83228 , 18.146 , 18.16403 , 18.57714 , 18.70132 , 18.39664 , 18.32212 , 18.43731 ,-26.007 , 292.032 , 14.41391 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:25,-25.009,-7.677399E-06 , 4.100393E-02 ,-6.461182E-02 , 20.93801 , 6.57843 , 8.172414E-03 , 18.88846 , 0.4231123 , 42.36041 , 18.29718 , 18.81618 , 18.14351 , 18.13449 , 18.59508 , 18.66057 , 18.34668 , 18.28356 , 18.43482 ,-25.009 , 292.0385 , 12.63976 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:24,-24.011,-1.541525E-05 , 4.126281E-02 ,-4.732778E-02 , 20.93848 , 6.584316 , 6.298296E-03 , 18.9259 , 0.4115838 , 42.37278 , 18.3006 , 18.79955 , 18.15852 , 18.16294 , 18.60328 , 18.66178 , 18.33906 , 18.30299 , 18.41359 ,-24.011 , 292.0759 , 12.46717 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:23,-23.012,-6.649702E-07 , 4.137962E-02 ,-2.589335E-02 , 20.93845 , 6.521613 , 5.527908E-03 , 18.89549 , 0.4491875 , 42.28322 , 18.2433 , 18.76012 , 18.17778 , 18.1349 , 18.61112 , 18.62253 , 18.28379 , 18.31103 , 18.47351 ,-23.012 , 292.0455 , 13.02357 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:22,-22.014, 7.858766E-07 , 4.082714E-02 ,-0.1049114 , 20.93893 , 6.592024 , 4.609368E-03 , 18.90868 , 0.4278513 , 42.28515 , 18.24067 , 18.74848 , 18.24969 , 18.11423 , 18.63112 , 18.58365 , 18.27674 , 18.32864 , 18.50473 ,-22.014 , 292.0587 , 12.71079 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:21,-21, 1.263446E-05 , 4.111758E-02 ,-0.0491505 , 20.93947 , 6.546907 , 4.720481E-03 , 18.87999 , 0.3984185 , 42.25032 , 18.20515 , 18.67692 , 18.29312 , 18.06747 , 18.60481 , 18.55514 , 18.19834 , 18.34961 , 18.49185 ,-21 , 292.03 , 12.2652 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:20,-20.001,-5.821524E-05 , 4.077189E-02 ,-7.874631E-02 , 20.93925 , 6.557485 , 3.720458E-03 , 18.90624 , 0.388295 , 42.28943 , 18.20657 , 18.68736 , 18.24264 , 18.08914 , 18.63309 , 18.55638 , 18.23583 , 18.40513 , 18.53614 ,-20.001 , 292.0562 , 12.10891 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:19,-19.003,-1.783333E-05 , 4.113179E-02 ,-0.1063097 , 20.93953 , 6.581009 , 5.439017E-03 , 18.92945 , 0.3851025 , 42.34324 , 18.22059 , 18.65631 , 18.26587 , 18.13041 , 18.68114 , 18.5818 , 18.24544 , 18.44197 , 18.58419 ,-19.003 , 292.0794 , 12.05951 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:18,-18.005,-1.493163E-05 , 4.089817E-02 ,-3.060255E-02 , 20.94039 , 6.579841 , 3.075998E-03 , 18.91707 , 0.4009535 , 42.30674 , 18.2106 , 18.66435 , 18.24447 , 18.13146 , 18.72524 , 18.54919 , 18.30096 , 18.47927 , 18.60346 ,-18.005 , 292.0671 , 12.30493 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
