ULVersion=1,Company=UL,Project=12345,File=12345,Engineer=39605,Reviewer=39605,Technician=20137,Technician2=34344,TestLocation=Bld11-Calorimeter,TestType=Heat Release Check,TestNumber=1,Sample=Chair,CommodityDesC=Chair,GenProjectDesc=UL2901 research,SpkActivationTempDegF=165,SpkRTI=275,NumberOfTiers=2,SpkRadial DistanceFeet=7.1,SpkRDD=0.11,SpkDistanceBelowCeililngInch=3,CeilingToCommodityFeet=18,StorageType=,PalletType=,IgniterType=Burner - Heptane,IgniterNumber=0,Client Witnessed=No,HRRflag=True,RDDflag=False,IRIflag=False,ULtest=Yes,CCN=NA,TestFacilityLocation=NBK,TESTDATE=11/11/16,TestCode=11111603.DAT,DuctDiameter= 60 ,HRRA= 1.105 ,HRRB= 1.5 ,HRRE= 13100 ,HRRCFACTOR= 1 ,HRRO2DELAY= 15 ,HRRDUCTAREA= 1.824145 ,HRRC0C02DELAY= 30 ,HRRCOCO2Units=%,TestStartTime=11/11/2016 13:22:44,UserName=20137,ComputerName=NBKMJ00KM1J,EdgeSetupFile=Cal.SET,EdgeVersion=3.063c (NetDaq /MegaDaq)-Win7~Date:2013-06-13,RunTimeInitialO2=0.2095681,RunTimeO2CorrectionFactor=0.9996752,RunTimeMaxHRRvel=14.51,RunTimeMaxHRRtemp=322,RunTimeHRRMax=1854.6,RunTimeMaxHRRTestTime=346.997,PostTestInitialAverageO2=20.95681,PreTestO2AvgStandardDeviation=N/A,HrrPeak=1856,HrrTotal=357,HRRavgOneMinute=1602,HRRavgFiveMinute=726,HRRavgTenMinute=478,ConvHrrPeak=928,ConvHrrTotal=138,ConvHRRavgOneMinute=795,ConvHRRavgFiveMinute=367,ConvHRRavgTenMinute=223,ConvectiveEnergy=134
Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0,#0.0
-00:00:30,-30, 1.257703E-03 , 1.953927E-02 ,-5.310382E-02 , 20.95607 , 6.159378 , 4.224174E-03 , 17.30949 , 0.1064735 , 50.05494 , 16.89804 , 16.88901 , 16.89122 , 16.86634 , 16.87777 , 16.91168 , 16.83483 , 16.83925 , 16.82579 ,-30 , 290.4595 , 6.323458 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:29,-29.01, 1.251658E-03 , 1.977131E-02 ,-9.816214E-02 , 20.95578 , 6.185636 , 4.987154E-03 , 17.30374 , 0.0997965 , 50.089 , 16.91054 , 16.88566 , 16.92859 , 16.88344 , 16.87663 , 16.92399 , 16.85396 , 16.85396 , 16.83589 ,-29.01 , 290.4537 , 6.121913 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:28,-28.011, 1.229653E-03 , 1.960714E-02 ,-3.382525E-02 , 20.9556 , 6.142751 , 5.090861E-03 , 17.33396 , 0.1174787 , 50.04792 , 16.87959 , 16.86374 , 16.92253 , 16.86374 , 16.89543 , 16.90447 , 16.82522 , 16.87277 , 16.81397 ,-28.011 , 290.4839 , 6.642502 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:27,-27.013, 1.252625E-03 , 1.956452E-02 ,-0.1184058 , 20.9562 , 6.113328 , 2.898217E-03 , 17.31835 , 0.1059865 , 50.04383 , 16.87982 , 16.84351 , 16.88424 , 16.85936 , 16.82102 , 16.85936 , 16.7825 , 16.85254 , 16.80296 ,-27.013 , 290.4684 , 6.309074 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:26,-25.999, 1.247064E-03 , 1.989601E-02 ,-7.863837E-02 , 20.95618 , 6.111947 , 4.17232E-03 , 17.2853 , 0.1125205 , 50.05578 , 16.84454 , 16.86942 , 16.87163 , 16.8626 , 16.81745 , 16.84012 , 16.79939 , 16.86039 , 16.77893 ,-25.999 , 290.4353 , 6.500273 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:25,-25, 1.209583E-03 , 1.949665E-02 ,-2.932266E-02 , 20.95665 , 6.130026 , 3.71305E-03 , 17.30776 , 0.101176 , 50.02256 , 16.87383 , 16.83992 , 16.90535 , 16.8895 , 16.83992 , 16.8895 , 16.85558 , 16.87383 , 16.82849 ,-25 , 290.4578 , 6.164122 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:24,-24.002, 1.340159E-03 , 1.968923E-02 ,-0.1169603 , 20.95648 , 6.105462 , 3.261188E-03 , 17.32421 , 0.1156381 , 50.03626 , 16.88568 , 16.84274 , 16.87886 , 16.88568 , 16.83592 , 16.88107 , 16.82007 , 16.86983 , 16.80422 ,-24.002 , 290.4742 , 6.590151 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:23,-22.988, 1.299536E-03 , 0.0198897 ,-5.983615E-02 , 20.9571 , 6.124084 , 4.505662E-03 , 17.32455 , 0.1117456 , 49.99944 , 16.86796 , 16.85451 , 16.89966 , 16.83865 , 16.86114 , 16.87017 , 16.84529 , 16.88381 , 16.81138 ,-22.988 , 290.4745 , 6.478288 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:22,-22.005, 1.302438E-03 , 1.965766E-02 ,-5.423215E-02 , 20.95621 , 6.167932 , 4.35751E-03 , 17.32733 , 0.1062116 , 50.03733 , 16.89101 , 16.8571 , 16.92935 , 16.89101 , 16.84568 , 16.90907 , 16.84568 , 16.84125 , 16.83904 ,-22.005 , 290.4773 , 6.31587 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:21,-21.007, 1.255527E-03 , 1.981551E-02 ,-0.1211188 , 20.95586 , 6.132616 , 1.801895E-03 , 17.26279 , 0.1167565 , 49.98306 , 16.83787 , 16.84008 , 16.85133 , 16.85814 , 16.82423 , 16.87621 , 16.81299 , 16.83105 , 16.77907 ,-21.007 , 290.4128 , 6.62124 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:20,-20.008, 1.277531E-03 , 1.961188E-02 ,-1.267392E-02 , 20.95586 , 6.128575 , 3.535269E-03 , 17.27483 , 0.1131706 , 50.02117 , 16.81803 , 16.86097 , 16.89488 , 16.86779 , 16.81581 , 16.87461 , 16.77969 , 16.83167 , 16.77066 ,-20.008 , 290.4248 , 6.518906 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:19,-19.01, 1.356844E-03 , 2.036167E-02 ,-6.284057E-02 , 20.9563 , 6.097042 , 4.261212E-03 , 17.30687 , 0.1014264 , 50.02385 , 16.83442 , 16.87736 , 16.87276 , 16.85248 , 16.84345 , 16.884 , 16.81175 , 16.83663 , 16.78465 ,-19.01 , 290.4569 , 6.171737 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:18,-18.012, 1.308241E-03 , 1.979183E-02 ,-4.549696E-02 , 20.95625 , 6.108487 , 1.135212E-03 , 17.24577 , 0.111788 , 50.02123 , 16.85458 , 16.87724 , 16.89531 , 16.82527 , 16.80721 , 16.86361 , 16.79136 , 16.83191 , 16.7438 ,-18.012 , 290.3958 , 6.478639 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
