ULVersion=1,Company=UL,Project=12345,File=12345,Engineer=39605,Reviewer=39605,Technician=20137,Technician2=34344,TestLocation=Bld11-Calorimeter,TestType=Heat Release Check,TestNumber=1,Sample=Antifreeze Formula 21,CommodityDesC=Antifreeze Formula 21,GenProjectDesc=UL2901 research,SpkActivationTempDegF=165,SpkRTI=275,NumberOfTiers=2,SpkRadial DistanceFeet=7.1,SpkRDD=0.11,SpkDistanceBelowCeililngInch=3,CeilingToCommodityFeet=18,StorageType=,PalletType=,IgniterType=Burner - Heptane,IgniterNumber=0,Client Witnessed=No,HRRflag=True,RDDflag=False,IRIflag=False,ULtest=Yes,CCN=NA,TestFacilityLocation=NBK,TESTDATE=11/10/16,TestCode=11101603.DAT,DuctDiameter= 60 ,HRRA= 1.105 ,HRRB= 1.5 ,HRRE= 13100 ,HRRCFACTOR= 1 ,HRRO2DELAY= 15 ,HRRDUCTAREA= 1.824145 ,HRRC0C02DELAY= 30 ,HRRCOCO2Units=%,TestStartTime=11/10/2016 13:19:42,UserName=20137,ComputerName=NBKMJ00KM1J,EdgeSetupFile=Cal.SET,EdgeVersion=3.063c (NetDaq /MegaDaq)-Win7~Date:2013-06-13,RunTimeInitialO2=0.2096294,RunTimeO2CorrectionFactor=0.9993827,RunTimeMaxHRRvel=15.81,RunTimeMaxHRRtemp=327,RunTimeHRRMax=2275.5,RunTimeMaxHRRTestTime=353.998,PostTestInitialAverageO2=20.96294,PreTestO2AvgStandardDeviation=N/A,HrrPeak=2268,HrrTotal=195,HRRavgOneMinute=1529,HRRavgFiveMinute=544,HRRavgTenMinute=319,ConvHrrPeak=1078,ConvHrrTotal=126,ConvHRRavgOneMinute=815,ConvHRRavgFiveMinute=331,ConvHRRavgTenMinute=208,ConvectiveEnergy=125
Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0,#0.0
-00:00:30,-30, 2.327401E-05 , 2.004124E-02 ,-1.333424E-02 , 20.96426 , 6.349411 , 6.024216E-03 , 19.49053 , 0.4144982 , 44.6342 , 19.20652 , 19.16809 , 18.78669 , 18.84536 , 19.10944 , 18.88822 , 19.29219 , 19.37786 , 19.08241 ,-30 , 292.6405 , 12.52332 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:29,-29.013, 2.61757E-05 , 2.025276E-02 ,-8.022755E-02 , 20.96497 , 6.341079 , 5.357534E-03 , 19.49133 , 0.4056195 , 44.66596 , 19.11244 , 19.08081 , 18.77847 , 18.82813 , 19.14848 , 18.83714 , 19.30641 , 19.32902 , 19.04477 ,-29.013 , 292.6413 , 12.38849 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:28,-27.999,-3.016553E-05 , 1.957557E-02 ,-0.1025768 , 20.96378 , 6.314118 , 3.120444E-03 , 19.51217 , 0.384365 , 44.63757 , 19.07225 , 19.04742 , 18.76769 , 18.80375 , 19.11969 , 18.78793 , 19.28442 , 19.27542 , 19.04301 ,-27.999 , 292.6622 , 12.05997 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:27,-27, 2.478531E-06 , 1.973027E-02 ,-2.931647E-02 , 20.96427 , 6.32172 , 4.350102E-03 , 19.47206 , 0.4125149 , 44.63807 , 19.02329 , 18.97143 , 18.75698 , 18.80885 , 19.14741 , 18.80664 , 19.29394 , 19.29853 , 19.0369 ,-27 , 292.6221 , 12.49293 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:26,-26.002, 3.445762E-06 , 1.965924E-02 ,-0.1064784 , 20.96528 , 6.266484 , 3.513046E-03 , 19.45824 , 0.3702451 , 44.55806 , 18.96882 , 18.9416 , 18.74977 , 18.82206 , 19.09957 , 18.76118 , 19.2643 , 19.20566 , 19.06353 ,-26.002 , 292.6082 , 11.83529 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:25,-25.004, 1.529435E-05 , 1.979499E-02 ,-3.879014E-02 , 20.96504 , 6.30586 , 3.801942E-03 , 19.51047 , 0.4071299 , 44.59177 , 18.98963 , 18.9534 , 18.72552 , 18.91515 , 19.09555 , 18.79321 , 19.34595 , 19.21506 , 19.0459 ,-25.004 , 292.6605 , 12.41194 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:24,-24.005,-1.08209E-05 , 1.937195E-02 ,-6.185236E-02 , 20.96563 , 6.365168 , 3.62416E-03 , 19.47666 , 0.4156258 , 44.65789 , 18.95562 , 18.92619 , 18.7774 , 18.89456 , 19.08195 , 18.80444 , 19.29614 , 19.2375 , 19.05253 ,-24.005 , 292.6266 , 12.54005 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:23,-23.007,-2.532937E-05 , 1.956768E-02 ,-6.209495E-02 , 20.96474 , 6.41948 , 5.446424E-03 , 19.44914 , 0.3889715 , 44.67073 , 18.9325 , 18.90767 , 18.86703 , 18.87843 , 19.14452 , 18.77671 , 19.32046 , 19.20997 , 19.02279 ,-23.007 , 292.5992 , 12.13072 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:22,-22.008,-1.348079E-05 , 1.991653E-02 ,-2.131355E-02 , 20.96482 , 6.282789 , 3.172297E-03 , 19.51052 , 0.3706709 , 44.69773 , 18.88798 , 18.84734 , 18.76162 , 18.86315 , 19.13826 , 18.84954 , 19.3052 , 19.16308 , 19.03915 ,-22.008 , 292.6605 , 11.84315 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:21,-21.01,-1.541525E-05 , 1.947928E-02 ,-0.1237656 , 20.9643 , 6.202885 , 3.024145E-03 , 19.45419 , 0.4106869 , 44.61822 , 18.84284 , 18.84063 , 18.75253 , 18.87889 , 19.12494 , 18.80679 , 19.27147 , 19.15877 , 19.05727 ,-21.01 , 292.6042 , 12.46484 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:20,-20.012,-2.992372E-05 , 0.0194414 ,-5.377939E-02 , 20.96458 , 6.429305 , 4.261212E-03 , 19.49908 , 0.4041032 , 44.73299 , 18.87212 , 18.86991 , 18.7774 , 18.87653 , 19.16083 , 18.89014 , 19.32096 , 19.20367 , 19.09316 ,-20.012 , 292.6491 , 12.36547 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:19,-19.013,-2.242768E-05 , 1.945087E-02 ,-9.118557E-02 , 20.96467 , 6.41327 , 4.083429E-03 , 19.47665 , 0.3790715 , 44.71318 , 18.84048 , 18.86752 , 18.81345 , 18.93759 , 19.19245 , 18.90136 , 19.28052 , 19.22628 , 19.07514 ,-19.013 , 292.6266 , 11.97591 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:18,-17.999,-1.880056E-05 , 1.972711E-02 ,-0.1047115 , 20.96494 , 6.385066 , 4.35751E-03 , 19.50528 , 0.3893106 , 44.75023 , 18.81505 , 18.85349 , 18.81726 , 18.90315 , 19.16482 , 18.88274 , 19.21888 , 19.19865 , 19.04972 ,-17.999 , 292.6553 , 12.13717 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
