ULVersion=1,Company=UL,Project=12345,File=12345,Engineer=39605,Reviewer=39605,Technician=20137,Technician2=34344,TestLocation=Bld11-Calorimeter,TestType=Heat Release Check,TestNumber=1,Sample=Chair,CommodityDesC=Chair,GenProjectDesc=UL2901 research,SpkActivationTempDegF=165,SpkRTI=275,NumberOfTiers=2,SpkRadial DistanceFeet=7.1,SpkRDD=0.11,SpkDistanceBelowCeililngInch=3,CeilingToCommodityFeet=18,StorageType=,PalletType=,IgniterType=Burner - Heptane,IgniterNumber=0,Client Witnessed=No,HRRflag=True,RDDflag=False,IRIflag=False,ULtest=Yes,CCN=NA,TestFacilityLocation=NBK,TESTDATE=11/11/16,TestCode=11111601.DAT,DuctDiameter= 60 ,HRRA= 1.105 ,HRRB= 1.5 ,HRRE= 13100 ,HRRCFACTOR= 1 ,HRRO2DELAY= 15 ,HRRDUCTAREA= 1.824145 ,HRRC0C02DELAY= 30 ,HRRCOCO2Units=%,TestStartTime=11/11/2016 07:52:42,UserName=20137,ComputerName=NBKMJ00KM1J,EdgeSetupFile=Cal.SET,EdgeVersion=3.063c (NetDaq /MegaDaq)-Win7~Date:2013-06-13,RunTimeInitialO2=0.209522,RunTimeO2CorrectionFactor=0.9998948,RunTimeMaxHRRvel=13.73,RunTimeMaxHRRtemp=323,RunTimeHRRMax=2004.6,RunTimeMaxHRRTestTime=377.997,PostTestInitialAverageO2=20.9522,PreTestO2AvgStandardDeviation=N/A,HrrPeak=1982,HrrTotal=227,HRRavgOneMinute=1565,HRRavgFiveMinute=601,HRRavgTenMinute=363,ConvHrrPeak=1059,ConvHrrTotal=132,ConvHRRavgOneMinute=830,ConvHRRavgFiveMinute=348,ConvHRRavgTenMinute=210,ConvectiveEnergy=126
Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0,#0.0
-00:00:30,-30, 1.753108E-06 , 1.960872E-02 ,-3.007472E-02 , 20.95431 , 6.264976 , 4.898264E-03 , 16.03223 , 0.4913339 , 60.84909 , 16.14309 , 15.98464 , 14.89543 , 14.8138 , 16.41455 , 15.67227 , 14.65752 , 14.8886 , 15.29187 ,-30 , 289.1822 , 13.55393 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:29,-29.007,-2.653841E-05 , 1.963871E-02 ,-0.1128254 , 20.95395 , 6.280298 , 2.868586E-03 , 16.04499 , 0.5732846 , 60.87645 , 16.08354 , 15.98393 , 14.82675 , 14.79499 , 16.39116 , 15.56527 , 14.69764 , 14.89251 , 15.21418 ,-29.007 , 289.195 , 14.64103 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:28,-28.008, 9.249151E-06 , 1.955979E-02 ,-6.657133E-02 , 20.95344 , 6.244222 , 3.535269E-03 , 16.00709 , 0.4073577 , 60.87261 , 16.06151 , 15.95747 , 14.84994 , 14.76165 , 16.42353 , 15.49339 , 14.72988 , 14.92031 , 15.21705 ,-28.008 , 289.1571 , 12.34087 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:27,-27.01,-1.759152E-05 , 1.948244E-02 ,-4.796427E-02 , 20.95356 , 6.276191 , 3.142667E-03 , 16.05015 , 0.3964044 , 60.84644 , 16.01381 , 15.93246 , 14.79775 , 14.7706 , 16.471 , 15.42074 , 14.79554 , 14.9383 , 15.16488 ,-27.01 , 289.2002 , 12.17474 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:26,-26.012, 4.89661E-06 , 1.949507E-02 ,-0.1102192 , 20.9553 , 6.295182 , 3.172297E-03 , 16.06211 , 0.4080849 , 60.81639 , 16.01913 , 15.81767 , 14.76447 , 14.72143 , 16.43557 , 15.36257 , 14.862 , 15.02747 , 15.21322 ,-26.012 , 289.2121 , 12.35306 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:25,-25.013,-2.266948E-05 , 0.0195077 ,-3.395155E-02 , 20.955 , 6.261696 , 4.809373E-03 , 16.0561 , 0.3859683 , 60.77771 , 16.04946 , 15.78915 , 14.78801 , 14.70415 , 16.44763 , 15.31816 , 14.8787 , 14.98064 , 15.20499 ,-25.013 , 289.2061 , 12.01353 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:24,-24.015,-1.033728E-05 , 1.951085E-02 ,-3.352738E-02 , 20.95646 , 6.331683 , 3.62416E-03 , 16.12551 , 0.3520786 , 60.80992 , 16.05302 , 15.78589 , 14.82796 , 14.79158 , 16.37209 , 15.37378 , 14.88688 , 15.0228 , 15.23569 ,-24.015 , 289.2755 , 11.47537 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:23,-23.001,-1.952598E-05 , 1.929618E-02 ,-0.1128423 , 20.95707 , 6.322354 , 3.71305E-03 , 16.08235 , 0.3750389 , 60.80331 , 16.04841 , 15.73828 , 14.85271 , 14.82094 , 16.347 , 15.3352 , 14.87764 , 15.04994 , 15.16775 ,-23.001 , 289.2324 , 11.84275 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:22,-22.002,-4.346496E-05 , 1.919673E-02 ,-4.598428E-02 , 20.95661 , 6.295482 , 3.253781E-03 , 16.08509 , 0.3558249 , 60.76185 , 15.97405 , 15.69342 , 14.79192 , 14.86673 , 16.34072 , 15.29272 , 14.81003 , 15.01188 , 15.16367 ,-22.002 , 289.2351 , 11.53545 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:21,-21.004,-7.030564E-05 , 0.0191399 ,-3.230564E-02 , 20.95482 , 6.237566 , 1.809302E-03 , 16.04589 , 0.3665303 , 60.80498 , 15.9328 , 15.67246 , 14.82765 , 14.8162 , 16.33102 , 15.20363 , 14.84797 , 14.93182 , 15.12663 ,-21.004 , 289.1959 , 11.7069 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:20,-20.006,-9.611861E-06 , 1.957242E-02 ,-7.375831E-02 , 20.95296 , 6.253655 , 2.475985E-03 , 16.04594 , 0.3441474 , 60.75019 , 15.9192 , 15.70185 , 14.8048 , 14.8434 , 16.33329 , 15.21051 , 14.91137 , 14.90694 , 15.15844 ,-20.006 , 289.196 , 11.34382 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:19,-19.007, 1.38435E-05 , 1.934037E-02 ,-2.910653E-02 , 20.95169 , 6.317776 , 4.624183E-03 , 16.10032 , 0.3447582 , 60.78338 , 15.93744 , 15.74279 , 14.84577 , 14.83672 , 16.39669 , 15.17669 , 14.97727 , 14.86849 , 15.20383 ,-19.007 , 289.2503 , 11.35495 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
-00:00:18,-18.009, 2.206497E-05 , 1.989601E-02 ,-0.1083197 , 20.95185 , 6.302248 , 5.164937E-03 , 16.0715 , 0.3645024 , 60.76851 , 15.97188 , 15.72964 , 14.91886 , 14.86678 , 16.44016 , 15.14322 , 14.99809 , 14.88266 , 15.24052 ,-18.009 , 289.2215 , 11.67499 , 0 , 68 , 0 , 0 , 0.2095 , 0 , 0 
