Time,Low,High
-29.0563,1.335253,
-29.0327,1.37836,
-29.009,1.379734,
-28.9853,1.380638,
-28.9617,1.379967,
-28.938,1.376344,
-28.9143,1.369441,
-28.8907,1.081169,
-28.867,1.084982,
-28.8433,1.100349,
-28.8197,1.104605,
-28.796,1.112386,
-28.7723,1.129754,
-28.7487,1.144162,
-28.725,1.171779,
-28.7013,1.167267,
-28.6777,1.182545,
-28.654,1.202207,
-28.6303,1.20871,
-28.6067,1.227517,
-28.583,1.243584,
-28.5593,1.249484,
-28.5357,1.253071,
-28.512,1.25317,
-28.4883,1.246099,
-28.4647,1.236917,
-28.441,1.24116,
-28.4173,1.236598,
-28.3937,1.238067,
-28.37,1.237433,
-28.3463,1.238938,
-28.3227,1.241777,
-28.299,1.237876,
-28.2753,1.242568,
-28.2517,1.238326,
-28.228,1.239483,
-28.2043,1.239039,
-28.1807,1.23164,
-28.157,1.234246,
-28.1333,1.232218,
-28.1097,1.232815,
-28.086,1.237498,
-28.0623,1.242215,
-28.0387,1.240863,
-28.015,1.241363,
-27.9913,1.240814,
-27.9677,1.241169,
-27.944,1.247446,
-27.9203,1.25225,
-27.8967,1.254386,
-27.873,1.26213,
-27.8493,1.264935,
-27.8257,1.267221,
-27.802,1.262452,
-27.7783,1.261708,
-27.7547,1.258684,
-27.731,1.261097,
-27.7073,1.258421,
-27.6837,1.266628,
-27.66,1.273775,
-27.6363,1.279134,
-27.6127,1.282037,
-27.589,1.287743,
-27.5653,1.288075,
-27.5417,1.284897,
-27.518,1.288636,
-27.4943,1.282541,
-27.4707,1.283555,
-27.447,1.288789,
-27.4233,1.289622,
-27.3997,1.292685,
-27.376,1.297805,
-27.3523,1.290641,
-27.3287,1.295008,
-27.305,1.296565,
-27.2813,1.295793,
-27.2577,1.290136,
-27.234,1.288461,
-27.2103,1.287431,
-27.1867,1.293678,
-27.163,1.291131,
-27.1393,1.290422,
-27.1157,1.286639,
-27.092,1.287877,
-27.0683,1.290407,
-27.0447,1.28699,
-27.021,1.289681,
-26.9973,1.290563,
-26.9737,1.291888,
-26.95,1.291022,
-26.9263,1.293916,
-26.9027,1.295688,
-26.879,1.297934,
-26.8553,1.294069,
-26.8317,1.303463,
-26.808,1.299607,
-26.7843,1.305089,
-26.7607,1.301868,
-26.737,1.301411,
-26.7133,1.304645,
-26.6897,1.31079,
-26.666,1.310776,
-26.6423,1.311169,
-26.6187,1.310235,
-26.595,1.307658,
-26.5713,1.307198,
-26.5477,1.310193,
-26.524,1.306517,
-26.5003,1.308582,
-26.4767,1.310614,
-26.453,1.308803,
-26.4293,1.308236,
-26.4057,1.310626,
-26.382,1.314798,
-26.3583,1.315697,
-26.3347,1.316184,
-26.311,1.313896,
-26.2873,1.316148,
-26.2637,1.317768,
-26.24,1.323095,
-26.2163,1.326211,
-26.1927,1.323807,
-26.169,1.321007,
-26.1453,1.319187,
-26.1217,1.321808,
-26.098,1.323356,
-26.0743,1.327716,
-26.0507,1.330917,
-26.027,1.341166,
-26.0033,1.353292,
-25.9797,1.356046,
-25.956,1.368685,
-25.9323,1.367531,
-25.9087,1.360727,
-25.885,1.366172,
-25.8613,1.367785,
-25.8377,1.366794,
-25.814,1.364017,
-25.7903,1.357051,
-25.7667,1.348416,
-25.743,1.349279,
-25.7193,1.345303,
-25.6957,1.344517,
-25.672,1.343884,
-25.6483,1.342051,
-25.6247,1.351261,
-25.601,1.360862,
-25.5773,1.376247,
-25.5537,1.383006,
-25.53,1.389332,
-25.5063,1.391113,
-25.4827,1.398427,
-25.459,1.408284,
-25.4353,1.41728,
-25.4117,1.421931,
-25.388,1.422099,
-25.3643,1.428276,
-25.3407,1.43048,
-25.317,1.434795,
-25.2933,1.431703,
-25.2697,1.435579,
-25.246,1.429892,
-25.2223,1.429403,
-25.1987,1.429166,
-25.175,1.4306,
-25.1513,1.427552,
-25.1277,1.423995,
-25.104,1.428917,
-25.0803,1.426608,
-25.0567,1.426419,
-25.033,1.426258,
-25.0093,1.424276,
-24.9857,1.4234,
-24.962,1.421335,
-24.9383,1.419807,
-24.9147,1.416903,
-24.891,1.413413,
-24.8673,1.407132,
-24.8437,1.405935,
-24.82,1.406238,
-24.7963,1.408177,
-24.7727,1.402921,
-24.749,1.397729,
-24.7253,1.392964,
-24.7017,1.392446,
-24.678,1.394755,
-24.6543,1.390197,
-24.6307,1.392265,
-24.607,1.392506,
-24.5833,1.399453,
-24.5597,1.396916,
-24.536,1.393916,
-24.5123,1.393713,
-24.4887,1.40203,
-24.465,1.400549,
-24.4413,1.396986,
-24.4177,1.3974,
-24.394,1.396178,
-24.3703,1.3939,
-24.3467,1.394416,
-24.323,1.396417,
-24.2993,1.395077,
-24.2757,1.398142,
-24.252,1.398718,
-24.2283,1.402244,
-24.2047,1.40469,
-24.181,1.404233,
-24.1573,1.403974,
-24.1337,1.345239,
-24.11,1.362903,
-24.0863,1.37217,
-24.0627,1.368161,
-24.039,1.371859,
-24.0153,1.374224,
-23.9917,1.376201,
-23.968,1.379964,
-23.9443,1.382532,
-23.9207,1.388158,
-23.897,1.390001,
-23.8733,1.381975,
-23.8497,1.384055,
-23.826,1.3923,
-23.8023,1.393171,
-23.7787,1.392803,
-23.755,1.391301,
-23.7313,1.401343,
-23.7077,1.408318,
-23.684,1.413033,
-23.6603,1.41459,
-23.6367,1.412892,
-23.613,1.413527,
-23.5893,1.414662,
-23.5657,1.421633,
-23.542,1.425672,
-23.5183,1.431205,
-23.4947,1.435697,
-23.471,1.438433,
-23.4473,1.441818,
-23.4237,1.441032,
-23.4,1.439919,
-23.3763,1.437193,
-23.3527,1.433858,
-23.329,1.425588,
-23.3053,1.425497,
-23.2817,1.426987,
-23.258,1.422894,
-23.2343,1.42408,
-23.2107,1.419327,
-23.187,1.420501,
-23.1633,1.419205,
-23.1397,1.420005,
-23.116,1.415455,
-23.0923,1.413489,
-23.0687,1.416409,
-23.045,1.414072,
-23.0213,1.413002,
-22.9977,1.418334,
-22.974,1.419487,
-22.9503,1.421584,
-22.9267,1.426152,
-22.903,1.429853,
-22.8793,1.426252,
-22.8557,1.434691,
-22.832,1.439789,
-22.8083,1.444144,
-22.7847,1.439568,
-22.761,1.438564,
-22.7373,1.438148,
-22.7137,1.442539,
-22.69,1.442231,
-22.6663,1.441931,
-22.6427,1.44863,
-22.619,1.452966,
-22.5953,1.449271,
-22.5717,1.451443,
-22.548,1.455355,
-22.5243,1.458152,
-22.5007,1.461092,
-22.477,1.467895,
-22.4533,1.475147,
-22.4297,1.474683,
-22.406,1.470443,
-22.3823,1.473651,
-22.3587,1.476545,
-22.335,1.481274,
-22.3113,1.481997,
-22.2877,1.480128,
-22.264,1.477383,
-22.2403,1.480251,
-22.2167,1.471945,
-22.193,1.46658,
-22.1693,1.466845,
-22.1457,1.46862,
-22.122,1.461295,
-22.0983,1.466569,
-22.0747,1.463429,
-22.051,1.462556,
-22.0273,1.463982,
-22.0037,1.461383,
-21.98,1.461276,
-21.9563,1.463157,
-21.9327,1.463301,
-21.909,1.467723,
-21.8853,1.474006,
-21.8617,1.474254,
-21.838,1.478105,
-21.8143,1.478664,
-21.7907,1.481837,
-21.767,1.489295,
-21.7433,1.489722,
-21.7197,1.489659,
-21.696,1.490233,
-21.6723,1.49393,
-21.6487,1.500496,
-21.625,1.506028,
-21.6013,1.502071,
-21.5777,1.502593,
-21.554,1.505126,
-21.5303,1.504927,
