Seconds,fireattack_bed_1,fireattack_bed_2,sofa_center_ignite,sofa_right_ignite,sofa_left_ignite,stripedchair_1,stripedchair_2,stripedchair_3,yellowchair_1,yellowchair_2,fr_couch1
1,103.872568,104.8704704,43.7262688,44.905608,45.812792,28.3041408,27.7598304,28.3041408,24.7661232,25.854744,107.047712
2,103.872568,104.779752,43.6355504,44.8148896,45.812792,28.3041408,27.7598304,28.3041408,24.7661232,25.854744,107.047712
3,103.872568,104.779752,43.6355504,44.8148896,45.812792,28.2134224,27.7598304,28.3041408,24.8568416,25.854744,107.047712
4,103.872568,104.779752,43.6355504,44.8148896,45.812792,28.3041408,27.7598304,28.3041408,24.8568416,25.854744,107.047712
5,103.872568,104.8704704,43.7262688,44.8148896,45.812792,28.3041408,27.7598304,28.3041408,24.7661232,25.854744,107.047712
6,103.872568,104.8704704,43.6355504,44.8148896,45.812792,28.3041408,27.7598304,28.3948592,24.7661232,25.854744,107.047712
7,103.872568,104.8704704,43.6355504,44.8148896,45.812792,28.3041408,27.7598304,28.2134224,24.7661232,25.854744,107.047712
8,103.872568,104.8704704,43.6355504,44.8148896,45.812792,28.3041408,27.7598304,28.2134224,24.7661232,25.854744,107.047712
9,103.872568,104.8704704,43.6355504,44.8148896,45.812792,28.3041408,27.7598304,28.3041408,24.8568416,25.854744,107.047712
10,103.872568,104.779752,43.7262688,44.8148896,45.812792,28.2134224,27.669112,28.3041408,24.7661232,25.854744,107.047712
11,103.872568,104.8704704,43.7262688,44.8148896,45.812792,28.2134224,27.7598304,28.3948592,24.7661232,25.854744,107.047712
12,103.872568,104.8704704,43.7262688,44.8148896,45.812792,28.3041408,27.7598304,28.3041408,24.8568416,25.854744,107.047712
13,103.872568,104.8704704,43.7262688,44.8148896,45.812792,28.2134224,27.7598304,28.3041408,24.8568416,25.854744,107.047712
14,103.872568,104.8704704,43.7262688,44.8148896,45.812792,28.2134224,27.7598304,28.3041408,24.7661232,25.854744,107.047712
15,103.872568,104.8704704,43.7262688,44.8148896,45.812792,28.3041408,27.7598304,28.3041408,24.7661232,25.854744,107.047712
