Seconds,fireattack_bed_1,fireattack_bed_2,sofa_center_ignite,sofa_right_ignite,sofa_left_ignite,stripedchair_1,stripedchair_2,stripedchair_3,yellowchair_1,yellowchair_2,fr_couch1
1,229,231.2,96.4,99,101,62.4,61.2,62.4,54.6,57,236
2,229,231,96.2,98.8,101,62.4,61.2,62.4,54.6,57,236
3,229,231,96.2,98.8,101,62.2,61.2,62.4,54.8,57,236
4,229,231,96.2,98.8,101,62.4,61.2,62.4,54.8,57,236
5,229,231.2,96.4,98.8,101,62.4,61.2,62.4,54.6,57,236
6,229,231.2,96.2,98.8,101,62.4,61.2,62.6,54.6,57,236
7,229,231.2,96.2,98.8,101,62.4,61.2,62.2,54.6,57,236
8,229,231.2,96.2,98.8,101,62.4,61.2,62.2,54.6,57,236
9,229,231.2,96.2,98.8,101,62.4,61.2,62.4,54.8,57,236
10,229,231,96.4,98.8,101,62.2,61,62.4,54.6,57,236
11,229,231.2,96.4,98.8,101,62.2,61.2,62.6,54.6,57,236
12,229,231.2,96.4,98.8,101,62.4,61.2,62.4,54.8,57,236
13,229,231.2,96.4,98.8,101,62.2,61.2,62.4,54.8,57,236
14,229,231.2,96.4,98.8,101,62.2,61.2,62.4,54.6,57,236
15,229,231.2,96.4,98.8,101,62.4,61.2,62.4,54.6,57,236
16,229,231,96.4,99,101,62.4,61.2,62.6,54.8,57,236
17,229,231,96.4,98.8,101,62.4,61.2,62.6,54.4,57,236
18,229,231,96.4,98.8,101,62.2,61.2,62.4,54.6,57,236
19,229,231,96.4,99,101,62.2,61.2,62.2,54.6,57,236
20,229,231,96.4,99,100.8,62.2,61.2,62.6,54.6,57,236
21,229,231.2,96.2,98.8,101,62.4,61.2,62.6,54.6,57,236
22,229,231.2,96.2,98.8,101,62.4,61,62.4,54.6,57,236
23,229,231.2,96.2,98.8,101,62.4,61,62.4,54.6,57,236
24,229,231.2,96.2,98.8,101,62.4,61,62.4,54.6,57,236
25,229,231,96.2,98.8,101,62.4,61,62.4,54.8,57,236
26,229,231.2,96.4,98.8,101,62.4,61.2,62.4,55,57,236
27,229,231.2,96.4,98.8,100.8,62.4,61.2,62.6,54.8,57,236
28,229,231.2,96.4,98.8,101,62.4,61.2,62.6,54.6,57,236
29,229,231.2,96.4,98.8,101,62.4,61.2,62.6,54.8,57,236
30,229,231.2,96.4,98.8,101,62.2,61,62.4,55,57,236
31,229,231.2,96.4,98.8,101,62.4,61,62.4,54.8,57,236
32,229,231.2,96.4,98.8,101,62.4,61,62.4,54.6,57,236
33,229,231.2,96.4,99,101,62.4,61,62.6,54.8,57,236
34,229,231.2,96.4,98.8,101,62.4,61,62.6,54.6,56.8,236
35,229,231.2,96.2,98.8,101,62.2,61,62.4,54.6,56.8,236
36,229,231.2,96.2,98.8,101,62.2,61,62.4,55,56.8,236
37,229,231.2,96.2,99,101,62.4,61,62.6,55.2,56.8,236
38,229,231.2,96.2,98.8,101,62.4,61,62.6,54.8,56.8,236
39,229,231.2,96.2,98.8,101,62.4,61,62.6,55,57,236
40,229,231.2,96.4,98.8,101,62.4,61,62.4,55.2,56.8,235.8
41,229,231.2,96.4,98.8,101,62.4,61,62.6,55.4,56.8,235.8
42,229,231.2,96.4,98.8,101,62.4,61,62.6,55,57,235.8
43,229,231.2,96.4,98.8,101,62.2,61,62.4,55,57,235.8
44,229,231.2,96.4,98.8,101,62.2,61,62.6,55,57,235.8
45,229,231.2,96.4,98.8,101,62.2,61,62.4,55,57,235.8
46,229,231.2,96.4,98.8,101,62.4,61,62.4,55,57,235.8
47,229,231.2,96.2,98.8,101,62.4,61,62.4,55,57,235.8
48,229,231.2,96.2,98.8,101,62.2,61,62.4,55,57,235.8
49,229,231.2,96.2,99,101,62.2,61,62.4,55,57,235.8
50,229,231.2,96.2,99,101,62.2,61.2,62.4,55,57,235.8
51,229,231.2,96.2,99,101,62.2,61,62.4,55,57,235.8
52,229,231.2,96.2,98.8,101,62.2,61,62.4,55,57,235.8
53,229,231.2,96.4,98.8,101,62.2,61.2,62.4,55,57,235.8
54,229,231.2,96.4,98.8,101,62.2,61.2,62.4,55,57,235.8
55,229,231,96.4,98.8,101,62.2,61.2,62.4,55.2,57,235.8
56,229,231,96.4,98.8,101,62.2,61,62.4,55,57,235.8
