Time,Hall_IR,Front_Door_IR
5,60,59
10,60,59
15,60,59
20,60,59
25,60,59
30,60,59
35,60,59
40,60,59
45,60,59
50,60,59
55,60,59
60,60,59
65,60,59
70,60,59
75,62,59
80,64,59
85,66,59
90,68,59
95,69,59
100,71,59
105,75,59
110,77,59
115,82,59
120,93,59
125,122,59
130,145,59
135,179,59
140,215,59
145,233,60
150,350,60
155,415,62
160,471,60
165,465,64
170,680,68
175,366,71
180,435,75
185,626,77
190,546,78
195,354,87
200,244,104
205,159,107
210,156,125
215,163,132
220,154,141
225,163,141
230,152,140
235,134,143
240,116,140
245,113,136
250,114,138
255,114,131
260,109,127
265,109,125
270,107,122
275,109,120
280,111,116
285,109,118
290,109,118
295,109,118
300,111,120
305,109,118
310,113,118
315,111,118
320,111,122
324,111,122
