Time,Hall IR,Front Door IR
5,60,60
10,60,60
15,60,60
20,60,60
25,60,60
30,60,60
35,60,60
40,60,60
45,60,60
50,60,60
55,60,60
60,60,60
65,60,60
70,60,60
75,60,60
80,60,60
85,60,60
90,60,60
95,62,60
100,62,60
105,64,60
110,66,60
115,66,60
120,68,60
125,68,60
130,71,60
135,71,60
140,73,60
145,77,60
150,78,60
155,80,60
160,82,60
165,84,60
170,87,60
175,95,60
180,100,60
185,113,60
190,131,62
195,147,62
200,177,62
205,203,64
210,226,64
215,233,66
220,320,69
225,347,73
230,361,80
235,345,84
240,330,95
245,296,107
250,262,116
255,237,127
260,239,131
265,210,140
270,204,138
275,183,145
280,179,147
285,167,147
290,159,147
295,149,149
300,147,152
305,145,152
310,143,150
315,136,152
320,141,152
325,136,150
330,132,147
335,131,147
340,134,145
345,136,147
350,136,143
355,132,138
360,131,138
365,131,134
370,132,134
375,131,138
380,131,138
385,129,132
390,131,138
395,129,136
400,127,134
405,129,134
410,123,140
415,129,136
418,123,134
