Channel,Title,ScaleFactor_A,ScaleFactor_B,Offset,Transport_Time_A,Transport_Time_B,Primary_Chart,Secondary_Chart,Type
1TC7,Bedroom 1 7ft,1.8,1.8,32,0,0,Bedroom_1_Temps,House_Temps_7ft,Temperature
1TC5,Bedroom 1 5ft,1.8,1.8,32,0,0,Bedroom_1_Temps,House_Temps_5ft,Temperature
1TC3,Bedroom 1 3ft,1.8,1.8,32,0,0,Bedroom_1_Temps,House_Temps_3ft,Temperature
1TC1,Bedroom 1 1ft,1.8,1.8,32,0,0,Bedroom_1_Temps,House_Temps_1ft,Temperature
2TC7,Bedroom 2 7ft,1.8,1.8,32,0,0,Bedroom_2_Temps,House_Temps_7ft,Temperature
2TC5,Bedroom 2 5ft,1.8,1.8,32,0,0,Bedroom_2_Temps,House_Temps_5ft,Temperature
2TC3,Bedroom 2 3ft,1.8,1.8,32,0,0,Bedroom_2_Temps,House_Temps_3ft,Temperature
2TC1,Bedroom 2 1ft,1.8,1.8,32,0,0,Bedroom_2_Temps,House_Temps_1ft,Temperature
3TC7,End of Hall 7ft,1.8,1.8,32,0,0,End_Hall_Temps,House_Temps_7ft,Temperature
3TC6,End of Hall 6ft,1.8,1.8,32,0,0,End_Hall_Temps,,Temperature
3TC5,End of Hall 5ft,1.8,1.8,32,0,0,End_Hall_Temps,House_Temps_5ft,Temperature
3TC4,End of Hall 4ft,1.8,1.8,32,0,0,End_Hall_Temps,,Temperature
3TC3,End of Hall 3ft,1.8,1.8,32,0,0,End_Hall_Temps,House_Temps_3ft,Temperature
3TC2,End of Hall 2ft,1.8,1.8,32,0,0,End_Hall_Temps,,Temperature
3TC1,End of Hall 1ft,1.8,1.8,32,0,0,End_Hall_Temps,House_Temps_1ft,Temperature
4TC7,Middle of Hall 7ft,1.8,1.8,32,0,0,Middle_Hall_Temps,House_Temps_7ft,Temperature
4TC6,Middle of Hall 6ft,1.8,1.8,32,0,0,Middle_Hall_Temps,,Temperature
4TC5,Middle of Hall 5ft,1.8,1.8,32,0,0,Middle_Hall_Temps,House_Temps_5ft,Temperature
4TC4,Middle of Hall 4ft,1.8,1.8,32,0,0,Middle_Hall_Temps,,Temperature
4TC3,Middle of Hall 3ft,1.8,1.8,32,0,0,Middle_Hall_Temps,House_Temps_3ft,Temperature
4TC2,Middle of Hall 2ft,1.8,1.8,32,0,0,Middle_Hall_Temps,,Temperature
4TC1,Middle of Hall 1ft,1.8,1.8,32,0,0,Middle_Hall_Temps,House_Temps_1ft,Temperature
5TC7,Start of Hall 7ft,1.8,1.8,32,0,0,Start_Hall_Temps,House_Temps_7ft,Temperature
5TC6,Start of Hall 6ft,1.8,1.8,32,0,0,Start_Hall_Temps,,Temperature
5TC5,Start of Hall 5ft,1.8,1.8,32,0,0,Start_Hall_Temps,House_Temps_5ft,Temperature
5TC4,Start of Hall 4ft,1.8,1.8,32,0,0,Start_Hall_Temps,,Temperature
5TC3,Start of Hall 3ft,1.8,1.8,32,0,0,Start_Hall_Temps,House_Temps_3ft,Temperature
5TC2,Start of Hall 2ft,1.8,1.8,32,0,0,Start_Hall_Temps,,Temperature
5TC1,Start of Hall 1ft,1.8,1.8,32,0,0,Start_Hall_Temps,House_Temps_1ft,Temperature
6TC7,Living Room Left 7ft,1.8,1.8,32,0,0,Living_Room_Left_Temps,House_Temps_7ft,Temperature
6TC6,Living Room Left 6ft,1.8,1.8,32,0,0,Living_Room_Left_Temps,,Temperature
6TC5,Living Room Left 5ft,1.8,1.8,32,0,0,Living_Room_Left_Temps,House_Temps_5ft,Temperature
6TC4,Living Room Left 4ft,1.8,1.8,32,0,0,Living_Room_Left_Temps,,Temperature
6TC3,Living Room Left 3ft,1.8,1.8,32,0,0,Living_Room_Left_Temps,House_Temps_3ft,Temperature
6TC2,Living Room Left 2ft,1.8,1.8,32,0,0,Living_Room_Left_Temps,,Temperature
6TC1,Living Room Left 1ft,1.8,1.8,32,0,0,Living_Room_Left_Temps,House_Temps_1ft,Temperature
7TC7,Living Room Right 7ft,1.8,1.8,32,0,0,Living_Room_Right_Temps,House_Temps_7ft,Temperature
7TC6,Living Room Right 6ft,1.8,1.8,32,0,0,Living_Room_Right_Temps,,Temperature
7TC5,Living Room Right 5ft,1.8,1.8,32,0,0,Living_Room_Right_Temps,House_Temps_5ft,Temperature
7TC4,Living Room Right 4ft,1.8,1.8,32,0,0,Living_Room_Right_Temps,,Temperature
7TC3,Living Room Right 3ft,1.8,1.8,32,0,0,Living_Room_Right_Temps,House_Temps_3ft,Temperature
7TC2,Living Room Right 2ft,1.8,1.8,32,0,0,Living_Room_Right_Temps,,Temperature
7TC1,Living Room Right 1ft,1.8,1.8,32,0,0,Living_Room_Right_Temps,House_Temps_1ft,Temperature
8TC7,Bedroom 4 7ft,1.8,1.8,32,0,0,Bedroom_4_Temps,House_Temps_7ft,Temperature
8TC5,Bedroom 4 5ft,1.8,1.8,32,0,0,Bedroom_4_Temps,House_Temps_5ft,Temperature
8TC3,Bedroom 4 3ft,1.8,1.8,32,0,0,Bedroom_4_Temps,House_Temps_3ft,Temperature
8TC1,Bedroom 4 1ft,1.8,1.8,32,0,0,Bedroom_4_Temps,House_Temps_1ft,Temperature
9TC7,Bedroom 3 7ft,1.8,1.8,32,0,0,Bedroom_3_Temps,House_Temps_7ft,Temperature
9TC5,Bedroom 3 5ft,1.8,1.8,32,0,0,Bedroom_3_Temps,House_Temps_5ft,Temperature
9TC3,Bedroom 3 3ft,1.8,1.8,32,0,0,Bedroom_3_Temps,House_Temps_3ft,Temperature
9TC1,Bedroom 3 1ft,1.8,1.8,32,0,0,Bedroom_3_Temps,House_Temps_1ft,Temperature
1TCV7,Victim 1 7ft,1.8,1.8,32,0,0,Victim_1_Temps,Victim_Temps_7ft,Temperature
1TCV5,Victim 1 5ft,1.8,1.8,32,0,0,Victim_1_Temps,Victim_Temps_5ft,Temperature
1TCV3,Victim 1 3ft,1.8,1.8,32,0,0,Victim_1_Temps,Victim_Temps_3ft,Temperature
1TCV1,Victim 1 1ft,1.8,1.8,32,0,0,Victim_1_Temps,Victim_Temps_1ft,Temperature
2TCV7,Victim 2 7ft,1.8,1.8,32,0,0,Victim_2_Temps,Victim_Temps_7ft,Temperature
2TCV5,Victim 2 5ft,1.8,1.8,32,0,0,Victim_2_Temps,Victim_Temps_5ft,Temperature
2TCV3,Victim 2 3ft,1.8,1.8,32,0,0,Victim_2_Temps,Victim_Temps_3ft,Temperature
2TCV1,Victim 2 1ft,1.8,1.8,32,0,0,Victim_2_Temps,Victim_Temps_1ft,Temperature
