Event,Time,Flow_Time,Total_Flow,,,,,
Ignition,0:02:01,,,,,,,
Pulse 1,0:07:50,346.24,0.8808264,344.24,355.34,"[344.24,355.34]",,"[344.24,355.34]"
Pulse 2,0:08:03,359.34,0.8662595,357.34,369.54,"[357.34,369.54]",,"[357.34,369.54]"
Sweep Pulse 1,0:08:59,373.54,1.9276605,371.54,384.54,"[371.54,384.54]",,"[371.54,384.54]"
Sweep Pulse 2,0:10:43,388.54,1.4320836,386.54,410.34,"[386.54,410.34]",,"[386.54,410.34]"
Narrow Fog Sweep 1,0:12:33,414.34,5.7988882,412.34,513.34,"[412.34,513.34]",,"[412.34,513.34]"
Narrow Fog Sweep 2,0:13:17,517.34,5.872575,515.34,616.44,"[515.34,616.44]",,"[515.34,616.44]"
Short Pulse 1,0:14:46,620.44,7.127088,618.44,669.84,"[618.44,669.84]",,"[618.44,669.84]"
Short Pulse 2,0:15:08,673.84,6.828169,671.84,758.94,"[671.84,758.94]",,"[671.84,758.94]"
Long Pulse 1,0:15:31,762.94,0.515606,760.94,780.74,"[760.94,780.74]",,"[760.94,780.74]"
Long Pulse 2,0:16:15,784.74,0.532036,782.74,803.54,"[782.74,803.54]",,"[782.74,803.54]"
Sweep Pulse 3,0:16:54,807.54,2.978794,805.54,847.44,"[805.54,847.44]",,"[805.54,847.44]"
Narrow Fog Sweep 3,0:19:13,851.44,2.922191,849.44,886.24,"[849.44,886.24]",,"[849.44,886.24]"
Straight Stream Back Corner,0:21:04,890.24,9.73425,888.24,1025.44,"[888.24,1025.44]",,"[888.24,1025.44]"
Straight Stream Transitional Sweep,0:21:47,1029.44,8.16581,1027.44,1136.94,"[1027.44,1136.94]",,"[1027.44,1136.94]"
Suppression,0:22:47,1140.94,,1138.94,1170.94,"[1138.94,1170.94]",,"[1138.94,1170.94]"
Fan On,0:24:47,,,,,,,
End Experiment,0:25:47,,,,,,,
