Channel,Title,ScaleFactor_A,ScaleFactor_B,Offset,Transport_Time_A,Transport_Time_B,Primary_Chart,Secondary_Chart,Type
1TC1,1TC1,1.8,1.8,32,0,0,,,Temperature
1TC2,1TC2,1.8,1.8,32,0,0,,,Temperature
1TC3,1TC3,1.8,1.8,32,0,0,,,Temperature
1TC4,1TC4,1.8,1.8,32,0,0,,,Temperature
1TC5,1TC5,1.8,1.8,32,0,0,,,Temperature
1TC6,1TC6,1.8,1.8,32,0,0,,,Temperature
1TC7,1TC7,1.8,1.8,32,0,0,,,Temperature
2TC1,2TC1,1.8,1.8,32,0,0,,,Temperature
2TC2,2TC2,1.8,1.8,32,0,0,,,Temperature
2TC3,2TC3,1.8,1.8,32,0,0,,,Temperature
2TC4,2TC4,1.8,1.8,32,0,0,,,Temperature
2TC5,2TC5,1.8,1.8,32,0,0,,,Temperature
2TC6,2TC6,1.8,1.8,32,0,0,,,Temperature
2TC7,2TC7,1.8,1.8,32,0,0,,,Temperature
7TC1,7TC1,1.8,1.8,32,0,0,,,Temperature
7TC2,7TC2,1.8,1.8,32,0,0,,,Temperature
7TC3,7TC3,1.8,1.8,32,0,0,,,Temperature
7TC4,7TC4,1.8,1.8,32,0,0,,,Temperature
7TC5,7TC5,1.8,1.8,32,0,0,,,Temperature
7TC6,7TC6,1.8,1.8,32,0,0,,,Temperature
7TC7,7TC7,1.8,1.8,32,0,0,,,Temperature
4TC1,4TC1,1.8,1.8,32,0,0,,,Temperature
4TC2,4TC2,1.8,1.8,32,0,0,,,Temperature
4TC3,4TC3,1.8,1.8,32,0,0,,,Temperature
4TC4,4TC4,1.8,1.8,32,0,0,,,Temperature
4TC5,4TC5,1.8,1.8,32,0,0,,,Temperature
4TC6,4TC6,1.8,1.8,32,0,0,,,Temperature
4TC7,4TC7,1.8,1.8,32,0,0,,,Temperature
3TC1,3TC1,1.8,1.8,32,0,0,,,Temperature
3TC2,3TC2,1.8,1.8,32,0,0,,,Temperature
3TC3,3TC3,1.8,1.8,32,0,0,,,Temperature
3TC4,3TC4,1.8,1.8,32,0,0,,,Temperature
3TC5,3TC5,1.8,1.8,32,0,0,,,Temperature
3TC6,3TC6,1.8,1.8,32,0,0,,,Temperature
3TC7,3TC7,1.8,1.8,32,0,0,,,Temperature
5TC1,5TC1,1.8,1.8,32,0,0,,,Temperature
5TC2,5TC2,1.8,1.8,32,0,0,,,Temperature
5TC3,5TC3,1.8,1.8,32,0,0,,,Temperature
5TC4,5TC4,1.8,1.8,32,0,0,,,Temperature
5TC5,5TC5,1.8,1.8,32,0,0,,,Temperature
5TC6,5TC6,1.8,1.8,32,0,0,,,Temperature
5TC7,5TC7,1.8,1.8,32,0,0,,,Temperature
6TC1,6TC1,1.8,1.8,32,0,0,,,Temperature
6TC2,6TC2,1.8,1.8,32,0,0,,,Temperature
6TC3,6TC3,1.8,1.8,32,0,0,,,Temperature
6TC4,6TC4,1.8,1.8,32,0,0,,,Temperature
6TC5,6TC5,1.8,1.8,32,0,0,,,Temperature
6TC6,6TC6,1.8,1.8,32,0,0,,,Temperature
6TC7,6TC7,1.8,1.8,32,0,0,,,Temperature
8TC1,8TC1,1.8,1.8,32,0,0,,,Temperature
8TC2,8TC2,1.8,1.8,32,0,0,,,Temperature
8TC3,8TC3,1.8,1.8,32,0,0,,,Temperature
8TC4,8TC4,1.8,1.8,32,0,0,,,Temperature
8TC5,8TC5,1.8,1.8,32,0,0,,,Temperature
8TC6,8TC6,1.8,1.8,32,0,0,,,Temperature
8TC7,8TC7,1.8,1.8,32,0,0,,,Temperature
2BDP1V,Front Door Bottom,1.8,1.8,32,0,0,,,Velocity
2BDP2V,Front Door Bottom Middle,1.8,1.8,32,0,0,,,Velocity
2BDP3V,Front Door Middle,1.8,1.8,32,0,0,,,Velocity
2BDP4V,Front Door Top Middle,1.8,1.8,32,0,0,,,Velocity
2BDP5V,Front Door Top,1.8,1.8,32,0,0,,,Velocity
1BDP1V,Bedroom Window Bottom,1.8,1.8,32,0,0,,,Velocity
1BDP2V,Bedroom Window Bottom Middle,1.8,1.8,32,0,0,,,Velocity
1BDP3V,Bedroom Window Middle,1.8,1.8,32,0,0,,,Velocity
1BDP4V,Bedroom Window Top Middle,1.8,1.8,32,0,0,,,Velocity
1BDP5V,Bedroom Window Top,1.8,1.8,32,0,0,,,Velocity
1PTV,Interior Pressure,1.8,1.8,32,0,0,,,Pressure
HeatFluxV,Floor Heat Flux,1.8,1.8,32,0,0,,,Heat Flux
