,Experiment,Time
0,Experiment_9,328
1,Experiment_20,410
2,Experiment_11,380
3,Experiment_5,418
4,Experiment_25,350
5,Experiment_8,326
6,Experiment_7,356
7,Experiment_10,328
8,Experiment_13,340
9,Experiment_18,322
10,Experiment_22,344
11,Experiment_12,358
12,Experiment_27,250
13,Experiment_16,324
14,Experiment_19,324
15,Experiment_15,340
16,Experiment_1,498
17,Experiment_4,506
18,Experiment_24,328
19,Experiment_21,384
20,Experiment_23,326
21,Experiment_2,426
22,Experiment_3,506
23,Experiment_14,386
24,Experiment_17,328
25,Experiment_6,478
