Time,GPM,Total Gallons
57:42.2,4.5624661,0.21958545
57:42.2,4.8813272,0.22037245
57:42.2,5.2447224,0.22121631
57:42.2,5.5000491,0.22211172
57:42.2,5.8307858,0.22305597
57:42.2,6.1650853,0.22405565
57:42.2,6.4631643,0.22510803
57:42.2,6.6371427,0.22619975
57:42.2,6.8669367,0.22732511
57:42.2,6.9945998,0.22848026
57:42.3,7.0444775,0.2296502
57:42.3,7.1056371,0.2308294
57:42.3,7.1757035,0.23201954
57:42.3,7.139483,0.2332125
57:42.3,7.177485,0.23440559
57:42.3,7.1311698,0.23559801
57:42.3,7.0783234,0.23678216
57:42.3,7.0492277,0.23795947
57:42.3,6.974411,0.23912814
57:42.3,6.8924694,0.24028373
57:42.3,6.7713375,0.24142241
57:42.4,6.5890465,0.2425358
57:42.4,6.4394131,0.24362153
57:42.4,6.3028431,0.2446834
57:42.4,6.1923995,0.24572469
57:42.4,5.9073839,0.24673302
57:42.4,5.7524066,0.2477047
57:42.4,5.5938663,0.24865024
57:42.4,5.4335451,0.24956921
57:42.4,5.2714424,0.25046131
57:42.4,5.0909328,0.25132486
57:42.5,4.9804893,0.25216416
57:42.5,4.7400069,0.25297421
57:42.5,4.5339646,0.25374705
57:42.5,4.4520226,0.25449592
57:42.5,4.3599863,0.25523025
57:42.5,4.1877894,0.25594258
57:42.5,4.1295986,0.25663573
57:42.5,3.9918411,0.25731251
57:42.5,3.9015861,0.2579703
57:42.5,3.6967311,0.25860351
57:42.6,3.502564,0.25920346
57:42.6,3.4004335,0.25977874
57:42.6,3.357681,0.26034191
57:42.6,3.2466438,0.2608923
57:42.6,3.207454,0.26143014
57:42.6,3.0833535,0.2619544
57:42.6,3.0613835,0.26246646
57:42.6,2.926595,0.26296547
57:42.6,2.8517783,0.26344702
57:42.6,2.7728052,0.26391572
57:42.7,2.6552362,0.26436809
57:42.7,2.5976393,0.26480582
57:42.7,2.6249533,0.26524106
57:42.7,2.7781491,0.26569131
57:42.7,2.9093752,0.26616529
57:42.7,3.1207619,0.26666781
57:42.7,3.2775204,0.26720101
57:42.7,3.4140904,0.26775867
57:42.7,3.5381911,0.26833802
57:42.7,3.6884181,0.26894024
57:42.8,3.8249881,0.26956639
57:42.8,3.9526513,0.27021453
57:42.8,4.0292492,0.27087972
57:42.8,4.0838771,0.27155581
57:42.8,4.1551313,0.2722424
57:42.8,4.2798257,0.27294534
57:42.8,4.3873,0.2736676
57:42.8,4.5084319,0.27440894
57:42.8,4.5695915,0.27516547
57:42.9,4.6770663,0.27593604
57:42.9,4.9050789,0.27673456
57:42.9,4.9941459,0.27755952
57:42.9,5.0754943,0.27839866
57:42.9,5.0588684,0.2792432
57:42.9,4.9104228,0.280074
57:42.9,4.8641076,0.28088856
57:42.9,4.7227874,0.28168747
57:42.9,4.5488091,0.28246012
57:42.9,4.3902693,0.28320506
57:43.0,4.2459798,0.28392476
57:43.0,4.0921903,0.28461963
