Location,Experiment_1_Data,Experiment_2_Data,Experiment_3_Data,Experiment_4_Data,Experiment_5_Data,Experiment_6_Data,Type
1HF1,1.6510272002142852,2.057862262357143,1.9385411530714285,1.364774877607143,1.4774894640821425,1.3284301285714284,Heat Flux
1HF3,2.7546577849999996,3.8589848000000004,5.870343256428571,4.647788585000001,4.107541262,4.466767152428572,Heat Flux
1HF5,26.159455514285714,27.515011249999997,25.185595573571426,24.773695878571427,32.34313994285715,31.79708855428572,Heat Flux
1HFS,1.6400526749999995,1.0819375100000004,0.9887222111249997,1.4591374112499995,0.8229820286250001,0.34414803062500005,Heat Flux
2HF,0.39661174017857154,0.8509186874999999,0.6685611871428571,0.43131128919642847,0.5345745010607142,0.9477341465714286,Heat Flux
2HFS,3.4978580981785714,0.0052854076992857124,0.047575777274999995,-0.06448149798750002,-0.08805421119246426,0.0010572394949999958,Heat Flux
3HF,0.814893343785714,0.8297488710714287,0.49973195580000007,0.7937606852571429,0.5598385123535714,0.5722440767999999,Heat Flux
4HFS,0.6402757885714286,0.5060857778571428,1.8044339357142856,1.158399722142857,0.3382237940121429,1.3185400007142858,Heat Flux
Bedroom_1_Temps,908.4625576651787,975.5777942230358,795.5085447660713,732.893673595357,900.8684457200534,890.3630410828572,Temperature
Bedroom_2_Temps,285.41108747782147,267.5451208967857,273.44210272523213,273.10616873808937,273.55222879674284,265.73259667517857,Temperature
Bedroom_3_Temps,251.49865632526783,92.87020857682141,88.42076587898214,91.71537732210716,87.49735515985357,86.42528100612499,Temperature
Bedroom_4_Temps,207.0572662753572,216.05202647664285,222.90930544116068,229.2097157915,216.21377627190176,221.3950744340536,Temperature
End_Hall_Temps,526.1394990791429,552.5779337120613,488.38527962526535,471.59335411764295,546.5961473400591,461.065616330551,Temperature
Living_Room_Left_Temps,217.9614492347551,224.4750733797653,236.48214306053063,240.41898801610205,227.20317739735816,227.85059519728566,Temperature
Living_Room_Right_Temps,244.95264513582657,256.0157318691225,262.38094121795916,261.3958392399286,248.3305201432051,252.83366279278567,Temperature
Middle_Hall_Temps,290.07676780378574,318.59568153867343,320.2269716970408,306.3384623209082,322.9235248678755,315.9987781121122,Temperature
Start_Hall_Temps,275.2538504932143,308.7607223813367,308.67073308803054,310.4392817810613,298.5634413412204,307.7822021630918,Temperature
Victim_1_Temps,386.6628523218929,410.8362547980715,386.9722991798214,381.27927457962494,406.9174383004839,391.3182053439285,Temperature
Victim_2_Temps,265.0786047204286,97.77958524998213,92.1091218562143,96.18077306701785,91.01517403447143,87.95402190805355,Temperature
Victim_3_Temps,211.29132563262505,238.38903230626786,247.439681051,250.09421933075,242.88205869562677,245.731189814375,Temperature
Victim_4_Temps,236.88681848583929,244.8529975382322,262.8911802654821,262.5009015230535,252.60894802898216,257.4001687101607,Temperature
Victim_5_Temps,214.7739125396964,224.46172616401785,236.76833454751792,242.846470200875,218.59531626225717,228.78048723462499,Temperature
