Channel,Slope,Offset,Type,Chart
1TC1,1.8,32,Temperature,TC1
1TC2,1.8,32,Temperature,TC1
1TC3,1.8,32,Temperature,TC1
1TC4,1.8,32,Temperature,TC1
1TC5,1.8,32,Temperature,TC1
1TC6,1.8,32,Temperature,TC1
1TC7,1.8,32,Temperature,TC1
2TC1,1.8,32,Temperature,TC2
2TC2,1.8,32,Temperature,TC2
2TC3,1.8,32,Temperature,TC2
2TC4,1.8,32,Temperature,TC2
2TC5,1.8,32,Temperature,TC2
2TC6,1.8,32,Temperature,TC2
2TC7,1.8,32,Temperature,TC2
3TC1,1.8,32,Temperature,TC3
3TC2,1.8,32,Temperature,TC3
3TC3,1.8,32,Temperature,TC3
3TC4,1.8,32,Temperature,TC3
3TC5,1.8,32,Temperature,TC3
3TC6,1.8,32,Temperature,TC3
3TC7,1.8,32,Temperature,TC3
4TC1,1.8,32,Temperature,TC4
4TC2,1.8,32,Temperature,TC4
4TC3,1.8,32,Temperature,TC4
4TC4,1.8,32,Temperature,TC4
4TC5,1.8,32,Temperature,TC4
4TC6,1.8,32,Temperature,TC4
4TC7,1.8,32,Temperature,TC4
BDP11T,,,BDP_Temperature,
BDP12T,,,BDP_Temperature,
BDP13T,,,BDP_Temperature,
BDP14T,,,BDP_Temperature,
BDP15T,,,BDP_Temperature,
BDP21T,,,BDP_Temperature,
BDP22T,,,BDP_Temperature,
BDP23T,,,BDP_Temperature,
BDP24T,,,BDP_Temperature,
BDP25T,,,BDP_Temperature,
BDP31T,,,BDP_Temperature,
BDP32T,,,BDP_Temperature,
BDP33T,,,BDP_Temperature,
BDP34T,,,BDP_Temperature,
BDP35T,,,BDP_Temperature,
BDP41T,,,BDP_Temperature,
BDP42T,,,BDP_Temperature,
BDP43T,,,BDP_Temperature,
BDP44T,,,BDP_Temperature,
BDP45T,,,BDP_Temperature,
BDP11V,9.964,24.91,BDP_Velocity,BDP1
BDP12V,9.964,24.91,BDP_Velocity,BDP1
BDP13V,9.964,24.91,BDP_Velocity,BDP1
BDP14V,9.964,24.91,BDP_Velocity,BDP1
BDP15V,9.964,24.91,BDP_Velocity,BDP1
BDP21V,9.964,24.91,BDP_Velocity,BDP1
BDP22V,9.964,24.91,BDP_Velocity,BDP2
BDP23V,9.964,24.91,BDP_Velocity,BDP2
BDP24V,9.964,24.91,BDP_Velocity,BDP2
BDP25V,9.964,24.91,BDP_Velocity,BDP2
BDP31V,9.964,24.91,BDP_Velocity,BDP2
BDP32V,9.964,24.91,BDP_Velocity,BDP3
BDP33V,9.964,24.91,BDP_Velocity,BDP3
BDP34V,9.964,24.91,BDP_Velocity,BDP3
BDP35V,9.964,24.91,BDP_Velocity,BDP3
BDP41V,9.964,24.91,BDP_Velocity,BDP3
BDP42V,9.964,24.91,BDP_Velocity,BDP4
BDP43V,9.964,24.91,BDP_Velocity,BDP4
BDP44V,9.964,24.91,BDP_Velocity,BDP4
BDP45V,9.964,24.91,BDP_Velocity,BDP4
PT11V,49.91,124.54,Pressure,PT1
PT14V,49.91,124.54,Pressure,PT1
PT17V,49.91,124.54,Pressure,PT1
PT21V,49.91,124.54,Pressure,PT2
PT24V,49.91,124.54,Pressure,PT2
PT27V,49.91,124.54,Pressure,PT2
