Experiment,Experiments To Compare,Compare Exp,Excluded Groups,Excluded Channels,Y Scale Temperature,Y Scale BDP,Y Scale PRESSURE
Experiment_1_Data,,0,,None,2500,40,30
Experiment_2_Data,,0,,None,2500,40,30
Experiment_3_Data,,0,,BDP44V,2500,40,80
Experiment_4_Data,,0,,None,2500,40,30
Experiment_5_Data,,0,,None,2500,40,30
Experiment_6_Data,,0,,None,2500,40,30
Experiment_7_Data,,0,,None,2500,40,30
Experiment_8_Data,,0,,None,2500,40,30
Experiment_9_Data,,0,,None,2500,40,30
Experiment_10_Data,,0,,None,2500,40,30
Experiment_11_Data,,0,,None,2500,40,30
Experiment_12_Data,,0,,None,2500,40,30
Experiment_13_Data,,0,,None,2500,40,30
