Channel,Title,ScaleFactor,Offset,Primary_Chart,Secondary_Chart,Type
1TC1,Bedroom 1 1ft,1.8,32,Bedroom_1_Temps,House_Temps_1ft,Temperature
1TC2,Bedroom 1 2ft,1.8,32,Bedroom_1_Temps,,Temperature
1TC3,Bedroom 1 3ft,1.8,32,Bedroom_1_Temps,House_Temps_3ft,Temperature
1TC4,Bedroom 1 4ft,1.8,32,Bedroom_1_Temps,,Temperature
1TC5,Bedroom 1 5ft,1.8,32,Bedroom_1_Temps,House_Temps_5ft,Temperature
1TC6,Bedroom 1 6ft,1.8,32,Bedroom_1_Temps,,Temperature
1TC7,Bedroom 1 7ft,1.8,32,Bedroom_1_Temps,House_Temps_7ft,Temperature
2TC1,End Hall 1ft,1.8,32,End_Hall_Temps,House_Temps_1ft,Temperature
2TC2,End Hall 2ft,1.8,32,End_Hall_Temps,,Temperature
2TC3,End Hall 3ft,1.8,32,End_Hall_Temps,House_Temps_3ft,Temperature
2TC4,End Hall 4ft,1.8,32,End_Hall_Temps,,Temperature
2TC5,End Hall 5ft,1.8,32,End_Hall_Temps,House_Temps_5ft,Temperature
2TC6,End Hall 6ft,1.8,32,End_Hall_Temps,,Temperature
2TC7,End Hall 7ft,1.8,32,End_Hall_Temps,House_Temps_7ft,Temperature
3TC1,Mid Hall 1ft,1.8,32,Mid_Hall_Temps,House_Temps_1ft,Temperature
3TC2,Mid Hall 2ft,1.8,32,Mid_Hall_Temps,,Temperature
3TC3,Mid Hall 3ft,1.8,32,Mid_Hall_Temps,House_Temps_3ft,Temperature
3TC4,Mid Hall 4ft,1.8,32,Mid_Hall_Temps,,Temperature
3TC5,Mid Hall 5ft,1.8,32,Mid_Hall_Temps,House_Temps_5ft,Temperature
3TC6,Mid Hall 6ft,1.8,32,Mid_Hall_Temps,,Temperature
3TC7,Mid Hall 7ft,1.8,32,Mid_Hall_Temps,House_Temps_7ft,Temperature
4TC1,Start Hall 1ft,1.8,32,Start_Hall_Temps,House_Temps_1ft,Temperature
4TC2,Start Hall 2ft,1.8,32,Start_Hall_Temps,,Temperature
4TC3,Start Hall 3ft,1.8,32,Start_Hall_Temps,House_Temps_3ft,Temperature
4TC4,Start Hall 4ft,1.8,32,Start_Hall_Temps,,Temperature
4TC5,Start Hall 5ft,1.8,32,Start_Hall_Temps,House_Temps_5ft,Temperature
4TC6,Start Hall 6ft,1.8,32,Start_Hall_Temps,,Temperature
4TC7,Start Hall 7ft,1.8,32,Start_Hall_Temps,House_Temps_7ft,Temperature
BDP11T,,,,,,BDP_Temperature
BDP12T,,,,,,BDP_Temperature
BDP13T,,,,,,BDP_Temperature
BDP14T,,,,,,BDP_Temperature
BDP15T,,,,,,BDP_Temperature
BDP21T,,,,,,BDP_Temperature
BDP22T,,,,,,BDP_Temperature
BDP23T,,,,,,BDP_Temperature
BDP24T,,,,,,BDP_Temperature
BDP25T,,,,,,BDP_Temperature
BDP31T,,,,,,BDP_Temperature
BDP32T,,,,,,BDP_Temperature
BDP33T,,,,,,BDP_Temperature
BDP34T,,,,,,BDP_Temperature
BDP35T,,,,,,BDP_Temperature
BDP41T,,,,,,BDP_Temperature
BDP42T,,,,,,BDP_Temperature
BDP43T,,,,,,BDP_Temperature
BDP44T,,,,,,BDP_Temperature
BDP45T,,,,,,BDP_Temperature
BDP11V,Bedroom 1 Window Bottom,9.964,24.91,Bedroom_1_Window,,BDP_Velocity
BDP12V,Bedroom 1 Window Bottom Middle,9.964,24.91,Bedroom_1_Window,,BDP_Velocity
BDP13V,Bedroom 1 Window Middle,9.964,24.91,Bedroom_1_Window,,BDP_Velocity
BDP14V,Bedroom 1 Window Top Middle,9.964,24.91,Bedroom_1_Window,,BDP_Velocity
