Time,Elapsed_Time,Event
2017-03-13-09:51:00,0:02:01,Ignition
2017-03-13-09:57:00,0:06:00,Hall Door Closed
2017-03-13-09:57:31,0:06:30,Hall Door Open
2017-03-13-09:58:30,0:07:30,Hall Door Closed
2017-03-13-09:59:31,0:08:30,Hall Door Open
2017-03-13-10:09:00,0:13:30,Second Ignition
2017-03-13-10:14:15,0:18:45,Hall Door Closed
2017-03-13-10:14:45,0:19:15,Hall Door Open
2017-03-13-10:17:16,0:21:45,Hall Door Closed
2017-03-13-10:17:45,0:22:15,Hall Door Open
2017-03-13-10:18:30,0:23:00,Bedroom Window Vent
2017-03-13-10:21:00,0:25:30,Interior Suppression
2017-03-13-10:26:00,0:37:00,End Experiment
